date,source,pw,cw,settle_pnl,stopped_pnl,delta,bps_pnl,bcs_pnl,bps_exit,bps_reason,bcs_exit,bcs_reason
2026-07-09,td,7475.0,7500.0,-1013.0399999999997,146.96,1160.0,608.48,-461.52,15:45,time_stop,09:44,acceptance
2026-07-09,mq,7450.0,7550.0,401.96000000000004,376.96,-25.0,313.48,63.48,15:45,time_stop,15:45,time_stop
2026-07-09,fx,7450.0,7520.0,-1597.0400000000325,-230.54,1366.5,313.48,-544.02,15:45,time_stop,11:31,acceptance
2026-07-10,gx,7500.0,7550.0,-1328.04,106.96,1435.0,148.48,-41.52,15:45,time_stop,09:56,acceptance
2026-07-10,td,7500.0,7550.0,-1328.04,106.96,1435.0,148.48,-41.52,15:45,time_stop,09:56,acceptance
2026-07-10,mq,7440.0,7600.0,89.46000000000001,84.46,-5.0,15.98,68.48,15:45,time_stop,15:45,time_stop
2026-07-10,fx,7510.0,7580.0,499.46,369.46,-130.0,213.48,155.98,15:45,time_stop,15:45,time_stop
2026-07-13,gx,7525.0,7600.0,-596.5399999999854,-488.04,108.5,-601.52,113.48,13:57,acceptance,15:45,time_stop
2026-07-13,td,7525.0,7600.0,-596.5399999999854,-488.04,108.5,-601.52,113.48,13:57,acceptance,15:45,time_stop
2026-07-13,fx,7540.0,7610.0,-1984.0399999999852,-268.04,1716.0,-321.52,53.48,12:06,acceptance,15:45,time_stop
2026-07-14,gx,7500.0,7550.0,1046.96,134.46,-912.5,388.48,-254.02,15:45,time_stop,11:16,acceptance
2026-07-14,td,7500.0,7550.0,1046.96,134.46,-912.5,388.48,-254.02,15:45,time_stop,11:16,acceptance
2026-07-14,fx,7480.0,7550.0,871.96,-40.54,-912.5,213.48,-254.02,15:45,time_stop,11:16,acceptance
2026-07-15,gx,7500.0,7550.0,-573.0399999999636,11.96,585.0,48.48,-36.52,15:45,time_stop,09:41,acceptance
2026-07-15,td,7500.0,7550.0,-573.0399999999636,11.96,585.0,48.48,-36.52,15:45,time_stop,09:41,acceptance
2026-07-15,fx,7510.0,7580.0,791.96,781.96,-10.0,75.98,705.98,15:45,time_stop,15:45,time_stop
2026-07-16,gx,7550.0,7600.0,-878.5399999999563,-265.54,613.0,-366.52,100.98,09:44,acceptance,15:45,time_stop
2026-07-16,td,7550.0,7600.0,-878.5399999999563,-265.54,613.0,-366.52,100.98,09:44,acceptance,15:45,time_stop
2026-07-16,fx,7535.0,7605.0,338.96000000004375,-265.54,-604.5,-329.02,63.48,14:39,acceptance,15:45,time_stop
2026-07-17,gx,7500.0,7550.0,-605.5400000000009,-120.54,485.0,-181.52,60.98,09:41,acceptance,15:45,time_stop
2026-07-17,td,7520.0,7580.0,-388.03999999999996,-158.04,230.0,-176.52,18.48,09:41,acceptance,15:45,time_stop
2026-07-17,fx,7500.0,7570.0,-638.0400000000009,-153.04,485.0,-181.52,28.48,09:41,acceptance,15:45,time_stop
2026-07-20,gx,7450.0,7500.0,537.4599999999748,-778.04,-1315.5,-621.52,-156.52,15:22,acceptance,09:41,acceptance
2026-07-20,td,7450.0,7500.0,537.4599999999748,-778.04,-1315.5,-621.52,-156.52,15:22,acceptance,09:41,acceptance
2026-07-20,fx,7425.0,7495.0,1266.9599999999998,-113.04,-1380.0,63.48,-176.52,15:45,time_stop,09:41,acceptance
2026-07-21,gx,7410.0,7500.0,-295.5399999999817,-353.04,-57.5,75.98,-429.02,15:45,time_stop,11:31,acceptance
2026-07-21,td,7410.0,7500.0,-295.5399999999817,-353.04,-57.5,75.98,-429.02,15:45,time_stop,11:31,acceptance
2026-07-21,fx,7410.0,7480.0,-1320.5400000000002,-235.54,1085.0,75.98,-311.52,15:45,time_stop,10:28,acceptance
2026-07-22,gx,7500.0,7550.0,872.9600000000036,116.96,-756.0,88.48,28.48,09:41,acceptance,15:45,time_stop
2026-07-22,td,7500.0,7550.0,872.9600000000036,116.96,-756.0,88.48,28.48,09:41,acceptance,15:45,time_stop
2026-07-22,fx,7475.0,7545.0,491.96000000000004,491.96,0.0,448.48,43.48,15:45,time_stop,15:45,time_stop
2026-07-23,gx,7485.0,7500.0,-328.0400000000012,326.96,655.0,258.48,68.48,09:41,acceptance,15:45,time_stop
2026-07-23,td,7485.0,7500.0,-328.0400000000012,326.96,655.0,258.48,68.48,09:41,acceptance,15:45,time_stop
2026-07-23,fx,7465.0,7535.0,-685.5400000000005,389.46,1075.0,378.48,10.98,09:41,acceptance,15:45,time_stop
2026-07-24,gx,7400.0,7500.0,704.46,539.46,-165.0,518.48,20.98,15:45,time_stop,15:45,time_stop
2026-07-24,td,7400.0,7500.0,704.46,539.46,-165.0,518.48,20.98,15:45,time_stop,15:45,time_stop
2026-07-24,fx,7375.0,7445.0,741.9599999999999,-318.04,-1060.0,353.48,-671.52,15:45,time_stop,11:31,acceptance
2026-07-27,gx,7400.0,7500.0,311.96000000000004,-683.04,-995.0,-924.02,240.98,11:42,acceptance,15:45,time_stop
2026-07-27,td,7400.0,7500.0,311.96000000000004,-683.04,-995.0,-924.02,240.98,11:42,acceptance,15:45,time_stop
2026-07-27,fx,7375.0,7445.0,1746.96,-8.04,-1755.0,33.48,-41.52,15:45,time_stop,09:41,acceptance
2026-07-28,gx,7400.0,7450.0,949.46,-35.54,-985.0,-336.52,300.98,09:52,acceptance,15:45,time_stop
2026-07-28,td,7400.0,7450.0,949.46,-35.54,-985.0,-336.52,300.98,09:52,acceptance,15:45,time_stop
2026-07-28,fx,7380.0,7450.0,714.4600000000002,699.46,-15.0,398.48,300.98,15:45,time_stop,15:45,time_stop
2026-07-29,gx,7300.0,7450.0,861.9600000000002,751.96,-110.0,23.48,728.48,15:45,time_stop,15:45,time_stop
2026-07-29,td,7300.0,7450.0,861.9600000000002,751.96,-110.0,23.48,728.48,15:45,time_stop,15:45,time_stop
2026-07-29,fx,7395.0,7465.0,-1318.04,-18.04,1300.0,-536.52,518.48,10:17,acceptance,15:45,time_stop
2026-07-30,gx,7300.0,7450.0,234.45999999999998,109.46,-125.0,155.98,-46.52,15:45,time_stop,15:45,time_stop
2026-07-30,td,7300.0,7450.0,234.45999999999998,109.46,-125.0,155.98,-46.52,15:45,time_stop,15:45,time_stop
2026-07-30,fx,7280.0,7350.0,-723.0400000000001,251.96,975.0,93.48,158.48,15:45,time_stop,09:41,acceptance
2026-07-31,gx,7400.0,7500.0,539.4600000000002,-198.04,-737.5,100.98,-299.02,15:45,time_stop,15:45,time_stop
2026-07-31,td,7400.0,7500.0,539.4600000000002,-198.04,-737.5,100.98,-299.02,15:45,time_stop,15:45,time_stop
2026-07-31,fx,7405.0,7475.0,-335.04000000002543,164.46,499.5,118.48,45.98,15:45,time_stop,13:21,acceptance
2026-08-03,gx,7425.0,7530.0,-1658.04,-348.04,1310.0,40.98,-389.02,15:45,time_stop,09:43,acceptance
2026-08-03,td,7425.0,7530.0,-1658.04,-348.04,1310.0,40.98,-389.02,15:45,time_stop,09:43,acceptance
2026-08-03,fx,7455.0,7525.0,-1443.04,-438.04,1005.0,108.48,-546.52,15:45,time_stop,09:42,acceptance
2026-08-04,gx,7525.0,7630.0,-1403.0400000000002,-208.04,1195.0,13.48,-221.52,15:45,time_stop,09:41,acceptance
2026-08-04,td,7500.0,7630.0,-1408.0400000000002,-213.04,1195.0,8.48,-221.52,15:45,time_stop,09:41,acceptance
2026-08-04,fx,7565.0,7635.0,-1545.5399999999997,-185.54,1360.0,50.98,-236.52,15:45,time_stop,09:41,acceptance
2026-08-05,gx,7565.0,7750.0,1656.9599999999998,-18.04,-1675.0,-1.52,-16.52,15:45,time_stop,09:41,acceptance
2026-08-05,td,7600.0,7750.0,1661.9599999999998,-13.04,-1675.0,3.48,-16.52,15:45,time_stop,09:41,acceptance
2026-08-05,fx,7700.0,7770.0,1366.9599999999998,56.96,-1310.0,108.48,-51.52,15:45,time_stop,09:41,acceptance
2026-08-06,gx,7700.0,7800.0,476.9600000000001,341.96,-135.0,298.48,43.48,15:45,time_stop,15:45,time_stop
2026-08-06,td,7700.0,7725.0,1486.96,21.96,-1465.0,298.48,-276.52,15:45,time_stop,09:51,acceptance
2026-08-06,fx,7690.0,7760.0,636.96,606.96,-30.0,288.48,318.48,15:45,time_stop,15:45,time_stop
2026-08-07,gx,7650.0,7750.0,-19.540000000032734,-178.04,-158.5,75.98,-254.02,15:45,time_stop,11:13,acceptance
2026-08-07,td,7650.0,7750.0,-19.540000000032734,-178.04,-158.5,75.98,-254.02,15:45,time_stop,11:13,acceptance
2026-08-07,fx,7675.0,7745.0,-312.04000000003276,-143.04,169.0,173.48,-316.52,15:45,time_stop,10:35,acceptance
2026-08-10,gx,7730.0,7775.0,724.46,719.46,-5.0,293.48,425.98,15:45,time_stop,15:45,time_stop
2026-08-10,td,7730.0,7775.0,724.46,719.46,-5.0,293.48,425.98,15:45,time_stop,15:45,time_stop
2026-08-10,fx,7725.0,7795.0,399.46,394.46,-5.0,240.98,153.48,15:45,time_stop,15:45,time_stop
2026-08-11,gx,7700.0,7775.0,581.96,576.96,-5.0,50.98,525.98,15:45,time_stop,15:45,time_stop
2026-08-11,td,7700.0,7775.0,581.96,576.96,-5.0,50.98,525.98,15:45,time_stop,15:45,time_stop
2026-08-11,fx,7720.0,7790.0,361.96,326.96,-35.0,100.98,225.98,15:45,time_stop,15:45,time_stop
2026-08-12,gx,7650.0,7800.0,229.46,229.46,0.0,8.48,220.98,15:45,time_stop,15:45,time_stop
2026-08-12,td,7650.0,7800.0,229.46,229.46,0.0,8.48,220.98,15:45,time_stop,15:45,time_stop
2026-08-12,fx,7695.0,7765.0,974.46,969.46,-5.0,80.98,888.48,15:45,time_stop,15:45,time_stop
2026-08-13,gx,7725.0,7750.0,-913.0400000000002,-423.04,490.0,128.48,-551.52,15:45,time_stop,09:41,acceptance
2026-08-13,td,7725.0,7750.0,-913.0400000000002,-423.04,490.0,128.48,-551.52,15:45,time_stop,09:41,acceptance
2026-08-13,fx,7715.0,7785.0,-972.0399999999781,-693.04,279.0,83.48,-776.52,15:45,time_stop,09:56,acceptance
2026-08-14,gx,7700.0,7800.0,929.4599999999999,41.96,-887.5,5.98,35.98,15:45,time_stop,09:41,acceptance
2026-08-14,td,7750.0,7800.0,986.9599999999999,99.46,-887.5,63.48,35.98,15:45,time_stop,09:41,acceptance
2026-08-14,fx,7765.0,7835.0,284.46,279.46,-5.0,135.98,143.48,15:45,time_stop,15:45,time_stop
2026-08-17,gx,7775.0,7850.0,-2095.54,-253.04,1842.5,-261.52,8.48,10:28,acceptance,15:45,time_stop
2026-08-17,td,7775.0,7800.0,-1715.54,126.96,1842.5,-261.52,388.48,10:28,acceptance,15:45,time_stop
2026-08-17,fx,7750.0,7820.0,-279.53999999995995,34.46,314.0,-61.52,95.98,15:45,time_stop,15:45,time_stop
2026-08-18,gx,7725.0,7800.0,-1223.04,156.96,1380.0,153.48,3.48,09:41,acceptance,15:45,time_stop
