ts_et,strike,side,bid,ask
16:04:23,7435.0,buy,32.1,32.4
16:04:23,7385.0,sell,23.9,24.2
16:04:28,7435.0,buy,32.1,32.5
16:04:28,7385.0,sell,23.9,24.2
16:04:33,7435.0,buy,32.2,32.5
16:04:33,7385.0,sell,24.0,24.3
16:04:38,7435.0,buy,32.2,32.6
16:04:38,7385.0,sell,24.0,24.3
16:04:43,7435.0,buy,32.2,32.6
16:04:43,7385.0,sell,24.0,24.3
16:04:48,7435.0,buy,32.3,32.6
16:04:48,7385.0,sell,24.0,24.3
16:04:53,7435.0,buy,32.2,32.5
16:04:53,7385.0,sell,24.0,24.3
16:04:58,7435.0,buy,32.2,32.5
16:04:58,7385.0,sell,23.9,24.3
16:05:03,7435.0,buy,32.3,32.6
16:05:03,7385.0,sell,24.0,24.3
16:05:08,7435.0,buy,32.3,32.6
16:05:08,7385.0,sell,24.0,24.3
16:05:13,7435.0,buy,32.2,32.5
16:05:13,7385.0,sell,24.0,24.3
16:05:18,7435.0,buy,32.2,32.5
16:05:18,7385.0,sell,23.9,24.2
16:05:23,7435.0,buy,32.2,32.5
16:05:23,7385.0,sell,23.9,24.3
16:05:28,7435.0,buy,32.0,32.3
16:05:28,7385.0,sell,23.8,24.1
16:05:33,7435.0,buy,31.9,32.2
16:05:33,7385.0,sell,23.7,24.0
16:05:38,7435.0,buy,32.0,32.3
16:05:38,7385.0,sell,23.8,24.1
16:05:43,7435.0,buy,31.3,31.7
16:05:43,7385.0,sell,23.3,23.6
16:05:48,7435.0,buy,31.6,32.0
16:05:48,7385.0,sell,23.5,23.9
16:05:53,7435.0,buy,31.6,32.0
16:05:53,7385.0,sell,23.5,23.8
16:05:58,7435.0,buy,31.5,32.0
16:05:58,7385.0,sell,23.4,23.9
16:06:03,7435.0,buy,31.4,31.8
16:06:03,7385.0,sell,23.4,23.7
16:06:08,7435.0,buy,31.4,31.8
16:06:08,7385.0,sell,23.4,23.7
16:06:13,7435.0,buy,31.5,31.9
16:06:13,7385.0,sell,23.4,23.8
16:06:18,7435.0,buy,31.6,32.0
16:06:18,7385.0,sell,23.5,23.8
16:06:23,7435.0,buy,31.6,32.0
16:06:23,7385.0,sell,23.5,23.9
16:06:28,7435.0,buy,31.7,32.1
16:06:28,7385.0,sell,23.6,23.9
16:06:33,7435.0,buy,31.8,32.1
16:06:33,7385.0,sell,23.6,23.9
16:06:38,7435.0,buy,31.6,32.0
16:06:38,7385.0,sell,23.5,23.8
16:06:43,7435.0,buy,31.6,32.0
16:06:43,7385.0,sell,23.5,23.8
16:06:48,7435.0,buy,31.6,31.9
16:06:48,7385.0,sell,23.5,23.8
16:06:53,7435.0,buy,31.6,31.9
16:06:53,7385.0,sell,23.5,23.8
16:06:58,7435.0,buy,31.7,32.0
16:06:58,7385.0,sell,23.5,23.9
16:07:03,7435.0,buy,31.6,32.0
16:07:03,7385.0,sell,23.5,23.8
16:07:08,7435.0,buy,31.6,32.0
16:07:08,7385.0,sell,23.5,23.9
16:07:13,7435.0,buy,31.6,32.0
16:07:13,7385.0,sell,23.5,23.9
16:07:18,7435.0,buy,31.6,32.0
16:07:18,7385.0,sell,23.5,23.9
16:07:23,7435.0,buy,31.5,31.9
16:07:23,7385.0,sell,23.4,23.8
16:07:28,7435.0,buy,31.8,32.2
16:07:28,7385.0,sell,23.7,24.0
16:07:33,7435.0,buy,31.6,32.0
16:07:33,7385.0,sell,23.5,23.8
16:07:38,7435.0,buy,31.6,31.9
16:07:38,7385.0,sell,23.5,23.8
16:07:43,7435.0,buy,31.5,31.9
16:07:43,7385.0,sell,23.5,23.8
16:07:48,7435.0,buy,31.6,32.1
16:07:48,7385.0,sell,23.6,23.9
16:07:53,7435.0,buy,31.7,32.0
16:07:53,7385.0,sell,23.6,23.9
16:07:58,7435.0,buy,31.7,32.0
16:07:58,7385.0,sell,23.5,23.9
16:08:03,7435.0,buy,31.7,32.1
16:08:03,7385.0,sell,23.6,23.9
16:08:08,7435.0,buy,32.0,32.3
16:08:08,7385.0,sell,23.8,24.1
16:08:13,7435.0,buy,32.0,32.4
16:08:13,7385.0,sell,23.8,24.2
16:08:18,7435.0,buy,31.9,32.3
