book,trade_id,strategy,source,structure,occ_root,leg_idx,side,right,strike,expiry,qty,entry_dt_ct,exit_dt_ct,fill_model,close_reason,credit,exit_cost
SPX,auto_20260806_090722,gx_bcs,auto_trigger,vertical 25pt,SPXW,0,buy,C,7825.0,20260806,1,2026-08-06 09:07,2026-08-06 16:00,cash_settle,expired,0.45,0.0
SPX,auto_20260806_090722,gx_bcs,auto_trigger,vertical 25pt,SPXW,1,sell,C,7800.0,20260806,1,2026-08-06 09:07,2026-08-06 16:00,cash_settle,expired,0.45,0.0
SPX,auto_20260807_083034,eodic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7610.0,20260807,1,2026-08-07 08:30,2026-08-07 16:00,cash_settle,expired,0.45,0.0
SPX,auto_20260807_083034,eodic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7635.0,20260807,1,2026-08-07 08:30,2026-08-07 16:00,cash_settle,expired,0.45,0.0
SPX,auto_20260807_083055,eodic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7810.0,20260807,1,2026-08-07 08:30,2026-08-07 16:00,cash_settle,expired,1.6,0.0
SPX,auto_20260807_083055,eodic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7785.0,20260807,1,2026-08-07 08:30,2026-08-07 16:00,cash_settle,expired,1.6,0.0
SPX,auto_20260807_083117,eodfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7685.0,20260807,1,2026-08-07 08:31,2026-08-07 16:00,cash_settle,expired,5.0,0.0
SPX,auto_20260807_083117,eodfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7710.0,20260807,1,2026-08-07 08:31,2026-08-07 16:00,cash_settle,expired,5.0,0.0
SPX,auto_20260807_083138,eodfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7735.0,20260807,1,2026-08-07 08:31,2026-08-07 08:43,paper_fill,level ACCEPTED: spot 7737 held above the 7710 short strike for 10min (>10) — the wall we sold did not hold,15.3,17.4
SPX,auto_20260807_083138,eodfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7710.0,20260807,1,2026-08-07 08:31,2026-08-07 08:43,paper_fill,level ACCEPTED: spot 7737 held above the 7710 short strike for 10min (>10) — the wall we sold did not hold,15.3,17.4
SPX,auto_20260807_083159,openic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7630.0,20260807,1,2026-08-07 08:31,2026-08-07 16:00,cash_settle,expired,0.7,0.0
SPX,auto_20260807_083159,openic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7655.0,20260807,1,2026-08-07 08:31,2026-08-07 16:00,cash_settle,expired,0.7,0.0
SPX,auto_20260807_083236,openic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7830.0,20260807,1,2026-08-07 08:32,2026-08-07 16:00,cash_settle,expired,0.6,0.0
SPX,auto_20260807_083236,openic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7805.0,20260807,1,2026-08-07 08:32,2026-08-07 16:00,cash_settle,expired,0.6,0.0
SPX,auto_20260807_083257,openfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7705.0,20260807,1,2026-08-07 08:32,2026-08-07 16:00,cash_settle,expired,7.9,0.0
SPX,auto_20260807_083257,openfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7730.0,20260807,1,2026-08-07 08:32,2026-08-07 16:00,cash_settle,expired,7.9,0.0
SPX,auto_20260807_083318,openfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7755.0,20260807,1,2026-08-07 08:33,2026-08-07 08:43,paper_fill,level ACCEPTED: spot 7737 held above the 7730 short strike for 10min (>10) — the wall we sold did not hold,12.2,12.5
SPX,auto_20260807_083318,openfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7730.0,20260807,1,2026-08-07 08:33,2026-08-07 08:43,paper_fill,level ACCEPTED: spot 7737 held above the 7730 short strike for 10min (>10) — the wall we sold did not hold,12.2,12.5
SPX,auto_20260810_090109,eodic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7655.0,20260810,1,2026-08-10 09:01,2026-08-10 16:00,cash_settle,expired,0.1,0.0
SPX,auto_20260810_090109,eodic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7680.0,20260810,1,2026-08-10 09:01,2026-08-10 16:00,cash_settle,expired,0.1,0.0
SPX,auto_20260810_090137,eodfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7735.0,20260810,1,2026-08-10 09:01,2026-08-10 10:41,paper_fill,level ACCEPTED: spot 7758 held below the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.7,6.5
SPX,auto_20260810_090137,eodfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7760.0,20260810,1,2026-08-10 09:01,2026-08-10 10:41,paper_fill,level ACCEPTED: spot 7758 held below the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.7,6.5
SPX,auto_20260810_090158,eodfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7785.0,20260810,1,2026-08-10 09:01,2026-08-10 09:17,paper_fill,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.9,9.9
SPX,auto_20260810_090158,eodfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7760.0,20260810,1,2026-08-10 09:01,2026-08-10 09:17,paper_fill,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.9,9.9
SPX,auto_20260810_090219,openic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7655.0,20260810,1,2026-08-10 09:02,2026-08-10 16:00,cash_settle,expired,0.1,0.0
SPX,auto_20260810_090219,openic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7680.0,20260810,1,2026-08-10 09:02,2026-08-10 16:00,cash_settle,expired,0.1,0.0
