ts_et,trade_id,spot,net_mid,net_spread,unreal_pnl,pop,ev,p_maxloss,sigma,max_gain,max_loss
2026-07-24 13:41:30,auto_20260724_090200,7435.8,33.75,0.3,245.0,0.5662,1090,0.0098,42.1,16792,-3111
2026-07-24 13:43:43,auto_20260724_085540,7436.2,-0.45,0.1,835.0,0.86,567,0.0716,41.8,880,-1620
2026-07-24 13:43:43,auto_20260724_090200,7436.2,33.62,0.25,232.5,0.5641,1091,0.0097,41.8,16697,-3109
2026-07-24 13:45:56,auto_20260724_085540,7434.45,-0.5,0.1,830.0,0.8527,550,0.076,41.4,880,-1620
2026-07-24 13:45:56,auto_20260724_090200,7434.45,32.32,0.35,102.5,0.5556,976,0.0099,41.4,16386,-3101
2026-07-24 13:48:10,auto_20260724_085540,7435.75,-0.5,0.1,830.0,0.86,571,0.0716,41.1,880,-1620
2026-07-24 13:48:10,auto_20260724_090200,7435.75,32.18,0.25,87.5,0.562,1025,0.0097,41.1,16378,-3116
2026-07-24 13:50:23,auto_20260724_085540,7436.8,-0.4,0.1,840.0,0.867,588,0.0652,40.7,880,-1620
2026-07-24 13:50:23,auto_20260724_090200,7436.8,33.62,0.25,232.5,0.5645,1062,0.0094,40.7,16344,-3116
2026-07-24 13:52:36,auto_20260724_085540,7434.43,-0.5,0.1,830.0,0.8564,564,0.0716,40.4,880,-1620
2026-07-24 13:52:36,auto_20260724_090200,7434.43,31.75,0.3,45.0,0.5513,911,0.0098,40.4,15967,-3101
2026-07-24 13:54:49,auto_20260724_085540,7436.9,-0.4,0.1,840.0,0.8737,599,0.0613,40.0,880,-1620
2026-07-24 13:54:49,auto_20260724_090200,7436.9,33.7,0.3,240.0,0.5607,1027,0.0093,40.0,16072,-3118
2026-07-24 13:57:02,auto_20260724_085540,7437.55,-0.35,0.1,845.0,0.8802,612,0.0575,39.7,880,-1620
2026-07-24 13:57:02,auto_20260724_090200,7437.55,33.98,0.25,267.5,0.5635,1044,0.0091,39.7,15995,-3112
2026-07-24 13:59:15,auto_20260724_085540,7436.25,-0.35,0.1,845.0,0.8737,602,0.0613,39.3,880,-1620
2026-07-24 13:59:15,auto_20260724_090200,7436.25,32.88,0.35,157.5,0.5525,948,0.0139,39.3,15721,-3110
2026-07-24 14:01:29,auto_20260724_085540,7435.45,-0.45,0.1,835.0,0.8737,597,0.0613,39.0,880,-1620
2026-07-24 14:01:29,auto_20260724_090200,7435.45,31.77,0.25,47.5,0.5461,881,0.0141,39.0,15495,-3121
2026-07-24 14:03:42,auto_20260724_085540,7432.6,-0.55,0.1,825.0,0.86,567,0.0694,38.6,880,-1620
2026-07-24 14:03:42,auto_20260724_090200,7432.6,29.73,0.15,-157.5,0.5282,704,0.0148,38.6,15064,-3112
2026-07-24 14:05:55,auto_20260724_085540,7433.45,-0.45,0.1,835.0,0.867,583,0.0632,38.2,880,-1620
2026-07-24 14:05:55,auto_20260724_090200,7433.45,30.52,0.25,-77.5,0.5306,726,0.0144,38.2,15001,-3101
2026-07-24 14:08:09,auto_20260724_085540,7436.35,-0.35,0.1,845.0,0.8834,624,0.0539,37.8,880,-1620
2026-07-24 14:08:09,auto_20260724_090200,7436.35,32.85,0.2,155.0,0.552,869,0.0135,37.8,15141,-3117
2026-07-24 14:10:22,auto_20260724_085540,7433.4,-0.45,0.1,835.0,0.8704,594,0.0613,37.5,880,-1620
2026-07-24 14:10:22,auto_20260724_090200,7433.4,30.43,0.15,-87.5,0.527,678,0.0144,37.5,14695,-3107
2026-07-24 14:12:35,auto_20260724_085540,7430.32,-0.65,0.1,815.0,0.8527,559,0.0694,37.1,880,-1620
2026-07-24 14:12:35,auto_20260724_090200,7430.32,27.62,0.25,-367.5,0.4965,492,0.0151,37.1,14234,-3111
2026-07-24 14:17:02,auto_20260724_085540,7429.88,-0.55,0.1,825.0,0.8564,565,0.0673,36.3,880,-1620
2026-07-24 14:17:02,auto_20260724_090200,7429.88,27.12,0.25,-417.5,0.4883,421,0.0151,36.3,13880,-3120
2026-07-24 14:19:15,auto_20260724_085540,7428.35,-0.65,0.1,815.0,0.849,549,0.0694,35.9,880,-1620
2026-07-24 14:19:15,auto_20260724_090200,7428.35,25.72,0.25,-557.5,0.4777,320,0.0154,35.9,13570,-3109
