ts_et,strike,side,bid,ask
16:06:11,7325.0,sell,45.1,45.6
16:06:11,7225.0,buy,28.2,28.6
16:06:16,7325.0,sell,45.1,45.6
16:06:16,7225.0,buy,28.2,28.6
16:06:21,7325.0,sell,45.3,45.7
16:06:21,7225.0,buy,28.3,28.7
16:06:26,7325.0,sell,45.3,45.8
16:06:26,7225.0,buy,28.4,28.8
16:06:31,7325.0,sell,45.2,45.7
16:06:31,7225.0,buy,28.3,28.7
16:06:36,7325.0,sell,45.1,45.6
16:06:36,7225.0,buy,28.2,28.6
16:06:41,7325.0,sell,45.2,45.6
16:06:41,7225.0,buy,28.3,28.7
16:06:46,7325.0,sell,45.2,45.6
16:06:46,7225.0,buy,28.3,28.7
16:06:51,7325.0,sell,45.3,45.8
16:06:51,7225.0,buy,28.4,28.8
16:06:56,7325.0,sell,45.5,45.9
16:06:56,7225.0,buy,28.5,28.9
16:07:01,7325.0,sell,45.8,46.2
16:07:01,7225.0,buy,28.7,29.1
16:07:06,7325.0,sell,46.6,47.1
16:07:06,7225.0,buy,29.2,29.6
16:07:11,7325.0,sell,46.5,46.9
16:07:11,7225.0,buy,29.2,29.6
16:07:16,7325.0,sell,46.6,47.0
16:07:16,7225.0,buy,29.2,29.6
16:07:21,7325.0,sell,47.0,47.4
16:07:21,7225.0,buy,29.4,29.9
16:07:26,7325.0,sell,46.8,47.2
16:07:26,7225.0,buy,29.4,29.8
16:07:31,7325.0,sell,46.8,47.2
16:07:31,7225.0,buy,29.4,29.8
16:07:36,7325.0,sell,46.8,47.2
16:07:36,7225.0,buy,29.4,29.8
16:07:41,7325.0,sell,46.9,47.3
16:07:41,7225.0,buy,29.4,29.8
16:07:46,7325.0,sell,46.9,47.3
16:07:46,7225.0,buy,29.4,29.8
16:07:51,7325.0,sell,46.8,47.3
16:07:51,7225.0,buy,29.4,29.8
16:07:56,7325.0,sell,46.8,47.2
16:07:56,7225.0,buy,29.4,29.8
16:08:01,7325.0,sell,46.7,47.1
16:08:01,7225.0,buy,29.3,29.7
16:08:06,7325.0,sell,46.7,47.1
16:08:06,7225.0,buy,29.3,29.7
16:08:11,7325.0,sell,46.5,46.9
16:08:11,7225.0,buy,29.2,29.6
16:08:16,7325.0,sell,46.5,46.9
16:08:16,7225.0,buy,29.2,29.6
16:08:21,7325.0,sell,46.5,46.9
16:08:21,7225.0,buy,29.2,29.6
16:08:26,7325.0,sell,46.6,47.0
16:08:26,7225.0,buy,29.2,29.6
16:08:31,7325.0,sell,46.7,47.1
16:08:31,7225.0,buy,29.4,29.7
16:08:36,7325.0,sell,46.6,47.0
16:08:36,7225.0,buy,29.2,29.6
16:08:41,7325.0,sell,46.5,47.0
16:08:41,7225.0,buy,29.2,29.6
16:08:46,7325.0,sell,46.5,47.0
16:08:46,7225.0,buy,29.2,29.6
16:08:51,7325.0,sell,46.6,47.0
16:08:51,7225.0,buy,29.2,29.6
16:08:56,7325.0,sell,46.5,46.9
16:08:56,7225.0,buy,29.2,29.6
16:09:01,7325.0,sell,46.5,47.0
16:09:01,7225.0,buy,29.2,29.6
16:09:06,7325.0,sell,46.6,47.0
16:09:06,7225.0,buy,29.2,29.6
16:09:11,7325.0,sell,46.8,47.2
16:09:11,7225.0,buy,29.4,29.7
16:09:16,7325.0,sell,46.9,47.3
16:09:16,7225.0,buy,29.4,29.8
16:09:21,7325.0,sell,47.0,47.4
16:09:21,7225.0,buy,29.5,29.9
16:09:26,7325.0,sell,47.1,47.6
16:09:26,7225.0,buy,29.6,30.0
16:09:31,7325.0,sell,47.1,47.5
16:09:31,7225.0,buy,29.6,30.0
16:09:36,7325.0,sell,47.1,47.5
16:09:36,7225.0,buy,29.6,30.0
16:09:41,7325.0,sell,47.0,47.4
16:09:41,7225.0,buy,29.5,29.9
16:09:46,7325.0,sell,46.8,47.4
16:09:46,7225.0,buy,29.4,29.8
16:09:51,7325.0,sell,46.8,47.3
16:09:51,7225.0,buy,29.4,29.8
16:09:56,7325.0,sell,46.8,47.3
16:09:56,7225.0,buy,29.4,29.8
16:10:01,7325.0,sell,47.0,47.5
16:10:01,7225.0,buy,29.6,30.0
16:10:06,7325.0,sell,47.0,47.5
16:10:06,7225.0,buy,29.5,29.9
16:10:11,7325.0,sell,47.0,47.5
16:10:11,7225.0,buy,29.5,30.0
16:10:16,7325.0,sell,47.1,47.6
16:10:16,7225.0,buy,29.6,30.0
16:10:21,7325.0,sell,47.1,47.6
16:10:21,7225.0,buy,29.6,30.1
