time,year,rev,side,R,tick_fav,confirm_bar,breadth_agree,breadth_slope,trin_exhaust,vix_gate,score
2021-08-20 14:55:00,2021,Trap,-1,-7.909090909090909,False,False,False,False,False,True,0
2021-08-23 08:35:00,2021,Trap,1,0.7641509433962265,False,True,True,False,False,False,2
2021-08-23 12:00:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-08-23 14:35:00,2021,BO,1,-1.0,False,False,True,False,False,False,1
2021-08-23 15:00:00,2021,OB,-1,-0.36363636363636365,False,False,False,True,False,True,0
2021-08-24 13:50:00,2021,IB,1,-1.0,False,False,True,True,False,False,1
2021-08-24 14:10:00,2021,IB,-1,-1.0,False,False,False,False,True,True,1
2021-08-24 14:40:00,2021,BO,-1,0.3333333333333333,False,False,False,True,True,True,1
2021-08-25 10:10:00,2021,IB,1,2.0,False,False,True,False,False,False,1
2021-08-25 10:30:00,2021,IB,1,2.0,False,False,True,True,False,False,1
2021-08-25 12:00:00,2021,OB,1,-1.0,False,False,True,True,False,False,1
2021-08-25 12:30:00,2021,OB,-1,-1.0,False,False,False,False,False,True,0
2021-08-25 13:35:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-08-25 14:05:00,2021,Trap,-1,2.0,False,False,False,True,False,True,0
2021-08-26 09:25:00,2021,BO,-1,2.0,False,False,False,False,False,True,0
2021-08-26 12:25:00,2021,OB,-1,0.7857142857142857,False,False,True,True,False,True,1
2021-08-26 12:35:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-08-26 13:50:00,2021,OB,-1,-1.75,False,False,True,True,False,True,1
2021-08-26 14:20:00,2021,IB,1,0.8620689655172413,False,False,False,True,False,False,0
2021-08-26 15:00:00,2021,Trap,-1,-2.272727272727273,False,False,True,True,False,True,1
2021-08-27 08:35:00,2021,IB,1,1.7142857142857142,False,True,True,False,False,False,2
2021-08-27 10:30:00,2021,IB,-1,-1.0,False,False,False,True,False,True,0
2021-08-27 12:25:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-08-27 14:20:00,2021,BO,1,-1.0,False,False,True,True,False,False,1
2021-08-27 14:30:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-08-27 14:55:00,2021,Trap,-1,-1.5333333333333334,False,False,False,True,False,True,0
2021-08-30 08:55:00,2021,IB,1,2.0,False,False,False,False,False,False,0
2021-08-30 11:05:00,2021,Trap,-1,2.0,False,False,True,False,False,True,1
2021-08-30 13:40:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-08-30 14:20:00,2021,OB,-1,2.0,False,False,True,False,False,True,1
2021-08-30 15:00:00,2021,OB,-1,1.4666666666666666,False,False,True,True,False,True,1
2021-08-31 09:10:00,2021,BO,1,0.7272727272727273,False,False,True,False,False,False,1
2021-08-31 09:35:00,2021,Trap,1,1.6470588235294117,False,False,True,True,False,False,1
2021-08-31 11:30:00,2021,OB,1,-1.0,False,False,True,True,False,False,1
2021-08-31 12:10:00,2021,BO,-1,1.1333333333333333,False,False,False,True,False,True,0
2021-08-31 12:25:00,2021,BO,-1,0.1,False,False,False,True,False,True,0
2021-08-31 13:10:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-08-31 13:45:00,2021,IB,-1,-1.0,False,False,False,True,False,True,0
2021-08-31 14:40:00,2021,Trap,1,1.9444444444444444,False,False,True,False,False,False,1
2021-09-01 10:20:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-09-01 10:35:00,2021,IB,1,1.5333333333333334,False,False,True,False,False,False,1
2021-09-01 13:25:00,2021,BO,-1,2.0,False,False,False,True,False,True,0
