group,dir,stop_abr,tgt,n,pf,net,per_yr
2E_BEAR,S,2.0,6A,489,0.94,-12760.625,-2320.1136363636365
2E_BEAR,S,2.0,TRAIL,489,0.84,-23782.5,-4324.090909090909
2E_BEAR,S,3.0,EOD,489,1.01,1594.0625,289.82954545454544
2E_BEAR,S,3.0,1A,489,0.85,-19338.749999999953,-3516.136363636355
2E_BEAR,S,3.0,2A,489,0.95,-8571.339285714312,-1558.4253246753294
2E_BEAR,S,3.0,3A,489,0.92,-17623.57142857142,-3204.285714285713
2E_BEAR,S,3.0,4A,489,0.95,-11589.866071428578,-2107.2483766233777
2E_BEAR,S,3.0,6A,489,0.93,-16671.5625,-3031.193181818182
2E_BEAR,S,3.0,TRAIL,489,0.84,-31195.0,-5671.818181818182
2E_NEUTRAL,L,0.5,EOD,478,0.89,-8384.866071428578,-1524.5211038961052
2E_NEUTRAL,L,0.5,1A,478,0.78,-13175.15625,-2395.4829545454545
2E_NEUTRAL,L,0.5,2A,478,0.79,-14659.531250000045,-2665.3693181818267
2E_NEUTRAL,L,0.5,3A,478,0.8,-14789.888392857156,-2689.0706168831193
2E_NEUTRAL,L,0.5,4A,478,0.82,-14168.90625,-2576.1647727272725
2E_NEUTRAL,L,0.5,6A,478,0.88,-9500.379464285734,-1727.3417207792243
2E_NEUTRAL,L,0.5,TRAIL,478,0.32,-40865.0,-7430.0
2E_NEUTRAL,L,1.0,EOD,478,1.03,4320.26785714289,785.5032467532527
2E_NEUTRAL,L,1.0,1A,478,0.85,-12952.053571428578,-2354.918831168832
2E_NEUTRAL,L,1.0,2A,478,0.93,-7653.616071428578,-1391.5665584415597
2E_NEUTRAL,L,1.0,3A,478,0.94,-6844.910714285688,-1244.529220779216
2E_NEUTRAL,L,1.0,4A,478,0.97,-3723.9285714285325,-677.077922077915
2E_NEUTRAL,L,1.0,6A,478,1.05,5978.973214285734,1087.0860389610425
2E_NEUTRAL,L,1.0,TRAIL,478,0.51,-44677.5,-8123.181818181818
2E_NEUTRAL,L,1.5,EOD,478,1.05,7502.745535714312,1364.1355519480567
2E_NEUTRAL,L,1.5,1A,478,0.87,-13343.459821428578,-2426.083603896105
2E_NEUTRAL,L,1.5,2A,478,0.95,-7099.263392857156,-1290.7751623376646
2E_NEUTRAL,L,1.5,3A,478,0.97,-4578.058035714266,-832.3741883116847
2E_NEUTRAL,L,1.5,4A,478,0.98,-3124.2633928571104,-568.0478896103837
2E_NEUTRAL,L,1.5,6A,478,1.05,7330.982142857156,1332.9058441558466
2E_NEUTRAL,L,1.5,TRAIL,478,0.71,-33402.5,-6073.181818181818
2E_NEUTRAL,L,2.0,EOD,478,1.08,14749.28571428569,2681.6883116883073
2E_NEUTRAL,L,2.0,1A,478,0.93,-7473.928571428578,-1358.8961038961052
2E_NEUTRAL,L,2.0,2A,478,0.97,-4082.4107142857792,-742.2564935065053
2E_NEUTRAL,L,2.0,3A,478,0.98,-3298.7053571428896,-599.7646103896163
2E_NEUTRAL,L,2.0,4A,478,1.0,-685.5357142857338,-124.64285714286069
2E_NEUTRAL,L,2.0,6A,478,1.07,12818.928571428534,2330.714285714279
2E_NEUTRAL,L,2.0,TRAIL,478,0.82,-25015.0,-4548.181818181818
2E_NEUTRAL,L,3.0,EOD,478,1.18,35715.35714285716,6493.701298701301
2E_NEUTRAL,L,3.0,1A,478,1.07,7155.758928571422,1301.0470779220768
2E_NEUTRAL,L,3.0,2A,478,1.11,17432.76785714284,3169.5941558441527
2E_NEUTRAL,L,3.0,3A,478,1.06,11873.169642857156,2158.7581168831193
2E_NEUTRAL,L,3.0,4A,478,1.1,19308.660714285732,3510.6655844155875
2E_NEUTRAL,L,3.0,6A,478,1.19,37719.375,6858.068181818182
2E_NEUTRAL,L,3.0,TRAIL,478,1.01,1685.0,306.3636363636364
2E_NEUTRAL,S,0.5,EOD,439,1.06,4806.004464285688,873.8189935064888
2E_NEUTRAL,S,0.5,1A,439,0.89,-6043.660714285734,-1098.8474025974062
2E_NEUTRAL,S,0.5,2A,439,0.84,-11045.89285714289,-2008.3441558441618
2E_NEUTRAL,S,0.5,3A,439,0.85,-11103.593750000045,-2018.8352272727354
2E_NEUTRAL,S,0.5,4A,439,0.87,-9428.928571428578,-1714.3506493506504
2E_NEUTRAL,S,0.5,6A,439,0.97,-2098.6830357143117,-381.5787337662385
2E_NEUTRAL,S,0.5,TRAIL,439,0.42,-33045.0,-6008.181818181818
2E_NEUTRAL,S,1.0,EOD,439,0.9,-12689.419642857156,-2307.1672077922103
2E_NEUTRAL,S,1.0,1A,439,0.77,-20040.758928571468,-3643.7743506493575
2E_NEUTRAL,S,1.0,2A,439,0.79,-23806.383928571468,-4328.433441558449
2E_NEUTRAL,S,1.0,3A,439,0.76,-29561.517857142888,-5374.821428571434
2E_NEUTRAL,S,1.0,4A,439,0.79,-26315.758928571424,-4784.683441558441
2E_NEUTRAL,S,1.0,6A,439,0.89,-14495.669642857156,-2635.576298701301
2E_NEUTRAL,S,1.0,TRAIL,439,0.43,-50007.5,-9092.272727272728
2E_NEUTRAL,S,1.5,EOD,439,0.93,-10859.285714285734,-1974.415584415588
2E_NEUTRAL,S,1.5,1A,439,0.82,-18333.05803571431,-3333.283279220784
2E_NEUTRAL,S,1.5,2A,439,0.84,-21712.187500000044,-3947.6704545454627
2E_NEUTRAL,S,1.5,3A,439,0.88,-18472.008928571464,-3358.5470779220846
2E_NEUTRAL,S,1.5,4A,439,0.9,-15524.687500000002,-2822.670454545455
2E_NEUTRAL,S,1.5,6A,439,0.96,-6551.473214285734,-1191.1769480519515
2E_NEUTRAL,S,1.5,TRAIL,439,0.5,-58332.5,-10605.90909090909
2E_NEUTRAL,S,2.0,EOD,439,0.86,-25723.57142857142,-4677.012987012986
2E_NEUTRAL,S,2.0,1A,439,0.77,-26955.04464285716,-4900.917207792211
2E_NEUTRAL,S,2.0,2A,439,0.79,-34190.53571428573,-6216.4610389610425
2E_NEUTRAL,S,2.0,3A,439,0.84,-28473.794642857152,-5177.053571428573
2E_NEUTRAL,S,2.0,4A,439,0.86,-25028.03571428569,-4550.551948051943
2E_NEUTRAL,S,2.0,6A,439,0.91,-17629.82142857142,-3205.4220779220764
2E_NEUTRAL,S,2.0,TRAIL,439,0.55,-66882.5,-12160.454545454546
2E_NEUTRAL,S,3.0,EOD,439,0.82,-39085.84821428573,-7106.5178571428605
2E_NEUTRAL,S,3.0,1A,439,0.75,-33382.27678571431,-6069.504870129875
