Date,book,dir,fill_bar,net
2023-04-05,FADE-L,L,44,495.0
2023-04-06,WT-L,L,15,1245.0
2023-04-06,WT-L,L,48,132.5
2023-04-06,WT-L,L,54,132.5
2023-04-11,WT-S,S,10,-555.0
2023-04-11,WT-L,L,37,-130.0
2023-04-12,FADE-L,L,10,-542.5
2023-04-12,WT-L,L,52,-542.5
2023-04-13,WT-L,L,19,1420.0
2023-04-17,WT-S,S,20,-642.5
2023-04-17,WT-S,S,33,-642.5
2023-04-18,FADE-S,S,20,-605.0
2023-04-21,FADE-S,S,63,-180.0
2023-04-24,WT-S,S,33,-567.5
2023-04-24,WT-L,L,45,495.0
2023-04-24,WT-L,L,60,295.0
2023-04-25,FADE-L,L,20,-542.5
2023-04-25,WT-S,S,50,-167.5
2023-04-27,WT-L,L,34,1557.5
2023-04-27,WT-L,L,37,1520.0
2023-04-28,WT-L,L,47,-605.0
2023-05-01,FADE-L,L,12,-342.5
2023-05-02,WT-S,S,24,-592.5
2023-05-02,FADE-L,L,31,957.5
2023-05-03,FADE-S,S,11,-655.0
2023-05-04,FADE-S,S,55,382.5
2023-05-08,WT-S,S,13,-492.5
2023-05-09,FADE-S,S,12,-155.0
2023-05-11,FADE-S,S,40,-117.5
2023-05-11,WT-S,S,58,-505.0
2023-05-12,WT-S,S,57,-630.0
2023-05-17,FADE-S,S,15,-580.0
2023-05-17,FADE-L,L,35,1145.0
2023-05-19,WT-S,S,30,95.0
2023-05-22,WT-S,S,25,195.0
2023-05-23,FADE-L,L,26,-580.0
2023-05-24,WT-S,S,20,-630.0
2023-05-26,WT-S,S,56,-605.0
2023-05-31,FADE-S,S,23,-592.5
2023-06-05,WT-S,S,18,707.5
2023-06-06,WT-S,S,51,-605.0
2023-06-07,WT-S,S,9,1095.0
2023-06-07,WT-S,S,36,270.0
2023-06-07,FADE-S,S,45,-92.5
2023-06-08,FADE-L,L,14,620.0
2023-06-09,WT-S,S,37,-580.0
2023-06-09,FADE-S,S,57,45.0
2023-06-13,WT-S,S,7,-592.5
2023-06-13,WT-L,L,53,-592.5
2023-06-14,FADE-S,S,42,207.5
2023-06-15,WT-L,L,32,670.0
2023-06-16,FADE-L,L,29,-642.5
2023-06-16,FADE-S,S,47,820.0
2023-06-20,WT-S,S,24,-592.5
2023-06-20,FADE-S,S,52,420.0
2023-06-21,FADE-S,S,14,-592.5
2023-06-26,WT-S,S,47,245.0
2023-06-27,FADE-L,L,31,757.5
2023-06-28,WT-L,L,16,-592.5
2023-06-29,FADE-S,S,48,-392.5
2023-06-29,WT-S,S,65,-555.0
2023-07-05,FADE-L,L,12,-442.5
2023-07-10,FADE-S,S,49,-455.0
2023-07-14,FADE-L,L,24,-417.5
2023-07-17,WT-L,L,61,-180.0
2023-07-21,FADE-L,L,19,-505.0
2023-07-24,FADE-L,L,11,32.5
2023-07-25,WT-L,L,34,307.5
2023-07-25,WT-L,L,53,132.5
2023-07-26,FADE-S,S,10,-467.5
2023-07-31,FADE-S,S,12,-392.5
2023-08-01,WT-S,S,21,-80.0
2023-08-01,FADE-L,L,63,-330.0
2023-08-03,FADE-L,L,17,870.0
2023-08-04,FADE-L,L,15,-517.5
2023-08-07,FADE-S,S,37,-592.5
2023-08-07,WT-L,L,44,595.0
2023-08-07,FADE-S,S,51,-592.5
2023-08-09,FADE-L,L,12,-617.5
2023-08-10,FADE-S,S,13,2307.5
2023-08-11,FADE-L,L,14,-617.5
2023-08-14,WT-L,L,32,507.5
2023-08-14,FADE-L,L,42,345.0
2023-08-17,FADE-S,S,27,-692.5
2023-08-17,FADE-S,S,45,1770.0
2023-08-21,FADE-L,L,18,-692.5
2023-08-22,WT-S,S,50,-730.0
2023-08-23,WT-L,L,34,445.0
2023-08-24,FADE-S,S,14,2432.5
2023-08-25,WT-L,L,34,1070.0
2023-08-28,WT-S,S,8,-217.5
2023-08-28,WT-L,L,49,-792.5
2023-08-31,FADE-L,L,11,-792.5
2023-08-31,WT-S,S,37,257.5
2023-09-01,FADE-L,L,36,95.0
2023-09-06,FADE-S,S,10,232.5
2023-09-12,WT-S,S,19,-505.0
2023-09-12,FADE-S,S,42,-505.0
2023-09-13,WT-S,S,12,-455.0
2023-09-13,FADE-L,L,18,-455.0
2023-09-13,FADE-S,S,57,82.5
2023-09-14,FADE-L,L,32,395.0
2023-09-15,WT-S,S,25,545.0
2023-09-15,WT-S,S,59,-155.0
2023-09-18,FADE-L,L,13,20.0
2023-09-19,WT-L,L,65,345.0
2023-09-20,WT-S,S,16,2757.5
2023-09-20,WT-L,L,42,-505.0
2023-09-20,WT-S,S,62,2370.0
2023-09-22,WT-S,S,62,-555.0
2023-09-27,FADE-S,S,14,-630.0
2023-10-02,FADE-S,S,35,-717.5
2023-10-03,WT-L,L,40,-755.0
2023-10-04,WT-S,S,57,-792.5
2023-10-05,WT-S,S,18,-780.0
2023-10-06,WT-L,L,57,82.5
2023-10-10,FADE-L,L,24,-892.5
2023-10-11,WT-S,S,13,-892.5
2023-10-11,FADE-S,S,32,-892.5
2023-10-12,FADE-S,S,12,-867.5
2023-10-12,FADE-S,S,47,-67.5
2023-10-13,FADE-S,S,10,1595.0
2023-10-13,WT-L,L,58,-330.0
2023-10-18,FADE-S,S,57,557.5
2023-10-19,FADE-S,S,9,-892.5
2023-10-19,WT-L,L,35,-892.5
