entry_id,Date,dir,regime,hour,fx4p_t8p,fx4p_eod,sb1_t8p,sb1_eod,er10,adx14,sb_ibs_o,sb_dirok,sb_rngx,ema_side_ok,warm
2021-10-15_73S2,2021-10-15,S,NEUTRAL,14,-205.0,-205.0,-180.0,-180.0,0.099,16.7,0.3125,False,1.2307692307692308,True,True
2021-10-18_56L2,2021-10-18,L,BULL,13,395.0,270.0,-92.5,-92.5,0.238,36.7,1.0,True,1.4516129032258065,True,True
2021-10-19_7L2,2021-10-19,L,BULL,09,395.0,995.0,395.0,995.0,,,0.15,False,0.8333333333333334,True,False
2021-10-19_15L2,2021-10-19,L,BULL,09,395.0,770.0,395.0,770.0,0.156,,0.4736842105263157,False,1.124260355029586,True,True
2021-10-19_27L2,2021-10-19,L,BULL,10,395.0,532.5,-42.5,-42.5,0.346,,0.4,True,0.4807692307692307,True,True
2021-10-19_42L2,2021-10-19,L,BULL,12,-205.0,-205.0,-42.5,-42.5,0.438,41.9,0.6,False,0.8620689655172414,True,True
2021-10-19_50L2,2021-10-19,L,BULL,12,-205.0,-205.0,-42.5,-42.5,0.111,36.0,1.0,True,0.6756756756756757,True,True
2021-10-20_23L2,2021-10-20,L,BULL,10,-205.0,-205.0,-105.0,-105.0,0.265,,1.0,True,0.7751937984496123,True,True
2021-10-21_8L2,2021-10-21,L,NEUTRAL,09,395.0,-205.0,395.0,-155.0,,,0.7857142857142857,True,0.9423076923076924,True,False
2021-10-21_42L2,2021-10-21,L,BULL,12,395.0,732.5,-67.5,-67.5,0.278,15.7,0.8571428571428571,True,0.8045977011494253,True,True
2021-10-21_62S2,2021-10-21,S,BULL,13,-205.0,-205.0,-30.0,-30.0,0.091,12.1,0.5,False,0.4545454545454545,False,True
2021-10-22_9S2,2021-10-22,S,BEAR,09,-205.0,-205.0,-205.0,-205.0,,,0.2777777777777778,False,0.8,True,False
2021-10-22_33S2,2021-10-22,S,BEAR,11,-205.0,-205.0,-130.0,-130.0,0.03,30.5,0.5,False,0.4724409448818898,True,True
2021-10-22_49S2,2021-10-22,S,BULL,12,-205.0,-205.0,-92.5,-92.5,0.013,15.2,1.0,True,0.5882352941176471,False,True
2021-10-22_63S2,2021-10-22,S,BULL,13,395.0,332.5,395.0,332.5,0.293,14.5,0.95,True,1.4184397163120568,False,True
2021-10-25_13L2,2021-10-25,L,NEUTRAL,09,395.0,807.5,395.0,807.5,0.483,,1.0,True,1.3541666666666667,True,True
2021-10-25_27L2,2021-10-25,L,BULL,10,395.0,482.5,395.0,482.5,0.333,,0.4444444444444444,False,0.8737864077669902,True,True
2021-10-25_68L2,2021-10-25,L,NEUTRAL,14,-205.0,-205.0,-55.0,-55.0,0.026,13.8,0.6666666666666666,False,0.6818181818181818,True,True
2021-10-26_17L2,2021-10-26,L,BEAR,09,-205.0,-205.0,-217.5,-217.5,0.397,,0.7894736842105263,True,1.2837837837837838,True,True
2021-10-26_76L2,2021-10-26,L,NEUTRAL,14,-205.0,-205.0,-192.5,-192.5,0.018,14.7,0.9411764705882352,True,1.2142857142857142,True,True
2021-10-27_18S2,2021-10-27,S,BEAR,10,-205.0,-205.0,-217.5,-217.5,0.312,,0.1578947368421053,False,0.9359605911330048,True,True
2021-10-27_30L2,2021-10-27,L,BEAR,10,395.0,-205.0,-80.0,-80.0,0.234,7.7,0.375,True,0.5970149253731343,False,True
2021-10-27_42L2,2021-10-27,L,NEUTRAL,11,395.0,-205.0,395.0,-80.0,0.102,6.4,0.375,False,0.7272727272727273,True,True
2021-10-27_54L2,2021-10-27,L,BULL,13,-205.0,-205.0,-92.5,-92.5,0.333,14.2,0.8888888888888888,True,0.9375,True,True
2021-10-27_76S2,2021-10-27,S,BEAR,14,395.0,395.0,395.0,395.0,0.481,38.3,0.5882352941176471,True,0.8947368421052632,True,True
2021-10-28_26L2,2021-10-28,L,BULL,10,-205.0,-205.0,-80.0,-80.0,0.125,,0.875,True,0.6666666666666666,True,True
2021-10-29_12S2,2021-10-29,S,BEAR,09,-205.0,-205.0,-217.5,-217.5,0.065,,0.9473684210526316,True,0.95,True,True
2021-10-29_32L2,2021-10-29,L,BULL,13,-205.0,-205.0,-130.0,-130.0,0.235,52.2,0.9166666666666666,True,1.0256410256410258,True,True
2021-10-29_43L2,2021-10-29,L,BULL,12,-205.0,-205.0,-80.0,-80.0,0.228,54.1,0.375,False,0.8,True,True
2021-10-29_69S2,2021-10-29,S,NEUTRAL,14,-205.0,-205.0,-142.5,-142.5,0.048,25.8,0.4615384615384615,False,1.1304347826086956,True,True
2021-11-01_13S2,2021-11-01,S,NEUTRAL,09,-205.0,-205.0,-180.0,-180.0,0.275,,0.4375,False,0.6274509803921569,True,True
