Date,src,book,net
2023-06-05,PROXY,WT-S,707.5
2023-06-06,REAL,WT-S,-605.0
2023-06-06,PROXY,WT-S,-605.0
2023-06-07,REAL,WT-S,1095.0
2023-06-07,REAL,WT-S,270.0
2023-06-07,PROXY,WT-S,1095.0
2023-06-07,PROXY,WT-S,270.0
2023-06-09,REAL,WT-S,-580.0
2023-06-09,PROXY,WT-S,-580.0
2023-06-09,PROXY,WT-L,-130.0
2023-06-13,REAL,WT-S,-592.5
2023-06-13,REAL,WT-L,-592.5
2023-06-13,PROXY,WT-S,-592.5
2023-06-13,PROXY,WT-L,-592.5
2023-06-15,REAL,WT-L,670.0
2023-06-15,PROXY,WT-L,670.0
2023-06-20,REAL,WT-S,-592.5
2023-06-20,PROXY,WT-S,-592.5
2023-06-26,REAL,WT-S,245.0
2023-06-26,PROXY,WT-S,245.0
2023-06-27,PROXY,WT-S,-567.5
2023-06-28,REAL,WT-L,-592.5
2023-06-28,PROXY,WT-L,-592.5
2023-06-29,REAL,WT-S,-555.0
2023-06-29,PROXY,WT-S,-555.0
2023-07-17,REAL,WT-L,-180.0
2023-07-17,PROXY,WT-L,-180.0
2023-07-25,REAL,WT-L,307.5
2023-07-25,REAL,WT-L,132.5
2023-07-25,PROXY,WT-L,307.5
2023-07-25,PROXY,WT-L,132.5
2023-08-01,REAL,WT-S,-80.0
2023-08-01,PROXY,WT-S,-80.0
2023-08-07,REAL,WT-L,595.0
2023-08-07,PROXY,WT-L,595.0
2023-08-09,PROXY,WT-S,970.0
2023-08-14,REAL,WT-L,507.5
2023-08-14,PROXY,WT-L,507.5
2023-08-22,REAL,WT-S,-730.0
2023-08-22,PROXY,WT-S,-730.0
2023-08-23,REAL,WT-L,445.0
2023-08-23,PROXY,WT-L,445.0
2023-08-25,REAL,WT-L,1070.0
2023-08-28,REAL,WT-S,-217.5
2023-08-28,REAL,WT-L,-792.5
2023-08-28,PROXY,WT-S,-217.5
2023-08-28,PROXY,WT-L,-792.5
2023-08-31,REAL,WT-S,257.5
2023-08-31,PROXY,WT-S,257.5
2023-09-12,REAL,WT-S,-505.0
2023-09-12,PROXY,WT-S,-505.0
2023-09-13,REAL,WT-S,-455.0
2023-09-13,PROXY,WT-S,-455.0
2023-09-15,REAL,WT-S,545.0
2023-09-15,REAL,WT-S,-155.0
2023-09-15,PROXY,WT-S,545.0
2023-09-15,PROXY,WT-S,-155.0
2023-09-19,REAL,WT-L,345.0
2023-09-19,PROXY,WT-L,345.0
2023-09-20,REAL,WT-S,2757.5
2023-09-20,REAL,WT-L,-505.0
2023-09-20,REAL,WT-S,2370.0
2023-09-20,PROXY,WT-S,2757.5
2023-09-20,PROXY,WT-L,-505.0
2023-09-20,PROXY,WT-S,2370.0
2023-09-22,REAL,WT-S,-555.0
2023-09-22,PROXY,WT-S,-555.0
2023-10-03,REAL,WT-L,-755.0
2023-10-03,PROXY,WT-L,-755.0
2023-10-04,REAL,WT-S,-792.5
2023-10-04,PROXY,WT-S,-792.5
2023-10-05,REAL,WT-S,-780.0
2023-10-05,PROXY,WT-S,-780.0
2023-10-06,REAL,WT-L,82.5
2023-10-06,PROXY,WT-L,82.5
2023-10-11,REAL,WT-S,-892.5
2023-10-11,PROXY,WT-S,-892.5
2023-10-13,REAL,WT-L,-330.0
2023-10-13,PROXY,WT-L,-230.0
2023-10-13,PROXY,WT-L,-330.0
2023-10-19,REAL,WT-L,-892.5
2023-10-19,PROXY,WT-L,-892.5
2023-10-25,REAL,WT-S,45.0
2023-10-25,PROXY,WT-S,45.0
2023-10-27,REAL,WT-L,-880.0
2023-10-27,PROXY,WT-L,-880.0
2023-10-31,REAL,WT-L,120.0
2023-10-31,PROXY,WT-L,120.0
2023-11-06,REAL,WT-S,-517.5
2023-11-06,PROXY,WT-S,-517.5
2023-11-07,REAL,WT-L,-105.0
2023-11-07,PROXY,WT-L,-105.0
2023-11-07,PROXY,WT-S,-242.5
2023-11-10,REAL,WT-L,582.5
2023-11-10,REAL,WT-L,520.0
2023-11-10,PROXY,WT-L,582.5
2023-11-10,PROXY,WT-L,520.0
2023-11-13,REAL,WT-L,-105.0
2023-11-13,PROXY,WT-L,-105.0
2023-11-17,REAL,WT-L,95.0
2023-11-17,PROXY,WT-L,95.0
2023-11-29,REAL,WT-S,-342.5
2023-11-29,PROXY,WT-S,-342.5
2023-11-30,REAL,WT-L,-367.5
2023-11-30,PROXY,WT-L,-367.5
2023-11-30,PROXY,WT-S,-367.5
2023-12-01,REAL,WT-S,-380.0
2023-12-01,REAL,WT-L,195.0
2023-12-01,PROXY,WT-S,-380.0
2023-12-01,PROXY,WT-L,195.0
2023-12-05,REAL,WT-S,-392.5
2023-12-05,PROXY,WT-S,-392.5
2023-12-06,REAL,WT-S,945.0
2023-12-06,REAL,WT-S,782.5
2023-12-06,PROXY,WT-S,945.0
2023-12-06,PROXY,WT-S,782.5
2023-12-07,REAL,WT-L,-180.0
2023-12-07,PROXY,WT-L,-180.0
2023-12-08,REAL,WT-L,820.0
2023-12-08,PROXY,WT-L,820.0
2023-12-12,REAL,WT-L,882.5
2023-12-12,REAL,WT-L,732.5
2023-12-12,PROXY,WT-L,882.5
2023-12-12,PROXY,WT-L,732.5
2023-12-15,REAL,WT-L,-592.5
2023-12-15,REAL,WT-L,-592.5
2023-12-15,PROXY,WT-L,-592.5
2023-12-15,PROXY,WT-L,-592.5
2023-12-19,REAL,WT-L,132.5
2023-12-19,REAL,WT-L,170.0
2023-12-19,PROXY,WT-L,132.5
2023-12-19,PROXY,WT-L,170.0
2023-12-28,REAL,WT-S,32.5
2023-12-28,PROXY,WT-S,32.5
2023-12-29,REAL,WT-L,-55.0
2023-12-29,PROXY,WT-L,-55.0
2024-01-03,PROXY,WT-S,-530.0
2024-01-05,REAL,WT-S,-567.5
2024-01-05,PROXY,WT-S,-567.5
2024-01-11,REAL,WT-L,732.5
2024-01-11,PROXY,WT-L,732.5
2024-01-16,REAL,WT-L,-580.0
2024-01-16,REAL,WT-S,-417.5
2024-01-16,PROXY,WT-L,-580.0
2024-01-16,PROXY,WT-S,-417.5
2024-01-18,REAL,WT-S,-592.5
2024-01-18,REAL,WT-S,-592.5
2024-01-18,PROXY,WT-S,-592.5
2024-01-18,PROXY,WT-S,-592.5
2024-01-19,REAL,WT-L,2082.5
2024-01-19,PROXY,WT-L,2082.5
2024-01-22,REAL,WT-S,270.0
2024-01-22,REAL,WT-S,70.0
2024-01-22,PROXY,WT-S,270.0
2024-01-22,PROXY,WT-S,70.0
2024-01-23,REAL,WT-S,-567.5
2024-01-23,PROXY,WT-S,-567.5
2024-02-01,REAL,WT-L,1795.0
2024-02-01,PROXY,WT-L,1795.0
2024-02-02,REAL,WT-L,982.5
2024-02-02,REAL,WT-L,-630.0
2024-02-02,PROXY,WT-L,982.5
2024-02-02,PROXY,WT-L,-630.0
2024-02-08,REAL,WT-S,-205.0
2024-02-08,REAL,WT-L,170.0
2024-02-08,PROXY,WT-S,-205.0
2024-02-08,PROXY,WT-L,170.0
2024-02-14,REAL,WT-L,-667.5
2024-02-14,PROXY,WT-L,-667.5
2024-02-15,REAL,WT-S,-642.5
2024-02-15,REAL,WT-L,495.0
2024-02-15,PROXY,WT-S,-642.5
2024-02-15,PROXY,WT-L,495.0
2024-02-21,REAL,WT-S,-530.0
2024-02-21,PROXY,WT-S,-530.0
2024-02-26,REAL,WT-S,607.5
2024-02-26,PROXY,WT-S,607.5
2024-02-27,REAL,WT-L,-592.5
2024-02-27,PROXY,WT-L,-592.5
2024-02-29,REAL,WT-S,-505.0
2024-02-29,REAL,WT-S,-505.0
2024-02-29,PROXY,WT-S,-505.0
2024-02-29,PROXY,WT-S,-505.0
2024-03-01,REAL,WT-L,332.5
2024-03-01,PROXY,WT-L,1220.0
2024-03-01,PROXY,WT-L,332.5
2024-03-04,REAL,WT-L,-330.0
2024-03-04,REAL,WT-L,-530.0
2024-03-04,PROXY,WT-L,-330.0
2024-03-04,PROXY,WT-L,-530.0
2024-03-06,REAL,WT-S,-580.0
2024-03-06,REAL,WT-S,-192.5
2024-03-06,REAL,WT-S,-242.5
2024-03-06,PROXY,WT-S,-580.0
2024-03-06,PROXY,WT-S,-192.5
2024-03-06,PROXY,WT-S,-242.5
2024-03-07,REAL,WT-L,-30.0
2024-03-07,REAL,WT-L,-580.0
2024-03-07,PROXY,WT-L,-30.0
2024-03-07,PROXY,WT-L,-580.0
2024-03-12,REAL,WT-L,-617.5
2024-03-12,REAL,WT-S,-617.5
2024-03-12,PROXY,WT-L,-617.5
2024-03-12,PROXY,WT-S,-617.5
2024-03-19,REAL,WT-L,1282.5
2024-03-19,PROXY,WT-L,1282.5
2024-03-20,REAL,WT-L,2495.0
2024-03-20,PROXY,WT-L,2495.0
2024-03-21,REAL,WT-L,-717.5
2024-03-21,REAL,WT-S,395.0
2024-03-21,PROXY,WT-L,-717.5
2024-03-21,PROXY,WT-S,395.0
2024-03-22,REAL,WT-S,270.0
2024-03-22,PROXY,WT-S,270.0
2024-03-26,REAL,WT-S,820.0
2024-03-26,PROXY,WT-S,820.0
2024-04-01,REAL,WT-S,20.0
2024-04-01,REAL,WT-S,-505.0
2024-04-01,PROXY,WT-S,20.0
2024-04-01,PROXY,WT-S,-505.0
2024-04-16,REAL,WT-S,-967.5
2024-04-16,PROXY,WT-S,-967.5
2024-04-18,REAL,WT-S,1420.0
2024-04-18,REAL,WT-S,45.0
2024-04-18,PROXY,WT-S,1420.0
2024-04-18,PROXY,WT-S,45.0
2024-04-22,REAL,WT-L,-967.5
2024-04-22,PROXY,WT-L,-967.5
2024-04-24,REAL,WT-S,-1017.5
2024-04-24,PROXY,WT-S,-1017.5
2024-04-26,REAL,WT-L,-180.0
2024-04-26,PROXY,WT-L,-180.0
2024-04-30,REAL,WT-S,3632.5
2024-04-30,REAL,WT-S,2145.0
2024-04-30,PROXY,WT-S,3632.5
2024-04-30,PROXY,WT-S,2145.0
2024-05-01,REAL,WT-S,-967.5
2024-05-01,REAL,WT-S,-967.5
2024-05-01,PROXY,WT-S,-967.5
2024-05-01,PROXY,WT-S,-967.5
2024-05-06,REAL,WT-L,420.0
2024-05-06,PROXY,WT-L,420.0
2024-05-09,REAL,WT-L,645.0
2024-05-09,PROXY,WT-L,645.0
2024-05-09,PROXY,WT-L,570.0
2024-05-10,REAL,WT-S,-167.5
2024-05-10,REAL,WT-S,-167.5
2024-05-10,PROXY,WT-S,-167.5
2024-05-10,PROXY,WT-S,-167.5
2024-05-13,REAL,WT-S,-17.5
2024-05-13,PROXY,WT-S,-17.5
2024-05-15,REAL,WT-L,195.0
2024-05-15,PROXY,WT-L,195.0
2024-05-16,REAL,WT-S,1045.0
2024-05-16,PROXY,WT-S,1045.0
2024-05-21,REAL,WT-L,507.5
2024-05-21,PROXY,WT-L,507.5
2024-05-22,PROXY,WT-S,-492.5
2024-05-23,PROXY,WT-S,1720.0
2024-05-24,REAL,WT-L,20.0
2024-05-24,PROXY,WT-L,20.0
2024-05-30,REAL,WT-L,-517.5
2024-05-30,PROXY,WT-L,-517.5
2024-05-31,REAL,WT-S,-530.0
2024-05-31,REAL,WT-L,3370.0
2024-05-31,PROXY,WT-S,-530.0
2024-05-31,PROXY,WT-L,3370.0
