Date,dir,net,yr,tr
2025-07-01,L,-1470.0,2025,False
2025-07-03,L,-415.0,2025,False
2025-07-07,S,1190.0,2025,False
2025-07-14,L,1680.0,2025,False
2025-07-14,L,450.0,2025,False
2025-07-14,S,355.0,2025,False
2025-07-17,L,630.0,2025,False
2025-07-17,L,60.0,2025,False
2025-07-18,S,-510.0,2025,False
2025-07-22,L,-485.0,2025,False
2025-07-23,L,2075.0,2025,False
2025-07-25,L,665.0,2025,False
2025-07-29,S,1985.0,2025,False
2025-08-05,S,3360.0,2025,False
2025-08-05,S,1150.0,2025,False
2025-08-08,L,2165.0,2025,False
2025-08-11,S,1225.0,2025,False
2025-08-12,L,1655.0,2025,False
2025-08-26,L,1705.0,2025,False
2025-08-26,L,1345.0,2025,False
2025-08-29,S,-800.0,2025,False
2025-09-02,S,2715.0,2025,False
2025-09-04,L,1910.0,2025,False
2025-09-09,S,-690.0,2025,False
2025-09-10,S,1320.0,2025,False
2025-09-10,L,-1465.0,2025,False
2025-09-12,L,1245.0,2025,False
2025-09-12,L,485.0,2025,False
2025-09-12,L,230.0,2025,False
2025-09-16,S,-105.0,2025,False
2025-09-19,L,-1135.0,2025,False
2025-09-23,S,-330.0,2025,False
2025-09-24,S,-1150.0,2025,False
2025-09-29,S,450.0,2025,False
2025-10-03,S,2565.0,2025,False
2025-10-07,S,215.0,2025,False
2025-10-08,S,-1400.0,2025,False
2025-10-10,S,7975.0,2025,False
2025-10-10,S,4655.0,2025,False
2025-10-16,L,-2115.0,2025,False
2025-10-16,L,-2115.0,2025,False
2025-10-28,L,900.0,2025,False
2025-10-28,L,300.0,2025,False
2025-11-05,L,-1745.0,2025,False
2025-11-05,L,-1745.0,2025,False
2025-11-06,L,-1690.0,2025,False
2025-11-21,S,-3110.0,2025,False
2025-11-21,L,-3110.0,2025,False
2025-11-28,L,2355.0,2025,False
2025-12-08,S,-295.0,2025,False
2025-12-08,S,-1250.0,2025,False
2025-12-16,S,-1800.0,2025,False
2025-12-17,S,390.0,2025,False
2025-12-17,S,90.0,2025,False
2025-12-17,S,-780.0,2025,False
2025-12-23,L,780.0,2025,False
2026-01-13,S,-1070.0,2026,False
2026-01-21,L,-1720.0,2026,False
2026-01-23,S,705.0,2026,False
2026-01-29,S,-1820.0,2026,False
2026-01-29,S,-1820.0,2026,False
2026-02-03,S,1685.0,2026,False
