Date,dir,net
2023-01-09,L,-205.0
2023-01-09,S,1657.5
2023-01-10,S,-205.0
2023-01-10,L,895.0
2023-01-11,L,1445.0
2023-01-11,L,1245.0
2023-01-13,L,-205.0
2023-01-13,S,-205.0
2023-01-13,L,-205.0
2023-01-17,L,-205.0
2023-01-18,L,-205.0
2023-01-19,S,-205.0
2023-01-19,L,-205.0
2023-01-19,L,-205.0
2023-01-20,L,2520.0
2023-01-23,L,1257.5
2023-01-23,L,1257.5
2023-01-23,L,-205.0
2023-01-24,L,-205.0
2023-01-30,L,-205.0
2023-01-30,S,-205.0
2023-01-31,L,1170.0
2023-01-31,L,1082.5
2023-02-01,S,-205.0
2023-02-01,S,-205.0
2023-02-01,L,-205.0
2023-02-02,L,-205.0
2023-02-02,L,-205.0
2023-02-03,S,-205.0
2023-02-03,L,-205.0
2023-02-03,L,-205.0
2023-02-06,S,-205.0
2023-02-07,S,-205.0
2023-02-07,S,-205.0
2023-02-09,S,-205.0
2023-02-10,L,-205.0
2023-02-10,L,-205.0
2023-02-10,L,-205.0
2023-02-13,L,1057.5
2023-02-13,L,-205.0
2023-02-13,L,-205.0
2023-02-13,L,-205.0
2023-02-14,L,-205.0
2023-02-14,L,-205.0
2023-02-14,L,-205.0
2023-02-15,L,-205.0
2023-02-15,S,-205.0
2023-02-15,L,-205.0
2023-02-16,L,-205.0
2023-02-16,S,-205.0
2023-02-16,S,-205.0
2023-02-17,S,-205.0
2023-02-17,L,1120.0
2023-02-17,L,870.0
2023-02-21,S,-205.0
2023-02-22,L,-205.0
2023-02-22,S,-205.0
2023-02-24,L,-205.0
2023-02-27,L,-205.0
2023-02-27,S,-205.0
2023-02-27,S,-205.0
2023-02-27,S,-205.0
2023-02-27,S,32.5
2023-02-28,L,-205.0
2023-03-01,S,-205.0
2023-03-01,L,-205.0
2023-03-01,L,-205.0
2023-03-01,S,-205.0
2023-03-03,L,-205.0
2023-03-03,L,1107.5
2023-03-06,S,232.5
2023-03-07,S,-205.0
2023-03-08,S,-205.0
2023-03-08,S,-205.0
2023-03-08,S,-205.0
2023-03-08,L,-205.0
2023-03-10,L,-205.0
2023-03-10,S,-205.0
2023-03-13,L,-205.0
2023-03-13,L,-205.0
2023-03-13,S,-205.0
2023-03-13,L,-205.0
2023-03-14,S,-205.0
2023-03-14,S,-205.0
2023-03-15,L,-205.0
2023-03-17,S,-205.0
2023-03-17,S,-205.0
2023-03-17,S,-205.0
2023-03-17,S,-205.0
2023-03-17,S,-205.0
2023-03-17,S,-205.0
2023-03-20,L,-205.0
2023-03-20,S,-205.0
2023-03-21,L,-205.0
2023-03-21,L,1232.5
2023-03-22,S,-205.0
2023-03-22,L,-205.0
2023-03-22,L,-205.0
2023-03-23,L,-205.0
2023-03-23,S,907.5
2023-03-23,S,-205.0
2023-03-24,L,-205.0
2023-03-24,L,-205.0
2023-03-24,S,-205.0
2023-03-28,S,-205.0
2023-03-29,S,-205.0
2023-03-30,L,345.0
2023-03-31,L,1945.0
2023-03-31,L,1945.0
2023-03-31,L,1720.0
2023-03-31,L,1345.0
2023-03-31,L,-205.0
2023-03-31,L,1082.5
2023-04-04,S,-205.0
2023-04-04,L,-205.0
2023-04-04,L,-205.0
2023-04-05,S,-205.0
2023-04-05,S,-205.0
2023-04-06,L,557.5
2023-04-06,L,382.5
2023-04-10,L,-205.0
2023-04-11,L,-205.0
2023-04-12,L,-205.0
2023-04-12,S,-205.0
2023-04-13,L,-205.0
2023-04-13,L,1470.0
2023-04-14,S,-205.0
2023-04-17,S,-205.0
2023-04-18,S,120.0
2023-04-18,S,-205.0
2023-04-18,S,-205.0
2023-04-19,L,182.5
2023-04-19,L,-205.0
2023-04-20,L,-205.0
2023-04-20,L,-205.0
2023-04-24,S,-205.0
2023-04-24,S,-205.0
2023-04-24,S,-205.0
2023-04-26,S,-205.0
2023-04-28,L,-205.0
2023-04-28,L,-205.0
2023-05-01,L,-205.0
2023-05-01,S,-205.0
2023-05-01,L,-205.0
2023-05-02,S,195.0
2023-05-02,S,-205.0
2023-05-02,S,-205.0
2023-05-02,S,-205.0
2023-05-02,S,-205.0
2023-05-03,S,-205.0
2023-05-04,S,-205.0
2023-05-05,L,-205.0
2023-05-09,S,-205.0
2023-05-10,S,-205.0
2023-05-10,S,-205.0
2023-05-10,L,-205.0
2023-05-10,L,595.0
2023-05-11,S,-205.0
2023-05-12,L,-205.0
2023-05-17,L,1257.5
2023-05-17,L,-205.0
2023-05-17,S,-205.0
2023-05-18,L,-205.0
2023-05-18,L,-205.0
2023-05-18,S,-205.0
2023-05-18,S,-205.0
2023-05-19,S,670.0
2023-05-22,S,-205.0
2023-05-23,L,-205.0
2023-05-23,S,-205.0
2023-05-24,S,-205.0
2023-05-25,L,-205.0
2023-05-25,L,-205.0
2023-05-25,L,-205.0
2023-05-25,L,-205.0
2023-05-25,S,-205.0
2023-05-26,L,1657.5
2023-05-26,L,1357.5
2023-05-26,L,-205.0
2023-05-26,S,-205.0
2023-05-30,S,-205.0
2023-05-31,S,-205.0
2023-06-01,L,1370.0
2023-06-01,L,-205.0
2023-06-01,L,-205.0
2023-06-05,S,545.0
2023-06-05,S,-205.0
2023-06-06,L,-205.0
2023-06-06,L,-205.0
2023-06-06,S,-205.0
2023-06-06,S,-205.0
2023-06-07,S,-205.0
2023-06-08,L,-205.0
2023-06-09,S,-205.0
2023-06-09,L,-205.0
2023-06-13,S,-205.0
2023-06-13,S,-205.0
2023-06-14,S,-205.0
2023-06-15,L,195.0
2023-06-16,S,-205.0
2023-06-16,S,895.0
2023-06-16,S,432.5
2023-06-21,L,-205.0
2023-06-21,L,-205.0
2023-06-23,L,-205.0
2023-06-23,S,495.0
2023-06-23,S,-205.0
2023-06-26,S,-205.0
2023-06-27,L,832.5
2023-06-28,L,-205.0
2023-06-28,S,-205.0
2023-06-28,S,-205.0
2023-06-29,L,-205.0
2023-06-29,S,-205.0
2023-06-30,L,345.0
2023-06-30,L,-205.0
2023-07-03,L,157.5
2023-07-06,S,-205.0
2023-07-06,S,-205.0
2023-07-06,L,932.5
2023-07-06,L,182.5
2023-07-07,S,-205.0
2023-07-07,S,-205.0
2023-07-07,L,-205.0
2023-07-10,L,-205.0
2023-07-10,L,-205.0
2023-07-10,L,-205.0
2023-07-11,L,1032.5
2023-07-11,S,-205.0
2023-07-12,S,-205.0
2023-07-13,L,-205.0
2023-07-14,S,-205.0
2023-07-17,L,220.0
2023-07-18,L,-5.0
2023-07-19,S,-205.0
2023-07-19,S,-205.0
2023-07-20,S,157.5
2023-07-21,S,-205.0
2023-07-24,S,-205.0
2023-07-25,L,-205.0
2023-07-27,S,1545.0
2023-07-27,S,507.5
2023-07-28,S,-205.0
2023-08-01,L,-205.0
2023-08-01,L,-205.0
2023-08-01,S,-205.0
2023-08-02,S,845.0
2023-08-03,S,-205.0
2023-08-03,S,-205.0
2023-08-03,L,-205.0
2023-08-03,L,-205.0
2023-08-03,L,-205.0
2023-08-03,S,-205.0
2023-08-04,S,-205.0
2023-08-04,S,-205.0
2023-08-07,S,-205.0
2023-08-07,S,-205.0
2023-08-07,L,582.5
2023-08-08,S,-205.0
2023-08-08,S,-205.0
