Date,dir,variant,net
2021-12-13,S,retest2,307.5
2021-12-13,S,retest6,357.5
2021-12-14,S,base,-717.5
2021-12-14,S,be1.0,-717.5
2021-12-14,S,be0.5,-717.5
2021-12-14,S,tight6,-717.5
2021-12-14,S,scale2x,-717.5
2021-12-14,S,retest2,-717.5
2021-12-14,S,retest6,-717.5
2021-12-14,S,base,-717.5
2021-12-14,S,be1.0,-17.5
2021-12-14,S,be0.5,-17.5
2021-12-14,S,tight6,166.3
2021-12-14,S,scale2x,-717.5
2021-12-14,S,retest2,-717.5
2021-12-14,S,retest6,-717.5
2021-12-14,S,base,-717.5
2021-12-14,S,be1.0,-717.5
2021-12-14,S,be0.5,-717.5
2021-12-14,S,tight6,-280.0
2021-12-14,S,scale2x,-717.5
2021-12-14,S,retest2,-717.5
2021-12-14,S,retest6,-717.5
2021-12-15,S,base,-755.0
2021-12-15,S,be1.0,-755.0
2021-12-15,S,be0.5,-755.0
2021-12-15,S,tight6,-455.0
2021-12-15,S,scale2x,-755.0
2021-12-15,S,retest2,-755.0
2021-12-15,S,retest6,-755.0
2021-12-15,L,base,4220.0
2021-12-15,L,be1.0,4220.0
2021-12-15,L,be0.5,4220.0
2021-12-15,L,tight6,1132.5
2021-12-15,L,scale2x,2838.8
2021-12-15,L,retest2,-755.0
2021-12-15,L,retest6,4245.0
2021-12-16,S,base,2245.0
2021-12-16,S,be1.0,2245.0
2021-12-16,S,be0.5,2245.0
2021-12-16,S,tight6,457.5
2021-12-16,S,scale2x,1963.8
2021-12-16,S,retest2,2220.0
2021-12-16,S,retest6,2270.0
2021-12-16,S,base,1457.5
2021-12-16,S,be1.0,1457.5
2021-12-16,S,be0.5,1457.5
2021-12-16,S,tight6,183.7
2021-12-16,S,scale2x,1570.0
2021-12-16,S,retest2,1432.5
2021-12-16,S,retest6,1482.5
2021-12-20,S,base,-955.0
2021-12-20,S,be1.0,-955.0
2021-12-20,S,be0.5,-17.5
2021-12-20,S,tight6,-2.5
2021-12-20,S,scale2x,-955.0
2021-12-20,S,retest2,-955.0
2021-12-20,S,retest6,-955.0
2021-12-21,L,base,1420.0
2021-12-21,L,be1.0,1420.0
2021-12-21,L,be0.5,1420.0
2021-12-21,L,tight6,1420.0
2021-12-21,L,scale2x,1420.0
2021-12-21,L,retest2,1395.0
2021-12-27,L,base,1020.0
2021-12-27,L,be1.0,1020.0
2021-12-27,L,be0.5,1020.0
2021-12-27,L,tight6,1020.0
2021-12-27,L,scale2x,1020.0
2021-12-27,L,retest2,995.0
2021-12-27,L,retest6,1045.0
2021-12-27,L,retest2,720.0
2021-12-27,L,base,557.5
2021-12-27,L,be1.0,557.5
2021-12-27,L,be0.5,557.5
2021-12-27,L,tight6,-67.5
2021-12-27,L,scale2x,557.5
2021-12-27,L,retest2,532.5
2021-12-27,L,retest6,582.5
2021-12-29,S,base,-42.5
2021-12-29,S,be1.0,-42.5
2021-12-29,S,be0.5,-17.5
2021-12-29,S,tight6,-85.0
2021-12-29,S,scale2x,-42.5
2021-12-29,S,retest2,-67.5
2021-12-29,S,retest6,-17.5
2021-12-31,S,base,120.0
2021-12-31,S,be1.0,120.0
2021-12-31,S,be0.5,-17.5
2021-12-31,S,tight6,-107.5
2021-12-31,S,scale2x,120.0
2021-12-31,S,retest2,95.0
2021-12-31,S,retest6,145.0
2022-01-04,S,base,857.5
2022-01-04,S,be1.0,857.5
2022-01-04,S,be0.5,857.5
2022-01-04,S,tight6,117.5
2022-01-04,S,scale2x,1045.0
2022-01-04,S,retest2,832.5
2022-01-04,S,retest6,882.5
2022-01-04,S,base,-642.5
2022-01-04,S,be1.0,-642.5
2022-01-04,S,be0.5,-642.5
2022-01-04,S,tight6,-317.5
2022-01-04,S,scale2x,-642.5
2022-01-04,S,retest2,-642.5
2022-01-04,S,retest6,-642.5
2022-01-04,S,base,-642.5
2022-01-04,S,be1.0,-642.5
2022-01-04,S,be0.5,-642.5
2022-01-04,S,tight6,-542.5
2022-01-04,S,scale2x,-642.5
2022-01-04,S,retest2,-642.5
2022-01-04,S,retest6,-642.5
2022-01-05,S,base,3432.5
2022-01-05,S,be1.0,3432.5
2022-01-05,S,be0.5,-17.5
2022-01-05,S,tight6,1126.2
2022-01-05,S,scale2x,2320.0
2022-01-05,S,retest2,3407.5
2022-01-05,S,retest6,3457.5
2022-01-10,L,base,-680.0
2022-01-10,L,be1.0,-680.0
2022-01-10,L,be0.5,-17.5
2022-01-10,L,tight6,-130.0
2022-01-10,L,scale2x,-680.0
2022-01-10,L,retest2,-680.0
2022-01-10,L,retest6,-680.0
2022-01-20,S,base,5732.5
2022-01-20,S,be1.0,5732.5
2022-01-20,S,be0.5,5732.5
2022-01-20,S,tight6,5732.5
2022-01-20,S,scale2x,3757.5
2022-01-20,S,retest2,5707.5
2022-01-20,S,retest6,5757.5
2022-01-20,S,base,5745.0
2022-01-20,S,be1.0,5745.0
2022-01-20,S,be0.5,5745.0
2022-01-20,S,tight6,720.0
2022-01-20,S,scale2x,3763.8
2022-01-20,S,retest2,5720.0
2022-01-20,S,base,4882.5
2022-01-20,S,be1.0,4882.5
2022-01-20,S,be0.5,4882.5
2022-01-20,S,tight6,4882.5
2022-01-20,S,scale2x,3332.5
2022-01-20,S,retest2,4857.5
2022-01-20,S,retest6,4907.5
2022-01-21,S,base,2420.0
2022-01-21,S,be1.0,2420.0
2022-01-21,S,be0.5,-17.5
2022-01-21,S,tight6,2420.0
2022-01-21,S,scale2x,2213.8
2022-01-21,S,retest2,2395.0
2022-01-21,S,retest6,2445.0
2022-01-24,S,base,-1117.5
2022-01-24,S,be1.0,-17.5
2022-01-24,S,be0.5,-17.5
2022-01-24,S,tight6,20.0
2022-01-24,S,scale2x,532.5
2022-01-24,S,retest2,-1117.5
2022-01-24,S,retest6,-1117.5
2022-01-24,L,base,-1117.5
2022-01-24,L,be1.0,-1117.5
2022-01-24,L,be0.5,-17.5
2022-01-24,L,tight6,-1117.5
2022-01-24,L,scale2x,-1117.5
2022-01-24,L,retest2,-1117.5
2022-01-24,L,retest6,-1117.5
2022-01-24,L,base,-1117.5
2022-01-24,L,be1.0,-1117.5
2022-01-24,L,be0.5,-1117.5
2022-01-24,L,tight6,-1117.5
2022-01-24,L,scale2x,-1117.5
2022-01-24,L,retest2,-1117.5
2022-01-24,L,retest6,-1117.5
2022-01-26,S,base,-1342.5
2022-01-26,S,be1.0,-1342.5
2022-01-26,S,be0.5,-1342.5
2022-01-26,S,tight6,-167.5
2022-01-26,S,scale2x,-1342.5
2022-01-26,S,retest2,-1342.5
2022-01-26,S,retest6,-1342.5
2022-02-01,S,base,-1830.0
2022-02-01,S,be1.0,-1830.0
2022-02-01,S,be0.5,-1830.0
2022-02-01,S,tight6,-1392.5
2022-02-01,S,scale2x,-1830.0
2022-02-01,S,retest2,-1830.0
2022-02-01,S,retest6,-1830.0
2022-02-02,L,base,-930.0
2022-02-02,L,be1.0,-930.0
2022-02-02,L,be0.5,-17.5
2022-02-02,L,tight6,75.0
2022-02-02,L,scale2x,-930.0
2022-02-02,L,retest2,-955.0
2022-02-02,L,retest6,-905.0
2022-02-04,L,base,-1230.0
2022-02-04,L,be1.0,-1230.0
2022-02-04,L,be0.5,-17.5
2022-02-04,L,tight6,-342.5
2022-02-04,L,scale2x,-1230.0
2022-02-04,L,retest2,-1255.0
2022-02-04,L,retest6,-1205.0
2022-02-07,S,base,-105.0
2022-02-07,S,be1.0,-105.0
2022-02-07,S,be0.5,-17.5
2022-02-07,S,tight6,-5.0
2022-02-07,S,scale2x,-105.0
2022-02-07,S,retest2,-1705.0
2022-02-07,S,retest6,-80.0
2022-02-07,L,base,-1705.0
2022-02-07,L,be1.0,-1705.0
2022-02-07,L,be0.5,-1705.0
2022-02-07,L,tight6,198.7
2022-02-07,L,scale2x,-1705.0
2022-02-07,L,retest2,-1705.0
2022-02-10,S,base,1145.0
2022-02-10,S,be1.0,1145.0
2022-02-10,S,be0.5,-17.5
2022-02-10,S,tight6,120.0
2022-02-10,S,scale2x,1145.0
2022-02-10,S,retest2,1120.0
2022-02-10,S,retest6,1170.0
2022-02-16,S,base,-1042.5
2022-02-16,S,be1.0,-1042.5
2022-02-16,S,be0.5,-1042.5
2022-02-16,S,tight6,-305.0
2022-02-16,S,scale2x,-1042.5
2022-02-16,S,retest2,-1042.5
2022-02-16,S,retest6,-1042.5
2022-02-17,S,base,-1067.5
2022-02-17,S,be1.0,-1067.5
2022-02-17,S,be0.5,-1067.5
2022-02-17,S,tight6,-792.5
2022-02-17,S,scale2x,-1067.5
2022-02-17,S,retest2,-1067.5
