Date,eod,reg,cut
2024-03-21,395.0,145.0,True
2024-03-22,270.0,-167.5,True
2024-03-26,820.0,-55.0,True
2024-04-01,20.0,45.0,True
2024-04-01,-505.0,-267.5,True
2024-04-16,-967.5,-780.0,True
2024-04-18,1420.0,1032.5,True
2024-04-18,45.0,-342.5,True
2024-04-22,-967.5,-255.0,True
2024-04-24,-1017.5,-205.0,True
2024-04-26,-180.0,-430.0,True
2024-04-30,3632.5,1745.0,True
2024-04-30,2145.0,257.5,True
2024-05-01,-967.5,-405.0,True
2024-05-01,-967.5,-305.0,True
2024-05-06,420.0,-255.0,True
2024-05-09,645.0,-267.5,True
2024-05-10,-167.5,-155.0,True
2024-05-10,-167.5,-155.0,True
2024-05-13,-17.5,-17.5,False
2024-05-15,195.0,-155.0,True
2024-05-16,1045.0,-142.5,True
2024-05-21,507.5,-67.5,True
2024-05-24,20.0,20.0,False
2024-05-30,-517.5,-42.5,True
2024-05-31,-530.0,-530.0,False
2024-05-31,3370.0,3370.0,False
2024-06-04,-705.0,-155.0,True
2024-06-04,1232.5,1232.5,False
2024-06-04,807.5,807.5,False
2024-06-05,820.0,-80.0,True
2024-06-11,370.0,370.0,False
2024-06-13,-780.0,-292.5,True
2024-06-24,595.0,-292.5,True
2024-06-24,407.5,-480.0,True
2024-06-28,-530.0,-530.0,False
2024-07-01,-592.5,-592.5,False
2024-07-01,-592.5,-230.0,True
2024-07-03,745.0,-242.5,True
2024-07-05,157.5,70.0,True
2024-07-08,20.0,57.5,True
2024-07-08,-142.5,-105.0,True
2024-07-08,-255.0,-217.5,True
2024-07-10,870.0,870.0,False
2024-07-10,695.0,695.0,False
2024-07-15,-605.0,-280.0,True
2024-07-16,-630.0,-430.0,True
2024-07-19,1232.5,-217.5,True
2024-07-19,307.5,-292.5,True
2024-07-25,-892.5,-317.5,True
2024-07-25,2007.5,-430.0,True
2024-07-30,3045.0,2057.5,True
2024-08-20,-367.5,-192.5,True
2024-08-21,-367.5,-130.0,True
2024-08-22,2170.0,-142.5,True
2024-08-26,457.5,195.0,True
2024-08-26,-392.5,-242.5,True
2024-08-27,107.5,-255.0,True
2024-08-28,-767.5,-767.5,False
2024-08-29,-792.5,-367.5,True
2024-08-30,-817.5,-405.0,True
2024-09-06,282.5,-142.5,True
2024-09-17,-292.5,-205.0,True
2024-09-18,-1067.5,-255.0,True
2024-09-23,-417.5,-130.0,True
2024-09-24,182.5,-267.5,True
2024-09-25,245.0,382.5,True
2024-09-25,-355.0,-217.5,True
2024-09-27,520.0,-230.0,True
2024-10-02,945.0,332.5,True
2024-10-02,-755.0,-492.5,True
2024-10-02,-755.0,-755.0,False
2024-10-02,-755.0,-692.5,True
2024-10-03,-705.0,-267.5,True
2024-10-08,720.0,782.5,True
2024-10-09,95.0,220.0,True
2024-10-11,-30.0,-30.0,False
2024-10-15,1270.0,145.0,True
2024-10-15,1245.0,120.0,True
2024-10-18,-55.0,-55.0,False
2024-10-25,1682.5,870.0,True
2024-10-29,782.5,520.0,True
2024-10-29,407.5,145.0,True
2024-10-30,1182.5,1182.5,False
2024-11-04,-767.5,-442.5,True
2024-11-04,-767.5,-367.5,True
2024-11-08,-417.5,-267.5,True
2024-11-12,357.5,670.0,True
2024-11-13,-780.0,-367.5,True
2024-11-13,-780.0,-355.0,True
2024-11-14,-780.0,-180.0,True
2024-11-21,-405.0,-317.5,True
2024-11-22,-817.5,-817.5,False
2024-11-26,-855.0,-555.0,True
2024-12-03,370.0,-55.0,True
2024-12-09,-455.0,-92.5,True
2024-12-10,-417.5,-130.0,True
2024-12-10,582.5,-142.5,True
2024-12-11,82.5,345.0,True
2024-12-16,-230.0,-155.0,True
2024-12-17,-467.5,-180.0,True
2024-12-18,10470.0,-130.0,True
2024-12-31,357.5,-117.5,True
2025-01-03,-1467.5,-405.0,True
