Date,book,net
2016-12-21,WT-S,232.5
2016-12-28,WT-S,32.5
2016-12-30,WT-S,282.5
2017-01-06,WT-L,-167.5
2017-01-09,WT-L,-155.0
2017-01-13,WT-S,-17.5
2017-01-18,WT-L,120.0
2017-01-20,WT-S,132.5
2017-01-23,WT-S,-192.5
2017-01-24,WT-L,-105.0
2017-01-30,WT-S,-180.0
2017-02-01,WT-S,-55.0
2017-02-01,WT-S,-217.5
2017-02-01,WT-S,-217.5
2017-02-02,WT-L,-230.0
2017-02-07,WT-S,45.0
2017-02-10,WT-L,-55.0
2017-02-17,WT-L,-205.0
2017-03-06,WT-S,-192.5
2017-03-08,WT-S,-192.5
2017-03-16,WT-L,-205.0
2017-03-22,WT-L,-242.5
2017-03-28,WT-L,-292.5
2017-03-30,WT-L,-305.0
2017-04-04,WT-L,170.0
2017-04-05,WT-L,-280.0
2017-04-11,WT-S,-267.5
2017-04-13,WT-S,345.0
2017-04-18,WT-S,-280.0
2017-04-28,WT-S,-5.0
2017-05-10,WT-L,170.0
2017-05-11,WT-S,-167.5
2017-05-11,WT-L,157.5
2017-05-15,WT-L,-80.0
2017-05-18,WT-L,-205.0
2017-05-19,WT-L,20.0
2017-05-22,WT-S,-230.0
2017-05-23,WT-L,7.5
2017-06-07,WT-S,-155.0
2017-06-08,WT-L,-155.0
2017-06-12,WT-S,-192.5
2017-06-15,WT-S,-217.5
2017-06-23,WT-L,145.0
2017-06-28,WT-L,-55.0
2017-07-05,WT-L,-30.0
2017-07-11,WT-L,-255.0
2017-07-13,WT-L,20.0
2017-07-31,WT-L,7.5
2017-08-11,WT-S,145.0
2017-08-17,WT-S,-205.0
2017-08-30,WT-L,395.0
2017-08-30,WT-L,-92.5
2017-09-05,WT-L,-217.5
2017-09-05,WT-S,195.0
2017-09-05,WT-S,-217.5
2017-09-19,WT-L,82.5
2017-09-20,WT-S,-142.5
2017-09-26,WT-L,-17.5
2017-10-02,WT-L,-167.5
2017-10-06,WT-L,-180.0
2017-10-06,WT-S,-180.0
2017-11-01,WT-S,145.0
2017-11-07,WT-S,-92.5
2017-11-09,WT-L,332.5
2017-11-14,WT-L,-205.0
2017-11-24,WT-L,20.0
2017-11-27,WT-S,132.5
2017-11-30,WT-L,-167.5
2017-12-04,WT-S,870.0
2017-12-04,WT-S,457.5
2017-12-06,WT-S,7.5
2017-12-08,WT-L,32.5
2017-12-12,WT-L,-130.0
2017-12-15,WT-L,220.0
2017-12-15,WT-L,-280.0
2017-12-21,WT-L,-205.0
2017-12-28,WT-S,-42.5
2017-12-29,WT-S,632.5
2018-01-02,WT-L,145.0
2018-01-11,WT-L,320.0
2018-01-19,WT-L,407.5
2018-01-22,WT-L,720.0
2018-01-22,WT-L,470.0
2018-01-24,WT-S,-305.0
2018-01-26,WT-L,1020.0
2018-01-29,WT-L,-342.5
2018-02-02,WT-L,-355.0
2018-02-13,WT-L,770.0
2018-02-19,WT-S,-292.5
2018-02-19,WT-L,-55.0
2018-02-20,WT-L,-955.0
2018-02-20,WT-S,607.5
2018-02-22,WT-S,82.5
2018-03-01,WT-S,-592.5
2018-03-05,WT-S,-655.0
2018-03-08,WT-S,-655.0
2018-03-09,WT-L,720.0
2018-03-12,WT-L,-67.5
2018-03-13,WT-S,495.0
2018-03-15,WT-S,-330.0
2018-03-23,WT-S,2520.0
2018-03-23,WT-S,-492.5
2018-04-02,WT-S,-717.5
2018-04-03,WT-L,1007.5
2018-04-09,WT-L,-930.0
2018-04-13,WT-S,170.0
2018-04-16,WT-L,432.5
2018-04-16,WT-L,432.5
2018-04-16,WT-L,-192.5
2018-04-23,WT-L,-417.5
2018-04-30,WT-S,1432.5
2018-04-30,WT-S,657.5
2018-05-02,WT-S,-492.5
2018-05-03,WT-L,195.0
2018-05-07,WT-S,257.5
2018-05-07,WT-L,-580.0
2018-05-11,WT-S,-280.0
2018-05-16,WT-L,295.0
2018-05-16,WT-L,382.5
2018-05-16,WT-L,-55.0
2018-05-17,WT-L,-405.0
2018-05-17,WT-S,207.5
2018-05-22,WT-L,-292.5
2018-05-24,WT-S,-280.0
2018-05-24,WT-L,507.5
2018-05-30,WT-L,-92.5
2018-05-30,WT-L,-292.5
2018-05-31,WT-S,-317.5
2018-05-31,WT-S,-317.5
2018-06-01,WT-L,232.5
2018-06-05,WT-S,-317.5
2018-06-06,WT-S,-305.0
2018-06-06,WT-L,620.0
2018-06-07,WT-S,-305.0
2018-06-12,WT-L,-5.0
2018-06-15,WT-L,-242.5
2018-06-21,WT-L,-267.5
2018-06-25,WT-S,-267.5
2018-06-27,WT-S,732.5
2018-07-05,WT-L,-417.5
2018-07-05,WT-L,295.0
2018-07-11,WT-S,157.5
2018-07-11,WT-S,220.0
2018-07-16,WT-S,132.5
2018-07-17,WT-L,-17.5
2018-07-17,WT-L,-30.0
2018-07-18,WT-S,-267.5
2018-07-18,WT-L,-5.0
2018-07-20,WT-L,-255.0
2018-07-20,WT-L,-255.0
2018-07-23,WT-L,595.0
2018-07-24,WT-S,-230.0
2018-07-26,WT-S,-267.5
2018-07-30,WT-S,-292.5
2018-07-31,WT-S,-317.5
2018-08-06,WT-L,370.0
2018-08-07,WT-L,-80.0
2018-08-09,WT-S,295.0
2018-08-17,WT-S,-255.0
2018-08-17,WT-L,20.0
2018-08-20,WT-L,7.5
2018-08-21,WT-L,-255.0
2018-08-23,WT-S,32.5
2018-08-28,WT-L,82.5
2018-08-29,WT-L,7.5
2018-08-30,WT-L,-230.0
2018-08-30,WT-S,-230.0
2018-08-30,WT-L,-230.0
2018-08-31,WT-L,-230.0
2018-09-04,WT-L,-217.5
2018-09-06,WT-S,-230.0
2018-09-13,WT-S,-267.5
2018-09-14,WT-L,-255.0
2018-09-21,WT-S,307.5
2018-09-27,WT-L,-242.5
2018-09-27,WT-L,-242.5
2018-10-01,WT-L,-255.0
2018-10-03,WT-S,457.5
2018-10-03,WT-L,-242.5
2018-10-04,WT-S,157.5
2018-10-15,WT-L,-630.0
2018-11-06,WT-L,420.0
2018-11-09,WT-S,120.0
2018-11-09,WT-S,145.0
2018-11-09,WT-S,-705.0
2018-11-13,WT-L,-580.0
2018-11-14,WT-L,-567.5
2018-11-15,WT-L,-605.0
2018-11-21,WT-L,-692.5
2018-11-22,WT-L,-655.0
2018-11-22,WT-S,182.5
2018-11-27,WT-S,-592.5
2018-11-29,WT-S,-567.5
2018-11-30,WT-L,682.5
2018-12-04,WT-S,1282.5
2018-12-04,WT-S,1082.5
2018-12-07,WT-S,957.5
2018-12-07,WT-S,257.5
2018-12-10,WT-S,-730.0
2018-12-13,WT-S,720.0
2018-12-13,WT-S,370.0
2018-12-13,WT-S,7.5
2018-12-24,WT-L,-955.0
2018-12-31,WT-L,495.0
2019-01-07,WT-L,-742.5
2019-01-09,WT-S,157.5
2019-01-15,WT-L,320.0
2019-01-16,WT-S,145.0
2019-01-17,WT-L,732.5
2019-01-24,WT-S,-442.5
2019-01-29,WT-S,-130.0
2019-01-31,WT-L,245.0
2019-02-04,WT-L,432.5
2019-02-06,WT-S,120.0
2019-02-07,WT-S,-367.5
2019-02-07,WT-S,-367.5
2019-02-08,WT-L,707.5
2019-02-11,WT-S,-5.0
2019-02-11,WT-S,-42.5
2019-02-13,WT-S,-392.5
2019-02-22,WT-S,-80.0
2019-02-26,WT-L,-167.5
2019-02-27,WT-S,-267.5
2019-02-28,WT-L,-280.0
2019-03-06,WT-S,-317.5
2019-03-13,WT-S,57.5
2019-03-20,WT-S,-342.5
2019-03-21,WT-L,795.0
2019-03-21,WT-L,732.5
2019-03-22,WT-S,-392.5
2019-03-25,WT-L,-417.5
2019-03-28,WT-S,-455.0
2019-04-01,WT-L,557.5
2019-04-01,WT-L,182.5
2019-04-03,WT-L,-442.5
2019-04-03,WT-L,-442.5
2019-04-03,WT-L,-442.5
2019-04-05,WT-S,-105.0
2019-04-08,WT-L,370.0
2019-04-09,WT-L,-305.0
2019-04-09,WT-S,120.0
2019-04-10,WT-S,-292.5
2019-04-12,WT-S,-242.5
2019-04-24,WT-S,157.5
2019-04-26,WT-L,445.0
2019-04-30,WT-L,570.0
2019-05-02,WT-S,-330.0
2019-05-10,WT-L,1045.0
2019-05-22,WT-S,-80.0
2019-05-27,WT-L,107.5
2019-05-28,WT-S,1420.0
2019-05-29,WT-S,-405.0
2019-05-29,WT-L,-405.0
2019-05-30,WT-S,-380.0
2019-05-30,WT-S,-380.0
2019-06-04,WT-L,920.0
2019-06-04,WT-L,582.5
2019-06-06,WT-S,-417.5
2019-06-13,WT-S,-430.0
2019-06-13,WT-S,-317.5
2019-06-18,WT-S,232.5
2019-06-21,WT-L,-342.5
2019-06-24,WT-L,-317.5
2019-06-26,WT-S,320.0
2019-06-27,WT-L,-42.5
2019-07-04,WT-S,32.5
