Date,book,filled,yr
2025-07-10,2EL,True,2025
2025-07-14,2EL,False,2025
2025-07-14,2EL,False,2025
2025-07-18,2ES,True,2025
2025-07-21,2EL,True,2025
2025-07-25,2EL,True,2025
2025-07-25,2EL,True,2025
2025-07-25,2EL,True,2025
2025-07-25,2EL,True,2025
2025-07-28,2ES,False,2025
2025-07-28,2ES,False,2025
2025-07-28,2ES,True,2025
2025-07-29,2ES,True,2025
2025-08-05,2ES,True,2025
2025-08-08,2EL,False,2025
2025-08-11,2ES,True,2025
2025-08-11,2ES,True,2025
2025-08-12,2EL,True,2025
2025-08-12,2EL,True,2025
2025-08-14,2EL,True,2025
2025-08-19,2ES,True,2025
2025-08-20,2EL,True,2025
2025-08-26,2EL,True,2025
2025-08-26,2EL,True,2025
2025-09-04,2EL,True,2025
2025-09-04,2EL,True,2025
2025-09-04,2EL,True,2025
2025-09-04,2EL,False,2025
2025-09-08,2ES,True,2025
2025-09-08,2ES,True,2025
2025-09-09,2EL,True,2025
2025-09-11,2EL,False,2025
2025-09-11,2EL,True,2025
2025-09-12,2EL,True,2025
2025-09-12,2EL,False,2025
2025-09-12,2EL,False,2025
2025-09-16,2ES,True,2025
2025-09-17,2EL,True,2025
2025-09-19,2EL,True,2025
2025-09-19,2EL,True,2025
2025-09-23,2ES,True,2025
2025-09-24,2ES,True,2025
2025-09-30,2EL,True,2025
2025-09-30,2EL,True,2025
2025-10-02,2ES,True,2025
2025-10-02,2EL,True,2025
2025-10-03,2EL,True,2025
2025-10-03,2ES,False,2025
2025-10-07,2ES,True,2025
2025-10-08,2EL,False,2025
2025-10-10,2ES,True,2025
2025-10-10,2ES,True,2025
2025-10-10,2ES,True,2025
2025-10-16,2ES,False,2025
2025-10-16,2ES,True,2025
2025-10-29,2ES,False,2025
2025-11-05,2EL,True,2025
2025-11-06,2ES,True,2025
2025-11-07,2ES,True,2025
2025-11-11,2EL,False,2025
2025-11-12,2ES,True,2025
2025-11-13,2EL,True,2025
2025-11-21,2EL,True,2025
2025-12-03,2EL,True,2025
2025-12-03,2EL,False,2025
2025-12-03,2EL,False,2025
2025-12-03,2EL,True,2025
2025-12-05,2ES,True,2025
2025-12-08,2ES,True,2025
2025-12-12,2EL,True,2025
2025-12-15,2EL,True,2025
2025-12-15,2EL,True,2025
2025-12-17,2EL,True,2025
2025-12-17,2ES,True,2025
2025-12-17,2ES,True,2025
2025-12-17,2ES,True,2025
2025-12-17,2ES,True,2025
2025-12-19,2EL,True,2025
2025-12-22,2EL,True,2025
2025-12-23,2EL,True,2025
2025-12-26,2ES,True,2025
2026-01-02,2ES,True,2026
2026-01-05,2EL,True,2026
2026-01-05,2EL,True,2026
2026-01-07,2EL,True,2026
2026-01-09,2EL,False,2026
2026-01-12,2EL,True,2026
2026-01-12,2EL,False,2026
2026-01-14,2ES,False,2026
2026-01-14,2ES,True,2026
2026-01-16,2ES,True,2026
2026-01-27,2EL,False,2026
2026-01-29,2EL,True,2026
2026-01-29,2EL,False,2026
2026-01-29,2EL,True,2026
2026-02-03,2ES,True,2026
2026-02-03,2ES,True,2026
2026-02-03,2ES,False,2026
2026-02-03,2ES,False,2026
2026-02-04,2ES,True,2026
2026-02-09,2ES,True,2026
2026-02-12,2ES,True,2026
2026-02-12,2ES,True,2026
2026-02-13,2EL,True,2026
2026-02-17,2EL,True,2026
2026-02-18,2ES,True,2026
2026-02-25,2EL,True,2026
2026-02-25,2EL,True,2026
2026-03-04,2EL,True,2026
2026-03-05,2ES,True,2026
2026-03-17,2ES,True,2026
2026-04-07,2EL,True,2026
2026-04-09,2EL,True,2026
2026-04-10,2ES,True,2026
2026-04-13,2EL,True,2026
2026-04-15,2EL,True,2026
2026-04-15,2EL,True,2026
2026-04-20,2ES,True,2026
2026-04-21,2ES,True,2026
2026-04-21,2ES,True,2026
2026-04-22,2EL,True,2026
2026-04-27,2ES,True,2026
2026-04-27,2EL,True,2026
2026-04-29,2ES,True,2026
2026-04-29,2ES,True,2026
2026-04-29,2ES,True,2026
2026-05-04,2ES,True,2026
2026-05-07,2EL,True,2026
2026-05-07,2ES,True,2026
2026-05-13,2EL,True,2026
2026-05-13,2EL,True,2026
2026-05-13,2EL,False,2026
2026-05-13,2EL,True,2026
2026-05-18,2EL,True,2026
2026-05-20,2EL,False,2026
2026-05-20,2EL,True,2026
2026-05-28,2EL,True,2026
2026-05-28,2EL,True,2026
2026-06-01,2EL,True,2026
2026-06-03,2ES,True,2026
2026-06-16,2ES,True,2026
2026-06-17,2ES,True,2026
2026-06-22,2ES,True,2026
2026-06-24,2ES,True,2026
2026-06-24,2ES,True,2026
2026-07-01,2EL,True,2026
2026-07-01,2ES,True,2026
2026-07-02,2ES,True,2026
2026-07-02,2ES,False,2026
2026-07-02,2ES,True,2026
2026-07-06,2EL,True,2026
2026-07-06,2EL,True,2026
