Date,engine,dir,net
2023-04-17,NEW,S,-642.5
2023-04-24,OLD,S,-567.5
2023-04-24,OLD,L,495.0
2023-04-24,OLD,L,295.0
2023-04-24,NEW,S,-567.5
2023-04-24,NEW,L,495.0
2023-04-24,NEW,L,295.0
2023-04-25,OLD,S,-167.5
2023-04-25,NEW,S,-167.5
2023-04-27,OLD,L,1557.5
2023-04-27,OLD,L,1520.0
2023-04-27,NEW,L,1557.5
2023-04-27,NEW,L,1520.0
2023-04-28,OLD,L,-605.0
2023-04-28,NEW,L,-605.0
2023-05-02,OLD,S,-592.5
2023-05-02,NEW,S,-592.5
2023-05-08,OLD,S,-492.5
2023-05-08,NEW,S,-492.5
2023-05-11,OLD,S,-505.0
2023-05-11,NEW,S,-505.0
2023-05-12,OLD,S,-630.0
2023-05-12,NEW,S,-630.0
2023-05-19,OLD,S,95.0
2023-05-19,NEW,S,95.0
2023-05-22,OLD,S,195.0
2023-05-22,NEW,S,195.0
2023-05-23,NEW,S,782.5
2023-05-24,OLD,S,-630.0
2023-05-24,NEW,S,-630.0
2023-05-26,OLD,S,-605.0
2023-05-26,NEW,S,-605.0
2023-06-05,OLD,S,707.5
2023-06-05,NEW,S,707.5
2023-06-06,OLD,S,-605.0
2023-06-06,NEW,S,-605.0
2023-06-07,OLD,S,1095.0
2023-06-07,OLD,S,270.0
2023-06-07,NEW,S,1095.0
2023-06-07,NEW,S,270.0
2023-06-09,OLD,S,-580.0
2023-06-09,NEW,S,-580.0
2023-06-09,NEW,L,-130.0
2023-06-13,OLD,S,-592.5
2023-06-13,OLD,L,-592.5
2023-06-13,NEW,S,-592.5
2023-06-13,NEW,L,207.5
2023-06-13,NEW,L,307.5
2023-06-13,NEW,L,-592.5
2023-06-15,OLD,L,670.0
2023-06-15,NEW,L,670.0
2023-06-20,OLD,S,-592.5
2023-06-20,NEW,S,-592.5
2023-06-26,OLD,S,245.0
2023-06-26,NEW,S,245.0
2023-06-28,OLD,L,-592.5
2023-06-28,NEW,L,-592.5
2023-06-29,OLD,S,-555.0
2023-06-29,NEW,S,-555.0
2023-07-10,NEW,L,432.5
2023-07-17,OLD,L,-180.0
2023-07-17,NEW,L,-180.0
2023-07-19,NEW,S,457.5
2023-07-25,OLD,L,307.5
2023-07-25,OLD,L,132.5
2023-07-25,NEW,L,307.5
2023-07-25,NEW,L,132.5
2023-08-01,OLD,S,-80.0
2023-08-01,NEW,S,-80.0
2023-08-07,OLD,L,595.0
2023-08-07,NEW,L,595.0
2023-08-14,OLD,L,507.5
2023-08-14,NEW,L,507.5
2023-08-14,NEW,S,-492.5
2023-08-17,NEW,L,-692.5
2023-08-22,OLD,S,-730.0
2023-08-22,NEW,S,-730.0
2023-08-23,OLD,L,445.0
2023-08-23,NEW,L,445.0
2023-08-25,OLD,L,1070.0
2023-08-25,NEW,L,1070.0
2023-08-28,OLD,S,-217.5
2023-08-28,OLD,L,-792.5
2023-08-28,NEW,S,-217.5
2023-08-28,NEW,L,-792.5
2023-08-31,OLD,S,257.5
2023-08-31,NEW,S,257.5
2023-09-01,NEW,S,-205.0
2023-09-12,OLD,S,-505.0
2023-09-12,NEW,S,-505.0
