side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,rep
long,5,90,8989,1.1,-4.9,47.8,0.14,-1.5,null_shuffle,60m,kelt_pull,4
long,10,90,8984,22.8,20.4,56.7,1.88,17.5,null_shuffle,60m,kelt_pull,4
long,20,90,8974,14.1,11.4,53.3,0.79,3.4,null_shuffle,60m,kelt_pull,4
short,1,89,8993,2.4,-1.1,48.3,0.76,2.9,null_shuffle,60m,kelt_pull,4
short,3,89,8991,-1.3,1.3,51.7,-0.19,0.3,null_shuffle,60m,kelt_pull,4
short,5,89,8989,0.1,5.0,50.6,0.01,2.8,null_shuffle,60m,kelt_pull,4
short,10,89,8984,-10.4,-11.2,44.9,-0.83,-5.1,null_shuffle,60m,kelt_pull,4
short,20,89,8974,-14.1,-3.8,48.3,-0.81,-3.5,null_shuffle,60m,kelt_pull,4
long,1,0,1304,,,,,,null_shuffle,daily,compress_bo,5
long,3,0,1302,,,,,,null_shuffle,daily,compress_bo,5
long,5,0,1300,,,,,,null_shuffle,daily,compress_bo,5
long,10,0,1295,,,,,,null_shuffle,daily,compress_bo,5
long,20,0,1285,,,,,,null_shuffle,daily,compress_bo,5
short,1,4,1304,4.1,16.6,75.0,0.1,7.8,null_shuffle,daily,compress_bo,5
short,3,4,1302,-8.5,25.3,75.0,-0.17,2.3,null_shuffle,daily,compress_bo,5
short,5,4,1300,72.2,90.6,75.0,1.4,90.7,null_shuffle,daily,compress_bo,5
short,10,4,1295,264.9,297.3,100.0,2.72,303.4,null_shuffle,daily,compress_bo,5
short,20,4,1285,-8.3,11.6,50.0,-0.07,71.9,null_shuffle,daily,compress_bo,5
long,1,17,1304,-9.5,2.1,58.8,-0.41,-13.2,null_shuffle,daily,kelt_pull,5
long,3,17,1302,15.8,1.8,52.9,0.42,5.0,null_shuffle,daily,kelt_pull,5
long,5,17,1300,30.7,109.4,58.8,0.79,12.2,null_shuffle,daily,kelt_pull,5
long,10,17,1295,3.8,-34.2,47.1,0.06,-34.7,null_shuffle,daily,kelt_pull,5
long,20,17,1285,-46.8,-30.9,47.1,-0.5,-127.1,null_shuffle,daily,kelt_pull,5
short,1,11,1304,3.4,14.2,54.5,0.16,7.1,null_shuffle,daily,kelt_pull,5
short,3,11,1302,-16.8,-56.7,36.4,-0.39,-6.0,null_shuffle,daily,kelt_pull,5
short,5,11,1300,-50.8,-57.7,36.4,-1.11,-32.4,null_shuffle,daily,kelt_pull,5
short,10,11,1295,-77.6,-119.3,27.3,-1.65,-39.1,null_shuffle,daily,kelt_pull,5
short,20,11,1285,-210.7,-152.9,27.3,-1.68,-130.5,null_shuffle,daily,kelt_pull,5
long,1,43,1304,-28.2,-24.1,37.2,-1.62,-31.9,null_shuffle,daily,donch100,5
long,3,43,1302,4.6,-14.5,44.2,0.19,-6.3,null_shuffle,daily,donch100,5
long,5,43,1300,-14.1,-23.3,44.2,-0.48,-32.6,null_shuffle,daily,donch100,5
long,10,43,1295,-30.2,-23.1,46.5,-0.71,-68.7,null_shuffle,daily,donch100,5
long,20,43,1285,-76.8,-11.6,48.8,-1.27,-157.0,null_shuffle,daily,donch100,5
short,1,3,1304,61.2,10.8,66.7,0.66,64.9,null_shuffle,daily,donch100,5
short,3,3,1302,-149.0,-111.4,0.0,-3.78,-138.2,null_shuffle,daily,donch100,5
short,5,3,1300,-238.7,-297.9,0.0,-2.59,-220.2,null_shuffle,daily,donch100,5
short,10,3,1295,-498.6,-515.9,0.0,-8.81,-460.1,null_shuffle,daily,donch100,5
short,20,3,1285,-441.6,-427.0,0.0,-1.9,-361.4,null_shuffle,daily,donch100,5
long,1,29,1304,-11.9,-19.4,41.4,-0.54,-15.6,null_shuffle,daily,donch260,5
long,3,29,1302,19.8,-10.5,48.3,0.76,8.9,null_shuffle,daily,donch260,5
long,5,29,1300,-5.6,-25.7,44.8,-0.17,-24.0,null_shuffle,daily,donch260,5
long,10,29,1295,-26.4,-17.8,44.8,-0.47,-64.9,null_shuffle,daily,donch260,5
long,20,29,1285,-70.5,-11.6,48.3,-0.91,-150.7,null_shuffle,daily,donch260,5
short,1,2,1304,86.4,86.4,50.0,0.56,90.1,null_shuffle,daily,donch260,5
short,3,2,1302,-169.6,-169.6,0.0,-2.91,-158.8,null_shuffle,daily,donch260,5
short,5,2,1300,-329.0,-329.0,0.0,-10.57,-310.5,null_shuffle,daily,donch260,5
short,10,2,1295,-551.4,-551.4,0.0,-15.55,-512.9,null_shuffle,daily,donch260,5
short,20,2,1285,-448.8,-448.8,0.0,-1.12,-368.6,null_shuffle,daily,donch260,5
long,1,30,8993,3.6,0.5,56.7,1.01,3.0,null_shuffle,60m,compress_bo,5
long,3,30,8991,19.8,23.2,70.0,1.96,18.1,null_shuffle,60m,compress_bo,5
long,5,30,8989,20.2,23.4,70.0,1.6,17.6,null_shuffle,60m,compress_bo,5
long,10,30,8984,-1.2,6.9,53.3,-0.08,-6.6,null_shuffle,60m,compress_bo,5
long,20,30,8974,6.1,1.8,50.0,0.21,-4.9,null_shuffle,60m,compress_bo,5
short,1,29,8993,0.3,3.4,58.6,0.05,0.8,null_shuffle,60m,compress_bo,5
short,3,29,8991,-4.7,-2.2,48.3,-0.3,-3.1,null_shuffle,60m,compress_bo,5
short,5,29,8989,-17.4,-8.5,41.4,-1.06,-14.7,null_shuffle,60m,compress_bo,5
short,10,29,8984,-9.9,-5.0,44.8,-0.43,-4.5,null_shuffle,60m,compress_bo,5
short,20,29,8974,-15.5,-19.0,48.3,-0.43,-4.6,null_shuffle,60m,compress_bo,5
long,1,102,8993,0.8,1.5,52.9,0.24,0.3,null_shuffle,60m,kelt_pull,5
long,3,102,8991,14.6,13.4,61.8,2.23,13.0,null_shuffle,60m,kelt_pull,5
long,5,102,8989,15.3,11.6,59.8,1.88,12.6,null_shuffle,60m,kelt_pull,5
long,10,102,8984,17.6,14.5,53.9,1.65,12.1,null_shuffle,60m,kelt_pull,5
long,20,101,8974,9.1,3.8,50.5,0.59,-1.9,null_shuffle,60m,kelt_pull,5
short,1,78,8993,-0.8,-2.2,35.9,-0.25,-0.3,null_shuffle,60m,kelt_pull,5
short,3,78,8991,2.4,-3.8,47.4,0.42,4.0,null_shuffle,60m,kelt_pull,5
short,5,78,8989,-4.9,1.3,51.3,-0.49,-2.2,null_shuffle,60m,kelt_pull,5
short,10,78,8984,-18.0,3.0,53.8,-1.19,-12.6,null_shuffle,60m,kelt_pull,5
short,20,78,8974,-3.7,24.4,57.7,-0.19,7.2,null_shuffle,60m,kelt_pull,5
long,1,0,1304,,,,,,null_shuffle,daily,compress_bo,6
long,3,0,1302,,,,,,null_shuffle,daily,compress_bo,6
long,5,0,1300,,,,,,null_shuffle,daily,compress_bo,6
long,10,0,1295,,,,,,null_shuffle,daily,compress_bo,6
long,20,0,1285,,,,,,null_shuffle,daily,compress_bo,6
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,6
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,6
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,6
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,6
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,6
long,1,15,1304,-0.8,-7.5,46.7,-0.04,-4.5,null_shuffle,daily,kelt_pull,6
long,3,15,1302,-9.2,-84.8,46.7,-0.21,-20.5,null_shuffle,daily,kelt_pull,6
long,5,15,1300,50.3,9.7,60.0,1.13,31.5,null_shuffle,daily,kelt_pull,6
long,10,15,1295,52.1,-4.0,46.7,0.7,13.6,null_shuffle,daily,kelt_pull,6
long,20,15,1285,86.2,188.2,53.3,1.05,4.9,null_shuffle,daily,kelt_pull,6
short,1,7,1304,-7.6,-8.8,42.9,-0.27,-3.9,null_shuffle,daily,kelt_pull,6
short,3,7,1302,-35.1,-68.5,28.6,-0.58,-23.9,null_shuffle,daily,kelt_pull,6
short,5,7,1300,-126.9,-123.2,28.6,-1.49,-108.0,null_shuffle,daily,kelt_pull,6
short,10,7,1295,-172.2,-77.3,14.3,-1.9,-133.8,null_shuffle,daily,kelt_pull,6
short,20,7,1285,-248.2,-330.7,28.6,-1.31,-166.9,null_shuffle,daily,kelt_pull,6
long,1,47,1304,-14.3,-4.1,48.9,-1.17,-18.0,null_shuffle,daily,donch100,6
long,3,47,1302,-0.6,-42.9,36.2,-0.02,-11.8,null_shuffle,daily,donch100,6
long,5,47,1300,-8.4,-36.2,40.4,-0.24,-27.3,null_shuffle,daily,donch100,6
long,10,47,1295,15.3,-8.0,44.7,0.37,-23.1,null_shuffle,daily,donch100,6
long,20,47,1285,64.7,12.8,53.2,1.07,-16.6,null_shuffle,daily,donch100,6
short,1,10,1304,36.9,-6.0,40.0,1.13,40.6,null_shuffle,daily,donch100,6
short,3,9,1302,104.1,156.4,77.8,2.25,115.3,null_shuffle,daily,donch100,6
short,5,9,1300,92.7,141.8,55.6,1.64,111.5,null_shuffle,daily,donch100,6
short,10,9,1295,55.5,103.6,66.7,0.5,93.9,null_shuffle,daily,donch100,6
short,20,8,1285,-259.6,-375.2,37.5,-1.49,-178.3,null_shuffle,daily,donch100,6
long,1,26,1304,6.3,17.9,61.5,0.43,2.6,null_shuffle,daily,donch260,6
long,3,26,1302,-16.7,-38.0,38.5,-0.63,-27.9,null_shuffle,daily,donch260,6
long,5,26,1300,-44.3,-63.4,34.6,-1.23,-63.1,null_shuffle,daily,donch260,6
long,10,26,1295,-20.9,-42.8,46.2,-0.44,-59.4,null_shuffle,daily,donch260,6
long,20,26,1285,-48.1,-68.7,42.3,-0.88,-129.4,null_shuffle,daily,donch260,6
short,1,1,1304,,,,,,null_shuffle,daily,donch260,6
short,3,1,1302,,,,,,null_shuffle,daily,donch260,6
short,5,1,1300,,,,,,null_shuffle,daily,donch260,6
short,10,1,1295,,,,,,null_shuffle,daily,donch260,6
short,20,1,1285,,,,,,null_shuffle,daily,donch260,6
long,1,33,8993,-2.6,2.4,60.6,-0.36,-3.1,null_shuffle,60m,compress_bo,6
long,3,33,8991,-8.6,-4.8,48.5,-0.68,-10.2,null_shuffle,60m,compress_bo,6
long,5,33,8989,-16.2,-5.6,45.5,-0.99,-18.9,null_shuffle,60m,compress_bo,6
long,10,33,8984,-8.2,1.2,54.5,-0.41,-13.5,null_shuffle,60m,compress_bo,6
long,20,33,8974,-34.2,-29.0,42.4,-0.88,-45.2,null_shuffle,60m,compress_bo,6
short,1,24,8993,7.5,-3.4,37.5,1.06,8.1,null_shuffle,60m,compress_bo,6
short,3,24,8991,6.9,-0.6,50.0,0.77,8.5,null_shuffle,60m,compress_bo,6
short,5,24,8989,-9.5,3.2,54.2,-0.76,-6.8,null_shuffle,60m,compress_bo,6
short,10,24,8984,5.9,20.3,58.3,0.26,11.2,null_shuffle,60m,compress_bo,6
short,20,24,8974,5.4,16.6,54.2,0.15,16.4,null_shuffle,60m,compress_bo,6
long,1,94,8993,1.0,0.7,51.1,0.28,0.5,null_shuffle,60m,kelt_pull,6
long,3,94,8991,8.6,13.1,64.9,1.21,7.0,null_shuffle,60m,kelt_pull,6
long,5,94,8989,6.5,9.7,57.4,0.83,3.8,null_shuffle,60m,kelt_pull,6
long,10,94,8984,-8.0,-5.3,47.9,-0.75,-13.3,null_shuffle,60m,kelt_pull,6
long,20,94,8974,3.7,-6.8,45.7,0.24,-7.4,null_shuffle,60m,kelt_pull,6
short,1,84,8993,-9.9,-5.7,35.7,-2.58,-9.4,null_shuffle,60m,kelt_pull,6
short,3,84,8991,-9.2,-7.6,41.7,-1.48,-7.6,null_shuffle,60m,kelt_pull,6
short,5,84,8989,-2.7,4.6,51.2,-0.39,-0.0,null_shuffle,60m,kelt_pull,6
short,10,84,8984,-8.8,8.4,56.0,-0.91,-3.5,null_shuffle,60m,kelt_pull,6
short,20,84,8974,-8.1,12.9,54.8,-0.49,2.9,null_shuffle,60m,kelt_pull,6
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,7
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,7
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,7
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,7
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,7
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,7
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,7
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,7
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,7
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,7
long,1,13,1304,-46.9,-47.1,38.5,-1.92,-50.6,null_shuffle,daily,kelt_pull,7
long,3,13,1302,-42.2,-26.2,30.8,-1.36,-53.2,null_shuffle,daily,kelt_pull,7
long,5,12,1300,-41.8,-37.8,33.3,-1.3,-60.1,null_shuffle,daily,kelt_pull,7
long,10,12,1295,-70.6,-49.2,33.3,-1.2,-108.2,null_shuffle,daily,kelt_pull,7
long,20,12,1285,140.7,79.4,58.3,1.31,66.5,null_shuffle,daily,kelt_pull,7
short,1,12,1304,-53.0,-39.2,41.7,-1.57,-49.3,null_shuffle,daily,kelt_pull,7
short,3,12,1302,-35.3,-2.1,50.0,-0.67,-24.3,null_shuffle,daily,kelt_pull,7
short,5,12,1300,-115.2,-140.7,25.0,-2.35,-96.8,null_shuffle,daily,kelt_pull,7
short,10,12,1295,-124.7,-114.2,33.3,-1.31,-87.1,null_shuffle,daily,kelt_pull,7
short,20,12,1285,-177.2,49.1,50.0,-1.13,-103.0,null_shuffle,daily,kelt_pull,7
long,1,39,1304,10.0,18.5,61.5,0.75,6.3,null_shuffle,daily,donch100,7
long,3,39,1302,50.2,72.1,71.8,1.96,39.3,null_shuffle,daily,donch100,7
long,5,39,1300,64.7,60.8,64.1,1.76,46.3,null_shuffle,daily,donch100,7
long,10,38,1295,110.8,165.3,60.5,2.01,73.2,null_shuffle,daily,donch100,7
long,20,37,1285,209.8,233.8,62.2,2.61,135.5,null_shuffle,daily,donch100,7
short,1,32,1304,-19.2,-1.9,46.9,-1.2,-15.5,null_shuffle,daily,donch100,7
short,3,32,1302,-22.8,-16.0,43.8,-1.22,-11.9,null_shuffle,daily,donch100,7
short,5,32,1300,-19.5,-0.6,50.0,-0.69,-1.2,null_shuffle,daily,donch100,7
short,10,32,1295,4.0,23.3,53.1,0.11,41.6,null_shuffle,daily,donch100,7
short,20,32,1285,10.7,24.7,53.1,0.18,85.0,null_shuffle,daily,donch100,7
long,1,17,1304,9.3,18.5,58.8,0.4,5.6,null_shuffle,daily,donch260,7
long,3,17,1302,50.8,57.5,64.7,1.41,39.9,null_shuffle,daily,donch260,7
long,5,17,1300,59.1,47.8,70.6,1.02,40.8,null_shuffle,daily,donch260,7
long,10,16,1295,107.1,195.0,62.5,1.36,69.5,null_shuffle,daily,donch260,7
long,20,16,1285,177.1,85.5,50.0,1.5,102.9,null_shuffle,daily,donch260,7
short,1,9,1304,-54.2,-10.4,33.3,-1.53,-50.5,null_shuffle,daily,donch260,7
short,3,9,1302,-33.3,-3.2,44.4,-0.73,-22.3,null_shuffle,daily,donch260,7
short,5,9,1300,-32.8,60.9,66.7,-0.52,-14.5,null_shuffle,daily,donch260,7
short,10,9,1295,3.2,55.1,66.7,0.03,40.9,null_shuffle,daily,donch260,7
short,20,9,1285,40.4,197.7,66.7,0.2,114.6,null_shuffle,daily,donch260,7
long,1,22,8993,2.6,8.1,59.1,0.27,2.0,null_shuffle,60m,compress_bo,7
long,3,22,8991,10.9,3.5,68.2,0.83,9.3,null_shuffle,60m,compress_bo,7
long,5,22,8989,26.5,33.0,68.2,1.72,23.8,null_shuffle,60m,compress_bo,7
long,10,22,8984,-5.9,4.8,54.5,-0.25,-11.3,null_shuffle,60m,compress_bo,7
long,20,22,8974,10.8,24.3,59.1,0.31,-0.0,null_shuffle,60m,compress_bo,7
short,1,17,8993,-11.5,0.4,52.9,-0.91,-11.0,null_shuffle,60m,compress_bo,7
short,3,17,8991,-13.0,-9.6,41.2,-0.79,-11.4,null_shuffle,60m,compress_bo,7
short,5,17,8989,-23.4,-24.1,35.3,-1.68,-20.7,null_shuffle,60m,compress_bo,7
short,10,17,8984,-36.7,-28.8,35.3,-2.09,-31.2,null_shuffle,60m,compress_bo,7
short,20,17,8974,-23.3,-12.1,35.3,-0.98,-12.5,null_shuffle,60m,compress_bo,7
long,1,103,8993,4.2,1.5,51.5,1.13,3.7,null_shuffle,60m,kelt_pull,7
long,3,102,8991,3.1,-3.7,47.1,0.4,1.5,null_shuffle,60m,kelt_pull,7
long,5,102,8989,2.0,-5.5,47.1,0.23,-0.7,null_shuffle,60m,kelt_pull,7
long,10,102,8984,9.5,5.7,52.0,0.78,4.0,null_shuffle,60m,kelt_pull,7
long,20,102,8974,19.8,28.1,59.8,1.36,9.0,null_shuffle,60m,kelt_pull,7
short,1,86,8993,0.5,0.4,50.0,0.14,1.0,null_shuffle,60m,kelt_pull,7
short,3,86,8991,-1.5,-3.2,47.7,-0.3,0.1,null_shuffle,60m,kelt_pull,7
short,5,86,8989,-4.8,-8.8,46.5,-0.7,-2.1,null_shuffle,60m,kelt_pull,7
short,10,86,8984,3.1,6.5,53.5,0.29,8.5,null_shuffle,60m,kelt_pull,7
short,20,86,8974,-0.8,-16.5,47.7,-0.05,10.0,null_shuffle,60m,kelt_pull,7
long,1,3,1304,-37.2,8.2,66.7,-0.72,-40.9,null_shuffle,daily,compress_bo,8
long,3,3,1302,-247.4,-356.8,0.0,-2.14,-258.2,null_shuffle,daily,compress_bo,8
long,5,3,1300,-316.7,-291.4,0.0,-2.0,-334.4,null_shuffle,daily,compress_bo,8
long,10,3,1295,-275.6,-284.1,0.0,-3.01,-310.3,null_shuffle,daily,compress_bo,8
long,20,3,1285,-125.7,-11.4,33.3,-0.74,-197.2,null_shuffle,daily,compress_bo,8
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,8
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,8
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,8
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,8
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,8
long,1,13,1304,42.8,32.8,76.9,1.97,39.1,null_shuffle,daily,kelt_pull,8
long,3,13,1302,63.6,58.4,69.2,1.86,52.8,null_shuffle,daily,kelt_pull,8
long,5,13,1300,75.1,156.9,76.9,1.38,57.4,null_shuffle,daily,kelt_pull,8
long,10,13,1295,69.7,91.6,61.5,0.91,35.0,null_shuffle,daily,kelt_pull,8
long,20,13,1285,50.2,101.1,53.8,0.41,-21.2,null_shuffle,daily,kelt_pull,8
short,1,12,1304,34.3,0.2,50.0,0.91,38.0,null_shuffle,daily,kelt_pull,8
short,3,12,1302,25.2,17.7,66.7,0.4,36.0,null_shuffle,daily,kelt_pull,8
short,5,12,1300,-63.9,-74.5,33.3,-0.81,-46.2,null_shuffle,daily,kelt_pull,8
short,10,12,1295,-176.0,-226.7,41.7,-1.66,-141.2,null_shuffle,daily,kelt_pull,8
short,20,12,1285,-87.3,-139.9,41.7,-0.6,-15.9,null_shuffle,daily,kelt_pull,8
long,1,33,1304,15.3,12.2,54.5,1.02,11.6,null_shuffle,daily,donch100,8
long,3,33,1302,35.0,22.9,57.6,1.31,24.2,null_shuffle,daily,donch100,8
long,5,33,1300,25.4,16.6,57.6,0.85,7.7,null_shuffle,daily,donch100,8
long,10,33,1295,54.5,52.6,54.5,1.15,19.8,null_shuffle,daily,donch100,8
long,20,33,1285,69.0,78.6,60.6,0.94,-2.5,null_shuffle,daily,donch100,8
short,1,17,1304,-4.9,-19.0,41.2,-0.17,-1.2,null_shuffle,daily,donch100,8
short,3,17,1302,-24.8,-41.9,41.2,-0.67,-14.0,null_shuffle,daily,donch100,8
short,5,17,1300,-58.1,-78.1,29.4,-1.2,-40.4,null_shuffle,daily,donch100,8
short,10,16,1295,-48.4,-103.6,31.2,-0.71,-13.7,null_shuffle,daily,donch100,8
short,20,16,1285,-252.4,-230.1,25.0,-2.56,-180.9,null_shuffle,daily,donch100,8
long,1,22,1304,29.0,45.2,63.6,1.94,25.3,null_shuffle,daily,donch260,8
long,3,22,1302,45.4,36.9,63.6,1.38,34.6,null_shuffle,daily,donch260,8
long,5,22,1300,31.0,52.3,63.6,0.86,13.3,null_shuffle,daily,donch260,8
long,10,22,1295,94.6,82.6,68.2,1.95,59.8,null_shuffle,daily,donch260,8
long,20,22,1285,151.2,227.4,72.7,1.65,79.7,null_shuffle,daily,donch260,8
short,1,5,1304,-35.7,-19.0,40.0,-0.52,-32.0,null_shuffle,daily,donch260,8
short,3,5,1302,-76.4,-87.6,20.0,-2.08,-65.6,null_shuffle,daily,donch260,8
short,5,5,1300,-160.7,-137.3,0.0,-3.15,-143.0,null_shuffle,daily,donch260,8
short,10,5,1295,-195.3,-134.8,0.0,-3.96,-160.6,null_shuffle,daily,donch260,8
short,20,5,1285,-331.6,-433.8,20.0,-2.67,-260.1,null_shuffle,daily,donch260,8
long,1,28,8993,0.5,5.0,57.1,0.06,-0.0,null_shuffle,60m,compress_bo,8
long,3,28,8991,8.9,9.4,64.3,0.83,7.4,null_shuffle,60m,compress_bo,8
long,5,28,8989,9.7,8.2,57.1,0.75,7.1,null_shuffle,60m,compress_bo,8
long,10,28,8984,-7.9,15.6,57.1,-0.4,-13.0,null_shuffle,60m,compress_bo,8
long,20,28,8974,-9.5,2.4,53.6,-0.26,-19.8,null_shuffle,60m,compress_bo,8
short,1,19,8993,-7.4,-3.1,42.1,-1.23,-6.9,null_shuffle,60m,compress_bo,8
short,3,19,8991,-23.5,-14.8,36.8,-1.49,-21.9,null_shuffle,60m,compress_bo,8
short,5,19,8989,-21.8,-3.8,47.4,-1.07,-19.3,null_shuffle,60m,compress_bo,8
short,10,19,8984,-31.9,-49.5,47.4,-1.17,-26.8,null_shuffle,60m,compress_bo,8
short,20,19,8974,-64.9,-72.2,31.6,-1.84,-54.6,null_shuffle,60m,compress_bo,8
long,1,106,8993,-8.8,-4.3,36.8,-3.12,-9.4,null_shuffle,60m,kelt_pull,8
long,3,106,8991,-7.2,-13.1,42.5,-1.23,-8.8,null_shuffle,60m,kelt_pull,8
long,5,106,8989,-7.3,-8.8,45.3,-0.97,-9.9,null_shuffle,60m,kelt_pull,8
long,10,106,8984,-12.3,3.5,50.9,-1.05,-17.3,null_shuffle,60m,kelt_pull,8
long,20,105,8974,-8.3,1.8,50.5,-0.54,-18.7,null_shuffle,60m,kelt_pull,8
short,1,81,8993,1.3,3.4,55.6,0.23,1.8,null_shuffle,60m,kelt_pull,8
short,3,81,8991,6.3,1.0,50.6,0.72,7.9,null_shuffle,60m,kelt_pull,8
short,5,81,8989,9.3,8.0,53.1,0.81,11.9,null_shuffle,60m,kelt_pull,8
short,10,81,8984,10.2,10.6,53.1,0.67,15.3,null_shuffle,60m,kelt_pull,8
short,20,81,8974,-1.3,-10.3,45.7,-0.06,9.0,null_shuffle,60m,kelt_pull,8
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,9
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,9
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,9
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,9
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,9
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,9
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,9
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,9
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,9
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,9
long,1,15,1304,6.8,0.7,60.0,0.31,3.1,null_shuffle,daily,kelt_pull,9
long,3,15,1302,-8.2,5.9,60.0,-0.21,-19.2,null_shuffle,daily,kelt_pull,9
long,5,15,1300,-14.6,-1.7,46.7,-0.3,-33.0,null_shuffle,daily,kelt_pull,9
long,10,15,1295,-36.1,6.0,53.3,-0.48,-73.5,null_shuffle,daily,kelt_pull,9
long,20,15,1285,-66.6,23.8,53.3,-0.54,-140.7,null_shuffle,daily,kelt_pull,9
short,1,11,1304,-47.1,-19.8,27.3,-2.45,-43.4,null_shuffle,daily,kelt_pull,9
short,3,11,1302,-65.0,-25.7,27.3,-2.14,-54.0,null_shuffle,daily,kelt_pull,9
short,5,11,1300,-71.7,-68.2,45.5,-1.2,-53.3,null_shuffle,daily,kelt_pull,9
short,10,11,1295,-98.0,-46.4,36.4,-1.37,-60.7,null_shuffle,daily,kelt_pull,9
short,20,11,1285,-148.3,-136.3,36.4,-1.17,-74.2,null_shuffle,daily,kelt_pull,9
long,1,41,1304,1.5,13.7,65.9,0.11,-2.2,null_shuffle,daily,donch100,9
long,3,41,1302,4.2,32.0,58.5,0.22,-6.8,null_shuffle,daily,donch100,9
long,5,41,1300,-12.8,-7.0,48.8,-0.44,-31.2,null_shuffle,daily,donch100,9
long,10,41,1295,24.7,39.4,58.5,0.67,-12.6,null_shuffle,daily,donch100,9
long,20,40,1285,-15.1,30.4,60.0,-0.27,-89.2,null_shuffle,daily,donch100,9
short,1,16,1304,-11.2,-9.1,37.5,-0.65,-7.5,null_shuffle,daily,donch100,9
short,3,16,1302,-30.0,-46.9,37.5,-0.89,-19.0,null_shuffle,daily,donch100,9
short,5,16,1300,-21.5,-7.5,50.0,-0.47,-3.1,null_shuffle,daily,donch100,9
short,10,16,1295,-122.8,-75.1,31.2,-1.94,-85.5,null_shuffle,daily,donch100,9
short,20,16,1285,-179.9,-174.7,31.2,-2.95,-105.9,null_shuffle,daily,donch100,9
long,1,32,1304,-7.6,3.8,62.5,-0.47,-11.4,null_shuffle,daily,donch260,9
long,3,32,1302,-1.0,29.0,56.2,-0.04,-12.0,null_shuffle,daily,donch260,9
long,5,32,1300,-24.5,-25.2,46.9,-0.76,-43.0,null_shuffle,daily,donch260,9
long,10,32,1295,20.9,24.1,53.1,0.49,-16.4,null_shuffle,daily,donch260,9
long,20,31,1285,-66.3,6.9,51.6,-0.98,-140.4,null_shuffle,daily,donch260,9
short,1,4,1304,12.7,1.2,50.0,0.93,16.4,null_shuffle,daily,donch260,9
short,3,4,1302,-55.6,-46.9,25.0,-0.83,-44.6,null_shuffle,daily,donch260,9
short,5,4,1300,-169.6,-165.0,50.0,-1.4,-151.1,null_shuffle,daily,donch260,9
short,10,4,1295,-158.4,-172.0,25.0,-1.09,-121.1,null_shuffle,daily,donch260,9
short,20,4,1285,-375.8,-327.3,0.0,-3.05,-301.7,null_shuffle,daily,donch260,9
long,1,35,8993,-0.6,-0.4,48.6,-0.15,-1.1,null_shuffle,60m,compress_bo,9
long,3,35,8991,7.5,4.4,60.0,0.8,5.9,null_shuffle,60m,compress_bo,9
long,5,35,8989,10.7,1.0,54.3,1.11,8.0,null_shuffle,60m,compress_bo,9
long,10,35,8984,17.8,20.2,62.9,1.2,12.4,null_shuffle,60m,compress_bo,9
long,20,35,8974,7.7,-11.5,45.7,0.39,-3.0,null_shuffle,60m,compress_bo,9
short,1,28,8993,0.6,-5.1,42.9,0.09,1.1,null_shuffle,60m,compress_bo,9
short,3,28,8991,2.5,5.0,60.7,0.35,4.1,null_shuffle,60m,compress_bo,9
short,5,28,8989,14.3,9.6,60.7,1.1,17.0,null_shuffle,60m,compress_bo,9
short,10,28,8984,1.0,-1.0,46.4,0.05,6.3,null_shuffle,60m,compress_bo,9
short,20,28,8974,-15.4,-12.4,42.9,-0.6,-4.7,null_shuffle,60m,compress_bo,9
long,1,92,8993,0.8,2.9,55.4,0.3,0.3,null_shuffle,60m,kelt_pull,9
long,3,92,8991,3.4,5.8,57.6,0.67,1.8,null_shuffle,60m,kelt_pull,9
long,5,91,8989,6.2,6.9,56.0,0.76,3.5,null_shuffle,60m,kelt_pull,9
