Date,base_book_n,base_book_net,base_fade_n,base_fade_net,all_book_n,all_book_net,all_fade_n,all_fade_net
2022-09-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-30,0,0.0,0,0.0,1,-1005.0,1,-217.5
2022-10-03,2,2240.0,0,0.0,2,2240.0,0,0.0
2022-10-04,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-05,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-06,1,-1130.0,0,0.0,0,0.0,0,0.0
2022-10-07,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-10,0,0.0,1,-217.5,1,-92.5,1,-217.5
2022-10-11,0,0.0,2,-435.0,1,-1242.5,1,-217.5
2022-10-12,1,370.0,1,-217.5,0,0.0,1,-217.5
2022-10-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-14,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-18,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-19,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-20,2,-885.0,0,0.0,2,-885.0,0,0.0
2022-10-21,1,-1305.0,0,0.0,0,0.0,0,0.0
2022-10-24,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-26,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-27,1,2070.0,0,0.0,1,2070.0,1,-217.5
2022-10-28,0,0.0,0,0.0,0,0.0,0,0.0
2022-10-31,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-02,1,-1155.0,0,0.0,1,-1155.0,0,0.0
2022-11-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-04,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-07,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-08,1,-1180.0,0,0.0,1,-1180.0,0,0.0
2022-11-09,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-11,1,-1205.0,0,0.0,1,-1205.0,0,0.0
2022-11-14,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-16,2,-110.0,0,0.0,2,-110.0,0,0.0
2022-11-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-18,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-21,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-22,0,0.0,0,0.0,1,1057.5,0,0.0
2022-11-23,1,-880.0,0,0.0,1,-880.0,0,0.0
2022-11-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-28,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-11-30,1,-567.5,1,-217.5,2,-1135.0,1,-217.5
2022-12-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-02,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-05,2,1390.0,0,0.0,2,1390.0,0,0.0
2022-12-06,3,1785.0,0,0.0,3,1785.0,0,0.0
2022-12-07,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-08,0,0.0,0,0.0,0,0.0,1,-217.5
2022-12-09,3,-2752.5,1,-217.5,3,-2752.5,0,0.0
2022-12-12,1,-967.5,0,0.0,0,0.0,0,0.0
2022-12-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-14,0,0.0,0,0.0,1,-1080.0,0,0.0
2022-12-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-16,0,0.0,0,0.0,3,-3090.0,0,0.0
2022-12-19,2,1915.0,0,0.0,2,1915.0,0,0.0
2022-12-20,0,0.0,0,0.0,1,-642.5,0,0.0
2022-12-21,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-22,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-23,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-28,1,1795.0,1,-217.5,1,1795.0,1,2245.0
2022-12-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-12-30,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-03,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-04,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-05,0,0.0,1,-217.5,1,-892.5,1,-217.5
2023-01-06,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-09,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-10,0,0.0,0,0.0,1,1007.5,0,0.0
2023-01-11,1,1132.5,0,0.0,1,1132.5,0,0.0
2023-01-12,1,-917.5,0,0.0,0,0.0,0,0.0
2023-01-13,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-17,1,-855.0,0,0.0,1,-855.0,0,0.0
2023-01-18,1,982.5,0,0.0,1,982.5,0,0.0
2023-01-19,1,-480.0,0,0.0,1,-480.0,0,0.0
2023-01-20,2,4377.5,0,0.0,2,4377.5,0,0.0
2023-01-23,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-24,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-30,0,0.0,0,0.0,0,0.0,0,0.0
2023-01-31,2,2352.5,0,0.0,2,2352.5,0,0.0
2023-02-01,0,0.0,0,0.0,1,-792.5,0,0.0
2023-02-02,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-03,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-06,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-07,1,-892.5,0,0.0,1,-892.5,0,0.0
2023-02-08,0,0.0,1,-217.5,0,0.0,2,1152.5
2023-02-09,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-10,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-13,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-14,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-15,1,445.0,0,0.0,1,445.0,0,0.0
2023-02-16,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-17,1,-867.5,0,0.0,3,-2602.5,0,0.0
2023-02-21,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-22,0,0.0,0,0.0,0,0.0,1,-217.5
2023-02-23,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-24,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-27,0,0.0,0,0.0,0,0.0,0,0.0
2023-02-28,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-01,1,-105.0,0,0.0,0,0.0,0,0.0
2023-03-02,1,2032.5,0,0.0,1,2032.5,0,0.0
2023-03-03,2,2377.5,0,0.0,2,2377.5,0,0.0
2023-03-06,2,-1360.0,0,0.0,3,-1177.5,0,0.0
2023-03-07,1,-717.5,1,1120.0,2,615.0,1,-217.5
2023-03-08,0,0.0,0,0.0,1,-742.5,1,-217.5
2023-03-09,0,0.0,0,0.0,1,-730.0,0,0.0
2023-03-10,0,0.0,0,0.0,1,-805.0,0,0.0
2023-03-13,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-14,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-15,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-16,0,0.0,0,0.0,1,582.5,0,0.0
2023-03-17,0,0.0,0,0.0,1,-1105.0,0,0.0
2023-03-20,1,-192.5,0,0.0,0,0.0,0,0.0
2023-03-21,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-22,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-23,0,0.0,0,0.0,1,-1192.5,0,0.0
2023-03-24,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-27,0,0.0,1,-217.5,0,0.0,1,-217.5
2023-03-28,1,-1030.0,0,0.0,1,-1030.0,0,0.0
2023-03-29,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-30,0,0.0,0,0.0,0,0.0,0,0.0
2023-03-31,0,0.0,0,0.0,2,2477.5,0,0.0
2023-04-03,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-04,0,0.0,0,0.0,2,-235.0,0,0.0
2023-04-05,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-06,3,1510.0,0,0.0,4,3017.5,0,0.0
2023-04-10,0,0.0,0,0.0,1,620.0,0,0.0
2023-04-11,2,-685.0,0,0.0,3,-1240.0,1,-217.5
2023-04-12,1,-542.5,0,0.0,1,-542.5,0,0.0
2023-04-13,1,1420.0,0,0.0,1,1420.0,0,0.0
2023-04-14,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-17,2,-1285.0,0,0.0,2,-1285.0,0,0.0
2023-04-18,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-19,0,0.0,0,0.0,3,-327.5,0,0.0
2023-04-20,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-21,0,0.0,0,0.0,0,0.0,0,0.0
2023-04-24,3,222.5,0,0.0,1,-567.5,0,0.0
2023-04-25,1,-167.5,0,0.0,1,-167.5,1,-217.5
2023-04-26,0,0.0,0,0.0,1,-592.5,1,-217.5
2023-04-27,2,3077.5,0,0.0,2,3077.5,0,0.0
2023-04-28,1,-605.0,0,0.0,1,-605.0,0,0.0
2023-05-01,0,0.0,0,0.0,3,-1227.5,0,0.0
2023-05-02,1,-592.5,0,0.0,1,-592.5,1,-217.5
2023-05-03,0,0.0,1,-217.5,1,-655.0,1,-217.5
2023-05-04,0,0.0,1,-217.5,0,0.0,0,0.0
2023-05-05,0,0.0,0,0.0,0,0.0,0,0.0
2023-05-08,1,-492.5,0,0.0,1,-492.5,1,-217.5
2023-05-09,0,0.0,0,0.0,0,0.0,0,0.0
2023-05-10,0,0.0,0,0.0,1,-680.0,0,0.0
2023-05-11,1,-505.0,0,0.0,0,0.0,1,-217.5
2023-05-12,1,-630.0,0,0.0,1,-630.0,0,0.0
