kind,feature,bucket,n_tr,PF_tr,net_tr,n_te,PF_te,net_te
rule2,pushes<=q1 & fh_adr>=q3,,263,0.775,-13590,301,0.958,-3480
rule2,pushes<=q1 & ema_slope<=q1,,247,0.789,-12035,265,0.972,-1812
rule2,pushes<=q1 & ema_slope>=q3,,258,0.813,-8465,278,0.761,-13340
rule2,pushes<=q1 & vs_pC<=q1,,279,0.857,-9382,247,0.882,-7560
rule2,pushes<=q1 & vs_pC>=q3,,270,0.666,-15312,281,0.657,-19880
rule2,pushes<=q1 & gap_atr<=q1,,312,0.799,-14148,239,0.788,-13195
rule2,pushes<=q1 & gap_atr>=q3,,254,0.6,-19508,275,0.615,-22700
rule2,pushes<=q1 & nth_2e<=q1,,607,0.765,-34060,631,0.9,-15992
rule2,pushes<=q1 & nth_2e>=q3,,479,0.622,-37520,491,0.66,-37542
rule2,pushes<=q1 & ema20_atr<=q1,,276,0.647,-24555,279,0.856,-10420
rule2,pushes<=q1 & ema20_atr>=q3,,292,0.805,-10372,295,0.691,-19188
rule2,pushes<=q1 & er10<=q1,,240,0.699,-15812,218,0.618,-20315
rule2,pushes<=q1 & er10>=q3,,252,0.795,-10285,298,0.796,-13702
rule2,pushes<=q1 & adx14>=q3,,161,0.902,-2842,167,0.652,-13085
rule2,pushes<=q1 & stochK<=q1,,278,0.719,-19578,269,0.931,-4658
rule2,pushes<=q1 & stochK>=q3,,273,0.718,-14752,301,0.57,-29042
rule2,pushes<=q1 & zl_osc<=q1,,282,0.756,-17485,282,0.901,-7660
rule2,pushes<=q1 & zl_osc>=q3,,264,0.642,-25120,323,0.801,-17740
rule2,pushes<=q1 & vix<=q1,,198,0.498,-16652,352,0.803,-11572
rule2,pushes<=q1 & vix>=q3,,410,0.733,-32662,158,0.78,-13728
rule2,pushes<=q1 & adr10_pct<=q1,,213,0.595,-13715,337,0.857,-8610
rule2,pushes<=q1 & adr10_pct>=q3,,359,0.732,-29220,192,0.762,-16460
rule2,pushes<=q1 & consec_ct<=q1,,661,0.65,-54230,646,0.803,-31580
rule2,pushes<=q1 & consec_ct>=q3,,425,0.806,-17350,476,0.801,-21955
rule2,pushes<=q1 & tight15<=q1,,245,0.623,-16962,290,0.709,-15362
rule2,pushes<=q1 & tight15>=q3,,291,0.763,-17980,332,0.842,-16548
rule2,pushes<=q1 & doji4<=q1,,749,0.707,-49895,748,0.843,-28615
rule2,pushes<=q1 & doji4>=q3,,337,0.707,-21685,374,0.718,-24920
