Date,engine,book,net
2022-10-03,NEW,WT-L,995.0
2022-10-06,OLD,WT-L,-1130.0
2022-10-06,NEW,WT-L,-1130.0
2022-10-10,OLD,FADE,-217.5
2022-10-10,NEW,FADE,-217.5
2022-10-11,OLD,FADE,-217.5
2022-10-11,OLD,FADE,-217.5
2022-10-11,NEW,FADE,-217.5
2022-10-11,NEW,FADE,-217.5
2022-10-12,OLD,WT-S,370.0
2022-10-12,OLD,FADE,-217.5
2022-10-12,NEW,WT-S,370.0
2022-10-12,NEW,FADE,-217.5
2022-10-20,OLD,WT-L,-1267.5
2022-10-20,OLD,WT-S,382.5
2022-10-20,NEW,WT-L,-1267.5
2022-10-20,NEW,WT-S,382.5
2022-10-21,OLD,WT-S,-1305.0
2022-10-21,NEW,WT-S,-1305.0
2022-10-21,NEW,WT-L,2045.0
2022-10-27,OLD,WT-S,2070.0
2022-10-27,NEW,WT-S,2070.0
2022-11-02,OLD,WT-S,-1155.0
2022-11-02,NEW,WT-S,-1155.0
2022-11-02,NEW,WT-S,-1155.0
2022-11-08,OLD,WT-L,-1180.0
2022-11-08,NEW,WT-L,-1180.0
2022-11-11,OLD,WT-L,-1205.0
2022-11-11,NEW,WT-L,-1205.0
2022-11-16,OLD,WT-S,-80.0
2022-11-16,OLD,WT-S,-30.0
2022-11-16,NEW,WT-S,-80.0
2022-11-16,NEW,WT-S,-30.0
2022-11-23,OLD,WT-L,-880.0
2022-11-23,NEW,WT-L,-880.0
2022-11-30,OLD,WT-S,-567.5
2022-11-30,OLD,FADE,-217.5
2022-11-30,NEW,WT-S,-567.5
2022-11-30,NEW,FADE,-217.5
2022-12-05,OLD,WT-S,1032.5
2022-12-05,OLD,WT-S,357.5
2022-12-05,NEW,WT-S,1032.5
2022-12-05,NEW,WT-S,357.5
2022-12-06,OLD,WT-S,707.5
2022-12-06,OLD,WT-S,807.5
2022-12-06,OLD,WT-S,270.0
2022-12-06,NEW,WT-S,707.5
2022-12-06,NEW,WT-S,807.5
2022-12-06,NEW,WT-S,270.0
2022-12-08,NEW,WT-L,57.5
2022-12-09,OLD,WT-S,-917.5
2022-12-09,OLD,WT-L,-917.5
2022-12-09,OLD,WT-L,-917.5
2022-12-09,OLD,FADE,-217.5
2022-12-09,NEW,WT-S,-917.5
2022-12-09,NEW,WT-L,-917.5
2022-12-09,NEW,WT-L,-917.5
2022-12-09,NEW,FADE,-217.5
2022-12-12,OLD,WT-S,-967.5
2022-12-12,NEW,WT-S,-967.5
2022-12-19,OLD,WT-S,945.0
2022-12-19,OLD,WT-S,970.0
2022-12-19,NEW,WT-S,945.0
2022-12-19,NEW,WT-S,970.0
2022-12-23,NEW,WT-L,782.5
2022-12-23,NEW,WT-L,332.5
2022-12-28,OLD,WT-S,1795.0
2022-12-28,OLD,FADE,-217.5
2022-12-28,NEW,WT-S,1795.0
2022-12-28,NEW,FADE,-217.5
2023-01-05,OLD,FADE,-217.5
2023-01-05,NEW,FADE,-217.5
2023-01-11,OLD,WT-L,1132.5
2023-01-11,NEW,WT-L,1132.5
2023-01-12,OLD,WT-S,-917.5
2023-01-12,NEW,WT-S,-917.5
2023-01-17,OLD,WT-L,-855.0
2023-01-17,NEW,WT-L,-855.0
2023-01-18,OLD,WT-S,982.5
2023-01-18,NEW,WT-S,982.5
2023-01-19,OLD,WT-L,-480.0
2023-01-19,NEW,WT-L,-480.0
2023-01-20,OLD,WT-L,2482.5
2023-01-20,OLD,WT-L,1895.0
2023-01-20,NEW,WT-L,2482.5
2023-01-20,NEW,WT-L,1895.0
2023-01-31,OLD,WT-L,1295.0
2023-01-31,OLD,WT-L,1057.5
2023-01-31,NEW,WT-L,1295.0
2023-01-31,NEW,WT-L,1057.5
2023-02-06,NEW,WT-L,-80.0
2023-02-07,OLD,WT-L,-892.5
2023-02-07,NEW,WT-L,-892.5
2023-02-08,OLD,FADE,-217.5
2023-02-08,NEW,FADE,-217.5
2023-02-08,NEW,FADE,-217.5
2023-02-15,OLD,WT-L,445.0
2023-02-15,NEW,WT-L,445.0
2023-02-17,OLD,WT-S,-867.5
2023-02-17,NEW,WT-S,-867.5
2023-02-22,NEW,FADE,-217.5
2023-03-01,OLD,WT-S,-105.0
2023-03-01,NEW,WT-S,-105.0
2023-03-02,OLD,WT-L,2032.5
2023-03-02,NEW,WT-L,2032.5
2023-03-03,OLD,WT-L,1632.5
2023-03-03,OLD,WT-L,745.0
2023-03-03,NEW,WT-L,1632.5
2023-03-03,NEW,WT-L,745.0
2023-03-06,OLD,WT-L,-680.0
2023-03-06,OLD,WT-L,-680.0
2023-03-06,NEW,WT-L,-680.0
2023-03-06,NEW,WT-L,-680.0
2023-03-07,OLD,WT-S,-717.5
2023-03-07,OLD,FADE,1120.0
2023-03-07,NEW,WT-S,-717.5
2023-03-07,NEW,FADE,1120.0
2023-03-09,NEW,WT-S,4295.0
2023-03-20,OLD,WT-S,-192.5
2023-03-20,NEW,WT-S,-192.5
2023-03-27,OLD,FADE,-217.5
2023-03-27,NEW,FADE,-217.5
2023-03-28,OLD,WT-S,-1030.0
2023-03-28,NEW,WT-S,-1030.0
2023-04-06,OLD,WT-L,1245.0
2023-04-06,OLD,WT-L,132.5
2023-04-06,OLD,WT-L,132.5
2023-04-06,NEW,WT-L,1245.0
2023-04-06,NEW,WT-L,132.5
2023-04-06,NEW,WT-L,132.5
2023-04-11,OLD,WT-S,-555.0
2023-04-11,OLD,WT-L,-130.0
2023-04-11,NEW,WT-S,-555.0
