Date,policy,net
2022-12-05,P1,1020.0
2022-12-05,P2,1020.0
2022-12-05,P2,345.0
2022-12-05,P3,1020.0
2022-12-05,P3,345.0
2022-12-06,P1,-205.0
2022-12-06,P1,795.0
2022-12-06,P2,-205.0
2022-12-06,P2,795.0
2022-12-06,P2,257.5
2022-12-06,P2,-205.0
2022-12-06,P3,-205.0
2022-12-06,P3,795.0
2022-12-06,P3,257.5
2022-12-06,P3,-205.0
2022-12-09,P1,-205.0
2022-12-09,P1,-205.0
2022-12-09,P1,-205.0
2022-12-09,P2,-205.0
2022-12-09,P2,-205.0
2022-12-09,P2,-205.0
2022-12-09,P3,-205.0
2022-12-09,P3,-205.0
2022-12-09,P3,-205.0
2022-12-12,P1,-205.0
2022-12-12,P2,-205.0
2022-12-12,P3,-205.0
2022-12-15,P1,-205.0
2022-12-15,P1,-205.0
2022-12-15,P1,-205.0
2022-12-15,P2,-205.0
2022-12-15,P2,-205.0
2022-12-15,P2,-205.0
2022-12-15,P3,-205.0
2022-12-15,P3,-205.0
2022-12-15,P3,-205.0
2022-12-19,P1,932.5
2022-12-19,P2,932.5
2022-12-19,P2,957.5
2022-12-19,P3,932.5
2022-12-19,P3,957.5
2022-12-21,P1,-205.0
2022-12-21,P2,-205.0
2022-12-21,P3,-205.0
2022-12-28,P1,1782.5
2022-12-28,P2,1782.5
2022-12-28,P3,1782.5
2023-01-04,P1,-205.0
2023-01-04,P1,-205.0
2023-01-04,P2,-205.0
2023-01-04,P2,-205.0
2023-01-04,P3,-205.0
2023-01-04,P3,-205.0
2023-01-09,P1,-205.0
2023-01-09,P1,-205.0
2023-01-09,P1,-205.0
2023-01-09,P2,-205.0
2023-01-09,P2,-205.0
2023-01-09,P2,-205.0
2023-01-09,P3,-205.0
2023-01-09,P3,-205.0
2023-01-09,P3,-205.0
2023-01-11,P1,1120.0
2023-01-11,P2,1120.0
2023-01-11,P3,1120.0
2023-01-12,P1,-205.0
2023-01-12,P2,-205.0
2023-01-12,P3,-205.0
2023-01-13,P1,-205.0
2023-01-13,P1,982.5
2023-01-13,P2,-205.0
2023-01-13,P2,982.5
2023-01-13,P3,-205.0
2023-01-13,P3,982.5
2023-01-17,P1,-205.0
2023-01-17,P2,-205.0
2023-01-17,P3,-205.0
2023-01-18,P1,-205.0
2023-01-18,P2,-205.0
2023-01-18,P3,-205.0
2023-01-19,P1,-205.0
2023-01-19,P2,-205.0
2023-01-19,P3,-205.0
2023-01-20,P1,2470.0
2023-01-20,P2,2470.0
2023-01-20,P2,-205.0
