Date,adr,short,fx2,fx3,fx4,fx5,fx6,fx8,fx10,fx12,adr0.06,adr0.08,adr0.1,adr0.12,adr0.15,adr0.2,EOD,is_tr
2023-10-11,58.475,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-192.9,-251.4,-309.9,-368.3,-456.1,-602.2,-1505.0,True
2023-10-13,57.8,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,1595.0,1595.0,-190.9,-248.7,-306.5,-364.3,-451.0,1595.0,1595.0,True
2023-10-19,58.275,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-192.3,-250.6,-308.9,-367.2,-454.6,-600.2,2132.5,True
2023-10-24,57.175,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-189.0,-246.2,-303.4,-360.5,-446.3,-589.3,-92.5,True
2023-10-25,57.25,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-189.3,-246.5,-303.8,-361.0,-446.9,-590.0,457.5,True
2023-10-31,57.475,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-189.9,-247.4,-304.9,-362.3,-448.6,-592.2,-1030.0,True
2023-11-03,51.825,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-173.0,-224.8,-276.6,-328.5,-406.2,-535.7,-805.0,True
2023-11-08,43.475,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-117.5,-147.9,-191.4,-234.9,-278.3,-343.6,-452.2,-117.5,True
2023-11-09,41.775,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-142.8,-184.6,-226.4,-268.1,-330.8,-435.2,995.0,True
2023-11-10,41.075,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-140.7,-181.8,-222.9,-264.0,-325.6,-428.3,-2980.0,True
2023-11-16,38.2,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-132.1,-170.3,-208.5,-246.7,-304.0,-399.5,-767.5,True
2023-12-14,37.325,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,320.0,-129.5,-166.8,-204.1,-241.5,-297.4,-390.8,320.0,True
2023-12-14,37.325,False,-117.5,-167.5,70.0,70.0,70.0,70.0,70.0,70.0,-129.5,-166.8,70.0,70.0,70.0,70.0,70.0,True
2024-01-03,34.275,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-120.3,-154.6,-188.9,-223.2,-274.6,-360.2,432.5,False
2024-01-05,36.6,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-127.3,-163.9,-200.5,-237.1,-292.0,-383.5,-380.0,False
2024-02-12,40.825,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-140.0,-180.8,-221.6,-262.5,-323.7,-425.7,-1592.5,False
2024-02-14,43.225,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,1270.0,-147.2,-190.4,-233.6,-276.8,-341.7,-449.8,1270.0,False
2024-02-16,38.1,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-131.8,-169.9,-208.0,-246.1,-303.3,-398.5,-1017.5,False
2024-02-20,32.0,True,-117.5,-167.5,-217.5,107.5,107.5,107.5,107.5,107.5,-117.5,-145.5,-177.5,-209.5,107.5,107.5,107.5,False
2024-02-23,38.55,True,-117.5,-167.5,907.5,907.5,907.5,907.5,907.5,907.5,-133.2,-171.7,907.5,907.5,907.5,907.5,907.5,False
2024-02-27,38.05,False,-117.5,-167.5,-217.5,357.5,357.5,357.5,357.5,357.5,-131.7,-169.7,-207.8,357.5,357.5,357.5,357.5,False
2024-03-04,34.0,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-505.0,-119.5,-153.5,-187.5,-221.5,-272.5,-357.5,-505.0,False
2024-03-08,35.45,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,2357.5,2357.5,-123.9,-159.3,-194.8,-230.2,-283.4,-372.0,2357.5,False
2024-03-21,46.8,True,-117.5,-167.5,-217.5,-267.5,7.5,7.5,7.5,7.5,-157.9,-204.7,-251.5,-298.3,7.5,7.5,7.5,False
2024-03-26,37.925,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-131.3,-169.2,-207.1,-245.1,-301.9,-396.8,-1130.0,False
2024-03-26,37.925,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-131.3,-169.2,-207.1,-245.1,-301.9,-396.8,-1030.0,False
2024-03-28,35.85,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-342.5,-125.0,-160.9,-196.8,-232.6,-286.4,-376.0,-342.5,False
2024-04-09,40.775,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-139.8,-180.6,-221.4,-262.2,-323.3,-425.2,1445.0,False
