Date,dir,stop,target,dist_pts,net
2021-07-14,S,fx4p,eod,4.0,-205.0
2021-07-14,S,fx4p,t2x,4.0,-205.0
2021-07-14,S,fx4p,t3x,4.0,-205.0
2021-07-19,S,abr1.0,eod,6.0,-305.0
2021-07-19,S,abr1.0,t2x,6.0,-305.0
2021-07-19,S,abr1.0,t3x,6.0,-305.0
2021-07-19,S,abr1.5,eod,9.0,-455.0
2021-07-19,S,abr1.5,t2x,9.0,-455.0
2021-07-19,S,abr1.5,t3x,9.0,-455.0
2021-07-19,S,abr2.0,eod,11.75,-592.5
2021-07-19,S,abr2.0,t2x,11.75,-592.5
2021-07-19,S,abr2.0,t3x,11.75,-592.5
2021-07-19,S,abr3.0,eod,17.75,-892.5
2021-07-19,S,abr3.0,t2x,17.75,-892.5
2021-07-19,S,abr3.0,t3x,17.75,-892.5
2021-07-19,S,abr4.0,eod,23.75,-1192.5
2021-07-19,S,abr4.0,t2x,23.75,-1192.5
2021-07-19,S,abr4.0,t3x,23.75,-1192.5
2021-07-19,S,adr.10,eod,3.25,-167.5
2021-07-19,S,adr.10,t2x,3.25,-167.5
2021-07-19,S,adr.10,t3x,3.25,-167.5
2021-07-19,S,adr.15,eod,4.75,-242.5
2021-07-19,S,adr.15,t2x,4.75,-242.5
2021-07-19,S,adr.15,t3x,4.75,-242.5
2021-07-19,S,adr.20,eod,6.25,-317.5
2021-07-19,S,adr.20,t2x,6.25,-317.5
2021-07-19,S,adr.20,t3x,6.25,-317.5
2021-07-19,S,adr.30,eod,9.5,-480.0
2021-07-19,S,adr.30,t2x,9.5,-480.0
2021-07-19,S,adr.30,t3x,9.5,-480.0
2021-07-19,S,fx4p,eod,4.0,-205.0
2021-07-19,S,fx4p,t2x,4.0,-205.0
2021-07-19,S,fx4p,t3x,4.0,-205.0
2021-08-02,S,abr1.0,eod,6.0,-305.0
2021-08-02,S,abr1.0,t2x,6.0,-305.0
2021-08-02,S,abr1.0,t3x,6.0,-305.0
2021-08-02,S,abr1.5,eod,9.0,1120.0
2021-08-02,S,abr1.5,t2x,9.0,895.0
2021-08-02,S,abr1.5,t3x,9.0,1345.0
2021-08-02,S,abr2.0,eod,12.0,1120.0
2021-08-02,S,abr2.0,t2x,12.0,1195.0
2021-08-02,S,abr2.0,t3x,12.0,-605.0
2021-08-02,S,abr3.0,eod,18.0,1120.0
2021-08-02,S,abr3.0,t2x,18.0,-905.0
2021-08-02,S,abr3.0,t3x,18.0,-905.0
2021-08-02,S,abr4.0,eod,24.25,1120.0
2021-08-02,S,abr4.0,t2x,24.25,-1217.5
2021-08-02,S,abr4.0,t3x,24.25,-1217.5
2021-08-02,S,adr.10,eod,3.75,-192.5
2021-08-02,S,adr.10,t2x,3.75,-192.5
2021-08-02,S,adr.10,t3x,3.75,-192.5
2021-08-02,S,adr.15,eod,5.5,-280.0
2021-08-02,S,adr.15,t2x,5.5,-280.0
2021-08-02,S,adr.15,t3x,5.5,-280.0
2021-08-02,S,adr.20,eod,7.5,1120.0
2021-08-02,S,adr.20,t2x,7.5,745.0
2021-08-02,S,adr.20,t3x,7.5,1120.0
2021-08-02,S,adr.30,eod,11.25,1120.0
2021-08-02,S,adr.30,t2x,11.25,1120.0
2021-08-02,S,adr.30,t3x,11.25,-567.5
2021-08-02,S,fx4p,eod,4.0,-205.0
2021-08-02,S,fx4p,t2x,4.0,-205.0
2021-08-02,S,fx4p,t3x,4.0,-205.0
2021-08-02,S,abr1.0,eod,3.75,532.5
2021-08-02,S,abr1.0,t2x,3.75,370.0
2021-08-02,S,abr1.0,t3x,3.75,557.5
2021-08-02,S,abr1.5,eod,5.5,532.5
2021-08-02,S,abr1.5,t2x,5.5,545.0
2021-08-02,S,abr1.5,t3x,5.5,820.0
2021-08-02,S,abr2.0,eod,7.5,532.5
2021-08-02,S,abr2.0,t2x,7.5,745.0
2021-08-02,S,abr2.0,t3x,7.5,-380.0
2021-08-02,S,abr3.0,eod,11.25,532.5
2021-08-02,S,abr3.0,t2x,11.25,-567.5
2021-08-02,S,abr3.0,t3x,11.25,-567.5
2021-08-02,S,abr4.0,eod,15.0,532.5
2021-08-02,S,abr4.0,t2x,15.0,-755.0
2021-08-02,S,abr4.0,t3x,15.0,-755.0
2021-08-02,S,adr.10,eod,3.75,532.5
2021-08-02,S,adr.10,t2x,3.75,370.0
2021-08-02,S,adr.10,t3x,3.75,557.5
2021-08-02,S,adr.15,eod,5.5,532.5
2021-08-02,S,adr.15,t2x,5.5,545.0
2021-08-02,S,adr.15,t3x,5.5,820.0
2021-08-02,S,adr.20,eod,7.5,532.5
2021-08-02,S,adr.20,t2x,7.5,745.0
2021-08-02,S,adr.20,t3x,7.5,-380.0
2021-08-02,S,adr.30,eod,11.25,532.5
2021-08-02,S,adr.30,t2x,11.25,-567.5
2021-08-02,S,adr.30,t3x,11.25,-567.5
2021-08-02,S,fx4p,eod,4.0,532.5
2021-08-02,S,fx4p,t2x,4.0,395.0
2021-08-02,S,fx4p,t3x,4.0,595.0
2021-08-02,S,abr1.0,eod,3.0,482.5
2021-08-02,S,abr1.0,t2x,3.0,295.0
2021-08-02,S,abr1.0,t3x,3.0,445.0
2021-08-02,S,abr1.5,eod,4.25,482.5
2021-08-02,S,abr1.5,t2x,4.25,420.0
2021-08-02,S,abr1.5,t3x,4.25,632.5
