Date,first,ADR/EOD,ADR/EOD_r,ADR/1:1,ADR/1:1_r,ADR/2:1,ADR/2:1_r,SB/1:1,SB/1:1_r,SB/2:1,SB/2:1_r,SB/EOD,SB/EOD_r
2022-12-06,False,807.5,eod,782.5,win,1582.5,win,95.0,win,207.5,win,807.5,eod
2022-12-06,False,270.0,eod,782.5,win,270.0,eod,145.0,win,307.5,win,270.0,eod
2022-12-09,True,-917.5,stop,-917.5,stop,-917.5,stop,-392.5,stop,-392.5,stop,-392.5,stop
2022-12-09,False,-917.5,stop,-917.5,stop,-917.5,stop,-405.0,stop,-405.0,stop,-405.0,stop
2022-12-09,False,-917.5,stop,-917.5,stop,-917.5,stop,95.0,win,-130.0,stop,-130.0,stop
2022-12-12,True,-967.5,stop,-967.5,stop,-967.5,stop,-205.0,stop,-205.0,stop,-205.0,stop
2022-12-19,True,945.0,eod,995.0,win,945.0,eod,232.5,win,482.5,win,945.0,eod
2022-12-19,False,970.0,eod,995.0,win,970.0,eod,132.5,win,282.5,win,970.0,eod
2022-12-28,True,1795.0,eod,982.5,win,1982.5,win,170.0,win,357.5,win,1795.0,eod
2023-01-11,True,1132.5,eod,870.0,win,1132.5,eod,70.0,win,157.5,win,-105.0,stop
2023-01-12,True,-917.5,stop,-917.5,stop,-917.5,stop,-342.5,stop,-342.5,stop,-342.5,stop
2023-01-17,True,-855.0,stop,-855.0,stop,-855.0,stop,-217.5,stop,-217.5,stop,-217.5,stop
2023-01-18,True,982.5,eod,745.0,win,982.5,eod,-155.0,stop,-155.0,stop,-155.0,stop
2023-01-19,True,-480.0,eod,-480.0,eod,-480.0,eod,-192.5,stop,-192.5,stop,-192.5,stop
2023-01-20,True,2482.5,eod,795.0,win,1607.5,win,170.0,win,357.5,win,2482.5,eod
2023-01-20,False,1895.0,eod,795.0,win,1607.5,win,120.0,win,257.5,win,-155.0,stop
2023-01-31,True,1295.0,eod,770.0,win,1557.5,win,-242.5,stop,-242.5,stop,-242.5,stop
2023-01-31,False,1057.5,eod,770.0,win,1057.5,eod,-80.0,stop,-80.0,stop,-80.0,stop
2023-02-07,True,-892.5,stop,857.5,win,1732.5,win,-180.0,stop,-180.0,stop,-180.0,stop
2023-02-15,True,445.0,eod,445.0,eod,445.0,eod,-117.5,stop,-117.5,stop,-117.5,stop
2023-02-17,True,-867.5,stop,-867.5,stop,-867.5,stop,95.0,win,-130.0,stop,-130.0,stop
2023-03-01,True,-105.0,eod,-105.0,eod,-105.0,eod,-167.5,stop,-167.5,stop,-167.5,stop
2023-03-02,True,2032.5,eod,582.5,win,1182.5,win,57.5,win,132.5,win,-92.5,stop
2023-03-03,True,1632.5,eod,607.5,win,1232.5,win,120.0,win,-155.0,stop,-155.0,stop
2023-03-03,False,745.0,eod,607.5,win,745.0,eod,-55.0,stop,-55.0,stop,-55.0,stop
2023-03-06,True,-680.0,stop,-680.0,stop,-680.0,stop,82.5,win,182.5,win,-117.5,stop
2023-03-06,False,-680.0,stop,-680.0,stop,-680.0,stop,95.0,win,-130.0,stop,-130.0,stop
2023-03-07,True,-717.5,stop,-717.5,stop,-717.5,stop,-455.0,stop,-455.0,stop,-455.0,stop
2023-03-20,True,-192.5,eod,-192.5,eod,-192.5,eod,170.0,win,357.5,win,-205.0,stop
2023-03-28,True,-1030.0,stop,-1030.0,stop,-1030.0,stop,-92.5,stop,-92.5,stop,-92.5,stop
2023-04-06,True,1245.0,eod,632.5,win,1282.5,win,257.5,win,532.5,win,1245.0,eod
2023-04-06,False,132.5,eod,132.5,eod,132.5,eod,32.5,win,82.5,win,-67.5,stop
2023-04-06,False,132.5,eod,132.5,eod,132.5,eod,32.5,win,82.5,win,-67.5,stop
2023-04-11,True,-555.0,stop,-555.0,stop,-555.0,stop,-192.5,stop,-192.5,stop,-192.5,stop
2023-04-11,False,-130.0,eod,-130.0,eod,-130.0,eod,-117.5,stop,-117.5,stop,-117.5,stop
2023-04-12,True,-542.5,stop,-542.5,stop,-542.5,stop,82.5,win,182.5,win,-117.5,stop
2023-04-13,True,1420.0,eod,532.5,win,1082.5,win,182.5,win,382.5,win,1420.0,eod
2023-04-17,True,-642.5,stop,-642.5,stop,-642.5,stop,82.5,win,-117.5,stop,-117.5,stop
2023-04-17,False,-642.5,stop,-642.5,stop,-642.5,stop,95.0,win,-130.0,stop,-130.0,stop
2023-04-24,True,-567.5,stop,-567.5,stop,-567.5,stop,-142.5,stop,-142.5,stop,-142.5,stop
2023-04-24,False,495.0,eod,532.5,win,495.0,eod,82.5,win,182.5,win,495.0,eod
2023-04-24,False,295.0,eod,295.0,eod,295.0,eod,-67.5,stop,-67.5,stop,-67.5,stop
2023-04-25,True,-167.5,eod,507.5,win,-167.5,eod,82.5,win,182.5,win,-117.5,stop
2023-04-27,True,1557.5,eod,545.0,win,1107.5,win,32.5,win,82.5,win,1557.5,eod
2023-04-27,False,1520.0,eod,545.0,win,1107.5,win,-67.5,stop,-67.5,stop,-67.5,stop
2023-04-28,True,-605.0,stop,-605.0,stop,-605.0,stop,20.0,win,57.5,win,-55.0,stop
2023-05-02,True,-592.5,stop,-592.5,stop,-592.5,stop,132.5,win,-167.5,stop,-167.5,stop
2023-05-08,True,-492.5,eod,-492.5,eod,-492.5,eod,-205.0,stop,-205.0,stop,-205.0,stop
2023-05-11,True,-505.0,eod,-505.0,eod,-505.0,eod,-167.5,stop,-167.5,stop,-167.5,stop
2023-05-12,True,-630.0,stop,-630.0,stop,-630.0,stop,-280.0,stop,-280.0,stop,-280.0,stop
2023-05-19,True,95.0,eod,95.0,eod,95.0,eod,345.0,win,95.0,eod,95.0,eod
2023-05-22,True,195.0,eod,195.0,eod,195.0,eod,82.5,win,182.5,win,-117.5,stop
2023-05-24,True,-630.0,stop,-630.0,stop,-630.0,stop,-267.5,stop,-267.5,stop,-267.5,stop
2023-05-26,True,-605.0,stop,-605.0,stop,-605.0,stop,-180.0,stop,-180.0,stop,-180.0,stop
2023-06-05,True,707.5,eod,557.5,win,1132.5,win,-167.5,stop,-167.5,stop,-167.5,stop
2023-06-06,True,-605.0,stop,-605.0,stop,-605.0,stop,45.0,win,107.5,win,-80.0,stop
