Date,book,dir,gap,gross_20,net_20,gross_30,net_30,gross_40,net_40
2022-05-17,FADE,S,1.367,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-17,FADE,S,1.367,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-19,WT,S,0.475,-1012.5,-1030.0,-1525.0,-1542.5,-2037.5,-2055.0
2022-05-20,FADE,S,0.794,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-23,WT,L,0.715,1700.0,1682.5,1700.0,1682.5,1700.0,1682.5
2022-05-23,WT,L,0.715,-975.0,-992.5,400.0,382.5,400.0,382.5
2022-05-24,WT,S,1.0,-950.0,-967.5,-1425.0,-1442.5,-1912.5,-1930.0
2022-05-24,WT,L,1.0,-950.0,-967.5,1012.5,995.0,1012.5,995.0
2022-05-25,WT,L,0.472,-925.0,-942.5,1112.5,1095.0,1112.5,1095.0
2022-05-26,WT,L,0.37,-700.0,-717.5,-700.0,-717.5,-700.0,-717.5
2022-05-27,WT,S,0.683,-862.5,-880.0,-1287.5,-1305.0,-1712.5,-1730.0
2022-05-31,FADE,S,0.79,1150.0,1132.5,1150.0,1132.5,1150.0,1132.5
2022-06-02,FADE,S,0.051,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-06-02,WT,L,0.051,3750.0,3732.5,3750.0,3732.5,3750.0,3732.5
2022-06-02,WT,L,0.051,2762.5,2745.0,2762.5,2745.0,2762.5,2745.0
2022-06-03,FADE,S,0.886,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-06-06,WT,L,0.75,-737.5,-755.0,-1100.0,-1117.5,-1462.5,-1480.0
2022-06-07,FADE,S,0.693,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-06-09,WT,S,0.46,-700.0,-717.5,3650.0,3632.5,3650.0,3632.5
2022-06-10,FADE,S,1.456,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-06-13,WT,L,2.335,-700.0,-717.5,-1050.0,-1067.5,-1400.0,-1417.5
2022-06-14,WT,S,0.339,925.0,907.5,925.0,907.5,925.0,907.5
2022-06-22,WT,L,0.942,-712.5,-730.0,-1075.0,-1092.5,-900.0,-917.5
2022-06-28,WT,S,0.259,1850.0,1832.5,1850.0,1832.5,1850.0,1832.5
2022-06-28,WT,S,0.259,1187.5,1170.0,1187.5,1170.0,1187.5,1170.0
2022-07-14,WT,L,1.066,-612.5,-630.0,-912.5,-930.0,-1212.5,-1230.0
2022-07-15,WT,L,0.915,612.5,595.0,612.5,595.0,612.5,595.0
2022-07-18,WT,S,0.72,1175.0,1157.5,1175.0,1157.5,1175.0,1157.5
2022-07-21,WT,L,0.089,-612.5,-630.0,125.0,107.5,125.0,107.5
2022-07-22,WT,S,0.27,537.5,520.0,537.5,520.0,537.5,520.0
2022-07-26,FADE,S,0.433,575.0,557.5,575.0,557.5,575.0,557.5
2022-07-28,WT,L,0.326,1450.0,1432.5,1450.0,1432.5,1450.0,1432.5
2022-07-28,WT,L,0.326,512.5,495.0,512.5,495.0,512.5,495.0
2022-08-02,WT,L,0.379,-650.0,-667.5,-975.0,-992.5,-975.0,-992.5
2022-08-04,WT,L,0.05,-637.5,-655.0,-962.5,-980.0,-375.0,-392.5
2022-08-05,WT,L,0.899,-587.5,-605.0,-87.5,-105.0,-87.5,-105.0
2022-08-08,FADE,S,0.474,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-08-11,FADE,S,0.651,1362.5,1345.0,1362.5,1345.0,1362.5,1345.0
2022-08-17,WT,S,0.659,-462.5,-480.0,-700.0,-717.5,-925.0,-942.5
2022-08-19,FADE,S,0.504,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-08-22,FADE,S,1.029,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-08-22,FADE,S,1.029,575.0,557.5,575.0,557.5,575.0,557.5
2022-08-24,WT,S,0.01,-462.5,-480.0,-325.0,-342.5,-325.0,-342.5
2022-08-30,WT,S,0.247,-550.0,-567.5,12.5,-5.0,12.5,-5.0
2022-08-30,WT,S,0.247,-550.0,-567.5,-825.0,-842.5,-1100.0,-1117.5
2022-08-31,FADE,S,0.296,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-09-02,WT,L,0.957,-637.5,-655.0,-950.0,-967.5,-1262.5,-1280.0
2022-09-02,WT,L,0.957,-637.5,-655.0,-950.0,-967.5,-1262.5,-1280.0
2022-09-02,WT,S,0.957,75.0,57.5,75.0,57.5,75.0,57.5
2022-09-07,WT,L,0.016,1712.5,1695.0,1712.5,1695.0,1712.5,1695.0
2022-09-08,WT,S,0.443,-737.5,-755.0,-862.5,-880.0,-862.5,-880.0
2022-09-14,FADE,S,0.184,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-09-14,WT,S,0.184,-662.5,-680.0,-537.5,-555.0,-537.5,-555.0
2022-09-20,FADE,S,0.773,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-09-20,FADE,S,0.773,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-09-21,WT,L,0.288,-637.5,-655.0,-962.5,-980.0,-1287.5,-1305.0
2022-09-28,WT,L,0.157,1987.5,1970.0,1987.5,1970.0,1987.5,1970.0
2022-09-28,WT,L,0.157,962.5,945.0,962.5,945.0,962.5,945.0
2022-09-28,WT,L,0.157,1100.0,1082.5,1100.0,1082.5,1100.0,1082.5
2022-10-03,WT,L,0.532,1262.5,1245.0,1262.5,1245.0,1262.5,1245.0
2022-10-03,WT,L,0.532,-687.5,-705.0,1012.5,995.0,1012.5,995.0
2022-10-05,WT,S,0.928,-737.5,-755.0,-1100.0,-1117.5,-1462.5,-1480.0
2022-10-05,WT,L,0.928,675.0,657.5,675.0,657.5,675.0,657.5
2022-10-06,WT,L,0.478,-750.0,-767.5,-1112.5,-1130.0,-987.5,-1005.0
2022-10-07,FADE,S,0.905,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-10,FADE,S,0.303,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-11,FADE,S,0.48,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-11,FADE,S,0.48,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-12,WT,S,0.04,-787.5,-805.0,387.5,370.0,387.5,370.0
2022-10-12,FADE,S,0.04,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-13,WT,L,1.786,1962.5,1945.0,1962.5,1945.0,1962.5,1945.0
2022-10-13,WT,L,1.786,-725.0,-742.5,100.0,82.5,100.0,82.5
2022-10-14,FADE,S,0.641,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-10-18,WT,S,1.728,-837.5,-855.0,-1262.5,-1280.0,-1675.0,-1692.5
2022-10-19,WT,S,0.753,-862.5,-880.0,-1287.5,-1305.0,-1712.5,-1730.0
2022-10-20,WT,L,0.166,-837.5,-855.0,-1250.0,-1267.5,-1675.0,-1692.5
2022-10-20,WT,S,0.166,400.0,382.5,400.0,382.5,400.0,382.5
2022-10-21,WT,S,0.234,-862.5,-880.0,-1287.5,-1305.0,-1712.5,-1730.0
2022-10-27,WT,S,0.054,2087.5,2070.0,2087.5,2070.0,2087.5,2070.0
2022-10-28,WT,L,0.768,1175.0,1157.5,1175.0,1157.5,1175.0,1157.5
2022-11-02,WT,S,0.021,-762.5,-780.0,-1137.5,-1155.0,-1512.5,-1530.0
2022-11-03,WT,L,0.711,-837.5,-855.0,-675.0,-692.5,-675.0,-692.5
2022-11-04,WT,S,1.213,-812.5,-830.0,-1225.0,-1242.5,-1625.0,-1642.5
2022-11-08,WT,L,0.26,-775.0,-792.5,-1162.5,-1180.0,-1537.5,-1555.0
2022-11-11,WT,L,0.226,-787.5,-805.0,-1187.5,-1205.0,987.5,970.0
2022-11-15,WT,S,1.067,1050.0,1032.5,1050.0,1032.5,1050.0,1032.5
2022-11-15,FADE,S,1.067,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-11-15,WT,S,1.067,-775.0,-792.5,-162.5,-180.0,-162.5,-180.0
2022-11-16,WT,S,0.292,-62.5,-80.0,-62.5,-80.0,-62.5,-80.0
2022-11-16,WT,S,0.292,-12.5,-30.0,-12.5,-30.0,-12.5,-30.0
2022-11-17,WT,L,1.291,1475.0,1457.5,1475.0,1457.5,1475.0,1457.5
2022-11-18,FADE,S,0.788,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-11-23,WT,L,0.073,-575.0,-592.5,-862.5,-880.0,-1150.0,-1167.5
2022-11-28,WT,S,0.697,1737.5,1720.0,1737.5,1720.0,1737.5,1720.0
2022-11-28,FADE,S,0.697,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-11-30,WT,S,0.1,-362.5,-380.0,-550.0,-567.5,-725.0,-742.5
2022-11-30,FADE,S,0.1,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-12-05,WT,S,0.508,1050.0,1032.5,1050.0,1032.5,1050.0,1032.5
2022-12-05,WT,S,0.508,375.0,357.5,375.0,357.5,375.0,357.5
2022-12-06,WT,S,0.036,725.0,707.5,725.0,707.5,725.0,707.5
2022-12-06,WT,S,0.036,825.0,807.5,825.0,807.5,825.0,807.5
2022-12-06,WT,S,0.036,287.5,270.0,287.5,270.0,287.5,270.0
2022-12-09,WT,S,0.278,-600.0,-617.5,-900.0,-917.5,1012.5,995.0
2022-12-09,WT,L,0.278,-600.0,-617.5,-900.0,-917.5,-1200.0,-1217.5
2022-12-09,WT,L,0.278,-600.0,-617.5,-900.0,-917.5,-1200.0,-1217.5
2022-12-09,FADE,S,0.278,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-12-12,WT,S,0.132,-637.5,-655.0,-950.0,-967.5,-1262.5,-1280.0
2022-12-15,WT,S,1.294,225.0,207.5,225.0,207.5,225.0,207.5
2022-12-15,WT,S,1.294,225.0,207.5,225.0,207.5,225.0,207.5
2022-12-15,WT,S,1.294,-650.0,-667.5,-975.0,-992.5,-1312.5,-1330.0
