W,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2025-12-15/2025-12-21,7.0,57.1,0.384,0.567,5.8,1.33,2.7,4862.0,0.93,-0.35,-0.7
2025-12-22/2025-12-28,4.0,100.0,0.379,0.203,inf,3.66,1.5,775.0,0.38,,0.0
2025-12-29/2026-01-04,2.0,100.0,0.722,0.674,inf,2.1,1.4,1425.0,0.72,,0.0
2026-01-05/2026-01-11,2.0,0.0,-0.225,0.02,0.0,-21.91,-0.4,-488.0,,-0.22,-0.2
2026-01-12/2026-01-18,4.0,75.0,0.052,0.717,1.28,0.14,0.2,375.0,0.4,-1.0,0.0
2026-01-19/2026-01-25,3.0,66.7,0.071,1.05,0.9,0.13,0.2,-150.0,0.61,-1.0,0.0
2026-01-26/2026-02-01,5.0,60.0,-0.026,0.399,1.87,-0.13,-0.1,725.0,0.28,-0.48,-0.3
2026-02-02/2026-02-08,5.0,60.0,0.141,0.549,1.84,0.5,0.7,1412.0,0.53,-0.44,-0.9
2026-02-09/2026-02-15,3.0,66.7,0.153,0.584,2.1,0.51,0.5,838.0,0.4,-0.34,0.0
2026-02-16/2026-02-22,5.0,80.0,0.477,0.947,2.6,0.99,2.4,2938.0,0.85,-1.0,-1.0
2026-02-23/2026-03-01,3.0,33.3,0.196,1.157,0.53,0.33,0.6,-988.0,1.38,-0.39,-0.8
2026-03-02/2026-03-08,8.0,62.5,0.13,0.521,1.9,0.49,1.0,3262.0,0.56,-0.59,-1.5
2026-03-09/2026-03-15,4.0,50.0,-0.35,0.518,0.18,-1.33,-1.4,-2162.0,0.08,-0.78,-0.6
2026-03-16/2026-03-22,4.0,50.0,-0.122,0.625,0.4,-0.38,-0.5,-1162.0,0.28,-0.53,-1.0
2026-03-23/2026-03-29,3.0,66.7,-0.165,0.832,1.09,-0.39,-0.5,88.0,0.25,-1.0,-1.0
2026-03-30/2026-04-05,4.0,50.0,0.037,1.388,0.95,0.05,0.1,-188.0,1.07,-1.0,-1.0
2026-04-06/2026-04-12,2.0,100.0,0.423,0.665,inf,1.25,0.8,1062.0,0.42,,0.0
2026-04-13/2026-04-19,3.0,100.0,0.82,1.038,inf,1.55,2.5,3462.0,0.82,,0.0
2026-04-27/2026-05-03,2.0,50.0,-0.457,1.064,0.04,-0.84,-0.9,-950.0,0.09,-1.0,-1.0
2026-05-04/2026-05-10,4.0,50.0,0.112,0.333,3.68,0.66,0.4,638.0,0.36,-0.14,-0.3
2026-05-11/2026-05-17,1.0,100.0,1.453,,inf,,1.5,2325.0,1.45,,0.0
2026-05-18/2026-05-24,1.0,0.0,-0.55,,0.0,,-0.6,-825.0,,-0.55,0.0
2026-05-25/2026-05-31,2.0,0.0,-0.674,0.638,0.0,-2.07,-1.3,-1138.0,,-0.67,-1.0
2026-06-01/2026-06-07,4.0,50.0,-0.306,0.787,0.98,-0.76,-1.2,-38.0,0.39,-1.0,-1.0
2026-06-08/2026-06-14,5.0,60.0,0.142,0.448,3.67,0.62,0.7,4438.0,0.49,-0.38,-0.8
2026-06-15/2026-06-21,2.0,100.0,0.615,1.059,inf,1.14,1.2,888.0,0.61,,0.0
