trade_id,event,strategy,nlegs,net_fill,pkg_worst,pkg_best,achievable,within_band
auto_20260903_083424,exit,openfly_p,2,-7.8,-8.0,-7.6,True,True
auto_20260903_083044,exit,eodic_c,2,-8.85,-8.95,-8.8,True,True
auto_20260904_083045,entry,eodic_p,2,0.95,0.9,0.95,True,True
auto_20260904_083155,entry,eodic_c,2,0.15,0.15,0.15,True,True
auto_20260904_083232,entry,eodfly_p,2,10.3,10.0,10.5,True,True
auto_20260904_083253,entry,eodfly_c,2,6.65,6.6,6.85,True,True
auto_20260904_090522,entry,openic_p,2,0.25,0.2,0.25,True,True
auto_20260904_090559,entry,openic_c,2,0.1,0.05,0.05,False,False
auto_20260904_083232,exit,eodfly_p,2,-11.6,-11.8,-11.5,True,True
auto_20260904_090620,entry,openfly_p,2,6.8,6.6,6.8,True,True
auto_20260904_090706,entry,gx_bps,2,0.35,0.3,0.35,True,True
auto_20260904_090642,entry,openfly_c,2,8.3,8.3,8.3,True,True
auto_20260904_090743,entry,gx_bcs,2,3.25,3.25,3.3,True,True
auto_20260904_090620,exit,openfly_p,2,-9.6,-10.0,-9.5,True,True
