date,dir,bos,size_adr,inside_run_before,next_bos
2024-03-07,-1,0,0.25851528384279476,1,0.0
2024-03-07,-1,0,0.23755458515283842,2,0.0
2024-03-07,-1,0,0.26550218340611353,3,0.0
2024-03-07,-1,0,0.5170305676855895,4,0.0
2024-03-07,-1,0,0.19563318777292577,5,
2024-03-08,1,1,0.2318840579710145,0,1.0
2024-03-08,1,1,0.7092924126172208,0,0.0
2024-03-08,1,0,0.17050298380221654,0,0.0
2024-03-08,1,0,0.25234441602728047,1,0.0
2024-03-08,1,0,0.33418584825234443,2,0.0
2024-03-08,1,0,0.2728047740835465,3,0.0
2024-03-08,1,0,0.24552429667519182,4,0.0
2024-03-08,1,0,0.2864450127877238,5,0.0
2024-03-08,1,0,0.18414322250639387,6,0.0
2024-03-08,1,0,0.3410059676044331,7,0.0
2024-03-08,1,0,0.9138959931798807,8,0.0
2024-03-08,1,0,0.21142369991474852,9,0.0
2024-03-08,1,0,0.2864450127877238,10,0.0
2024-03-08,1,0,0.1636828644501279,11,
2024-03-08,-1,1,0.1773231031543052,0,0.0
2024-03-08,-1,0,0.1977834612105712,0,0.0
2024-03-08,-1,0,0.3273657289002558,1,1.0
2024-03-08,-1,1,1.0434782608695652,2,1.0
2024-03-08,-1,1,0.36828644501278773,0,1.0
2024-03-08,-1,1,0.3751065643648764,0,0.0
2024-03-08,-1,0,0.1773231031543052,0,0.0
2024-03-08,-1,0,0.21142369991474852,1,1.0
2024-03-08,-1,1,0.7365728900255755,2,1.0
2024-03-08,-1,1,0.5933503836317136,0,0.0
2024-03-08,-1,0,0.22506393861892582,0,0.0
2024-03-08,-1,0,0.7161125319693095,1,0.0
2024-03-08,-1,0,0.2318840579710145,2,0.0
2024-03-08,-1,0,0.24552429667519182,3,
2024-03-11,1,1,0.11209439528023599,0,0.0
2024-03-11,1,0,0.17699115044247787,0,0.0
2024-03-11,1,0,0.24188790560471976,1,0.0
2024-03-11,1,0,0.3008849557522124,2,0.0
2024-03-11,1,0,0.46017699115044247,3,0.0
2024-03-11,1,0,0.40117994100294985,4,1.0
2024-03-11,1,1,0.2890855457227139,5,1.0
2024-03-11,1,1,0.3421828908554572,0,1.0
2024-03-11,1,1,0.3775811209439528,0,0.0
2024-03-11,1,0,0.21238938053097345,0,
2024-03-11,-1,1,0.1887905604719764,0,1.0
2024-03-11,-1,1,0.56047197640118,0,0.0
2024-03-11,-1,0,0.20058997050147492,0,0.0
2024-03-11,-1,0,0.24188790560471976,1,0.0
2024-03-11,-1,0,0.3952802359882006,2,0.0
2024-03-11,-1,0,0.2182890855457227,3,0.0
2024-03-11,-1,0,0.2359882005899705,4,0.0
2024-03-11,-1,0,0.31268436578171094,5,0.0
2024-03-11,-1,0,0.2890855457227139,6,0.0
2024-03-11,-1,0,0.24778761061946902,7,
2024-03-12,1,1,0.07909604519774012,0,1.0
2024-03-12,1,1,1.305084745762712,0,1.0
2024-03-12,1,1,0.2655367231638418,0,0.0
2024-03-12,1,0,0.20903954802259886,0,0.0
2024-03-12,1,0,0.2655367231638418,1,1.0
2024-03-12,1,1,0.7344632768361582,2,1.0
2024-03-12,1,1,0.3785310734463277,0,1.0
2024-03-12,1,1,0.192090395480226,0,
2024-03-12,-1,1,0.6779661016949152,0,0.0
2024-03-12,-1,0,0.24858757062146894,0,0.0
2024-03-12,-1,0,0.3220338983050847,1,0.0
2024-03-12,-1,0,0.5875706214689266,2,0.0
2024-03-12,-1,0,0.24293785310734464,3,0.0
2024-03-12,-1,0,0.2824858757062147,4,0.0
2024-03-12,-1,0,0.15819209039548024,5,
2024-03-13,1,1,0.0,0,0.0
