up,dt_entry,day,R_pts,hwb,entry_tick_low,entry_tick_high,conf400,conf800,outcome,target_first,resolved,mfe_pts,mae_pts,bars_to_out
True,2022-01-25 10:00:00,2022-01-25,68.5,5127.0,-802.0,663.0,True,True,stop,False,True,24.25,13.5,2.0
False,2022-01-25 10:45:00,2022-01-25,47.75,5137.38,-913.0,777.0,True,False,stop,False,True,21.38,12.62,2.0
True,2022-01-25 11:30:00,2022-01-25,36.5,5131.75,-716.0,736.0,True,False,stop,False,True,13.75,5.75,0.0
False,2022-01-25 12:00:00,2022-01-25,28.5,5135.75,-667.0,723.0,True,False,stop,False,True,13.25,3.5,0.0
True,2022-01-25 14:30:00,2022-01-25,97.5,5170.25,-783.0,878.0,True,False,stop,False,True,20.0,14.0,1.0
False,2022-01-26 08:30:00,2022-01-26,72.25,5182.88,-7.0,1160.0,True,True,stop,False,True,0.0,49.38,0.0
True,2022-01-26 09:30:00,2022-01-26,106.5,5200.0,-789.0,426.0,True,False,stop,False,True,62.5,33.75,17.0
False,2022-01-26 10:00:00,2022-01-26,56.0,5225.25,-456.0,786.0,True,False,stop,False,True,20.75,7.5,1.0
True,2022-01-26 13:15:00,2022-01-26,65.25,5229.88,-766.0,802.0,True,False,stop,False,True,11.62,19.62,0.0
False,2022-01-27 08:30:00,2022-01-27,152.0,5186.5,136.0,1192.0,True,True,stop,False,True,0.0,34.5,0.0
True,2022-01-27 11:15:00,2022-01-27,127.75,5174.38,-945.0,220.0,True,True,stop,False,True,15.62,19.12,1.0
False,2022-01-27 09:45:00,2022-01-27,57.5,5209.5,-646.0,693.0,True,False,stop,False,True,17.75,16.0,1.0
True,2022-01-27 10:15:00,2022-01-27,44.75,5203.12,-1033.0,262.0,True,True,stop,False,True,17.38,11.38,0.0
False,2022-01-27 10:30:00,2022-01-27,33.75,5208.62,-613.0,695.0,True,False,stop,False,True,12.38,10.88,0.0
True,2022-01-27 10:45:00,2022-01-27,27.75,5205.62,-584.0,462.0,True,False,stop,False,True,10.88,21.12,1.0
False,2022-01-28 10:15:00,2022-01-28,98.0,5170.5,-527.0,791.0,True,False,stop,False,True,8.25,12.5,1.0
True,2022-01-27 13:15:00,2022-01-27,42.25,5142.62,-962.0,285.0,True,True,stop,False,True,9.38,16.38,0.0
False,2022-01-27 13:45:00,2022-01-27,44.25,5141.62,-1063.0,861.0,True,True,stop,False,True,19.12,9.38,0.0
True,2022-01-27 14:00:00,2022-01-27,31.5,5135.25,-945.0,739.0,True,True,stop,False,True,13.25,13.75,0.0
False,2022-01-27 14:30:00,2022-01-27,36.0,5133.0,-705.0,786.0,True,False,stop,False,True,4.25,21.0,0.0
True,2022-01-27 15:00:00,2022-01-27,46.0,5138.0,-152.0,98.0,False,False,stop,False,True,6.5,9.0,0.0
False,2022-01-28 09:15:00,2022-01-28,61.75,5130.12,-638.0,724.0,True,False,stop,False,True,9.38,14.38,0.0
True,2022-01-28 09:30:00,2022-01-28,45.25,5121.88,-876.0,730.0,True,True,stop,False,True,13.12,10.38,0.0
False,2022-01-28 09:45:00,2022-01-28,33.0,5128.0,-595.0,835.0,True,True,stop,False,True,14.75,28.25,0.0
True,2022-01-28 13:15:00,2022-01-28,85.25,5154.12,-937.0,482.0,True,True,stop,False,True,13.62,15.12,1.0
False,2022-01-28 12:00:00,2022-01-28,33.75,5179.88,-539.0,867.0,True,True,stop,False,True,14.12,6.88,0.0
True,2022-01-28 13:15:00,2022-01-28,29.75,5177.88,-937.0,482.0,True,True,stop,False,True,0.0,32.88,0.0
False,2022-01-28 13:45:00,2022-01-28,53.75,5165.88,-586.0,1088.0,True,True,stop,False,True,4.12,18.38,0.0
False,2022-01-31 14:30:00,2022-01-31,27.0,5291.5,-680.0,814.0,True,True,stop,False,True,3.25,14.75,0.0
True,2022-02-01 09:00:00,2022-02-01,52.75,5304.38,-774.0,643.0,True,False,stop,False,True,15.38,14.12,0.0
False,2022-02-01 09:15:00,2022-02-01,40.5,5310.5,-489.0,715.0,True,False,stop,False,True,8.75,10.75,0.0
True,2022-02-03 08:30:00,2022-02-03,95.0,5337.75,-1433.0,157.0,True,True,stop,False,True,7.0,16.5,0.0
False,2022-02-02 10:45:00,2022-02-02,33.75,5368.38,-352.0,581.0,True,False,stop,False,True,10.88,11.12,1.0
True,2022-02-02 15:00:00,2022-02-02,50.75,5376.88,173.0,334.0,False,False,stop,False,True,19.38,19.38,0.0
True,2022-02-03 10:15:00,2022-02-03,29.25,5335.88,-691.0,360.0,True,False,stop,False,True,13.62,3.88,0.0
False,2022-02-03 15:00:00,2022-02-03,72.25,5314.38,84.0,253.0,False,False,stop,False,True,27.62,9.12,0.0
True,2022-02-04 08:30:00,2022-02-04,45.25,5300.88,-747.0,308.0,True,False,stop,False,True,0.88,29.38,0.0
False,2022-02-04 08:45:00,2022-02-04,52.0,5297.5,-705.0,252.0,False,False,stop,False,True,14.5,6.25,0.0
True,2022-02-04 09:30:00,2022-02-04,36.25,5289.62,-955.0,261.0,True,True,stop,False,True,0.62,20.88,0.0
False,2022-02-04 10:30:00,2022-02-04,49.0,5283.25,-434.0,722.0,True,False,stop,False,True,6.75,9.0,0.0
True,2022-02-04 15:00:00,2022-02-04,90.0,5303.75,86.0,336.0,False,False,stop,False,True,25.5,12.25,9.0
False,2022-02-07 08:45:00,2022-02-07,51.25,5323.12,-432.0,563.0,True,False,stop,False,True,17.88,6.12,3.0
True,2022-02-07 09:45:00,2022-02-07,31.75,5313.38,-365.0,600.0,False,False,stop,False,True,7.88,6.62,1.0
False,2022-02-07 12:00:00,2022-02-07,41.25,5308.62,-320.0,678.0,True,False,stop,False,True,13.62,6.38,2.0
True,2022-02-07 14:30:00,2022-02-07,42.75,5309.38,-877.0,574.0,True,True,stop,False,True,6.38,13.12,0.0
False,2022-02-08 09:45:00,2022-02-08,58.25,5301.62,-118.0,687.0,True,False,stop,False,True,12.38,10.12,1.0
True,2022-02-08 13:45:00,2022-02-08,61.0,5303.0,-661.0,627.0,True,False,target,True,True,81.0,1.25,6.0
False,2022-02-08 14:15:00,2022-02-08,31.75,5317.62,-731.0,550.0,True,False,stop,False,True,0.0,11.38,0.0
True,2022-02-10 08:30:00,2022-02-10,97.0,5350.25,-1383.0,221.0,True,True,stop,False,True,13.25,17.25,0.0
False,2022-02-10 08:45:00,2022-02-10,65.75,5365.88,-501.0,433.0,True,False,stop,False,True,9.88,10.38,0.0
