DateTime,Open,High,Low,Close,K,D,KSignalUp,KSignalDn,ZoneSignal
2024-05-10 15:15:00,5767.75,5791.00,5759.75,5773.25,92.2064,92.2064,0,0,0
2024-05-13 15:15:00,5767.50,5791.00,5760.25,5772.50,91.8771,91.8771,0,0,0
2024-05-14 15:15:00,5768.75,5801.25,5743.75,5796.50,97.2857,97.2857,0,1,-1
2024-05-15 15:15:00,5797.50,5864.25,5793.25,5860.00,97.6584,97.6584,0,1,-1
2024-05-16 15:15:00,5858.50,5876.00,5842.50,5847.25,82.0593,82.0593,0,0,0
2024-05-17 15:15:00,5845.25,5855.75,5832.75,5854.25,86.4275,86.4275,0,1,-1
2024-05-20 15:15:00,5856.25,5875.25,5850.75,5858.75,88.7987,88.7987,0,1,0
2024-05-21 15:15:00,5858.75,5874.50,5849.50,5872.25,97.1645,97.1645,0,1,-1
2024-05-22 15:15:00,5870.50,5876.25,5833.75,5855.00,83.9623,83.9623,0,0,0
2024-05-23 15:15:00,5866.00,5895.25,5800.50,5812.25,45.2145,45.2145,0,0,0
2024-05-24 15:15:00,5812.75,5856.25,5812.75,5848.50,54.1667,54.1667,0,0,0
2024-05-27 12:00:00,5848.75,5861.75,5839.50,5861.00,63.8522,63.8522,0,0,0
2024-05-28 15:15:00,5861.25,5866.00,5823.75,5851.75,54.0897,54.0897,0,0,0
2024-05-29 15:15:00,5850.75,5851.00,5795.25,5811.00,15.7500,15.7500,1,0,1
2024-05-30 15:15:00,5797.50,5804.00,5765.25,5780.00,11.3462,11.3462,1,0,1
2024-05-31 15:15:00,5777.50,5834.00,5732.50,5822.50,55.2995,55.2995,0,0,0
2024-06-03 15:15:00,5826.50,5840.25,5773.75,5824.25,56.3748,56.3748,0,0,0
2024-06-04 15:15:00,5827.25,5839.25,5789.00,5831.00,73.7828,73.7828,0,0,0
2024-06-05 15:15:00,5832.00,5895.25,5829.50,5893.00,98.6175,98.6175,0,1,-1
2024-06-06 15:15:00,5894.75,5900.25,5872.25,5891.00,94.4858,94.4858,0,0,0
2024-06-07 15:15:00,5889.00,5912.50,5856.00,5882.75,83.4722,83.4722,0,0,0
2024-06-10 15:15:00,5878.50,5902.75,5865.25,5898.25,92.0833,92.0833,0,1,-1
2024-06-11 15:15:00,5896.75,5913.25,5861.50,5911.00,98.7552,98.7552,0,1,0
2024-06-12 15:15:00,5911.50,5981.50,5907.00,5954.50,87.0036,87.0036,0,0,0
2024-06-13 15:15:00,5963.25,5979.75,5935.50,5965.50,91.6883,91.6883,0,1,0
