spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
all|mqspot|sm9_flipneg_near,15.0,0.0,0.10218978102189781,0.26277372262773724,0.6551094890510949,0.885036496350365,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7974683544303798,0.8829113924050633,632
ex1|mqspot|sm3_flipneg_near,20.0,0.0,0.14233576642335766,0.4051094890510949,0.5547445255474452,0.9051094890510949,548,5.0,0.0,0.13449367088607594,0.5395569620253164,0.7136075949367089,0.939873417721519,632
ex1|cspot|g25_flipneg_near,20.0,-10.0,0.1259124087591241,0.22627737226277372,0.708029197080292,0.9251824817518248,548,15.0,-15.0,0.1360759493670886,0.25949367088607594,0.879746835443038,0.9414556962025317,632
all|cspot|g25_flipneg_near,20.0,-10.0,0.10218978102189781,0.20255474452554745,0.6441605839416058,0.8686131386861314,548,20.0,-15.0,0.11075949367088607,0.25,0.7974683544303798,0.879746835443038,632
ex1|mqspot|g25_upflip_near,20.0,-10.0,0.1259124087591241,0.22627737226277372,0.708029197080292,0.9233576642335767,548,15.0,-15.0,0.1360759493670886,0.25949367088607594,0.879746835443038,0.939873417721519,632
ex1|cspot|g25_upflip_near,20.0,-10.0,0.1259124087591241,0.2281021897810219,0.7116788321167883,0.927007299270073,548,15.0,-15.0,0.1360759493670886,0.25949367088607594,0.879746835443038,0.9414556962025317,632
ex1|mqspot|sm3_upflip_near,20.0,0.0,0.1478102189781022,0.4124087591240876,0.5529197080291971,0.916058394160584,548,5.0,0.0,0.13765822784810128,0.5490506329113924,0.7104430379746836,0.9462025316455697,632
ex1|cspot|sm3_flipneg_near,20.0,0.0,0.1386861313868613,0.395985401459854,0.551094890510949,0.906934306569343,548,5.0,0.0,0.13449367088607594,0.5363924050632911,0.7136075949367089,0.935126582278481,632
all|cspot|g25_upflip_near,20.0,-10.0,0.10218978102189781,0.20437956204379562,0.6459854014598541,0.8613138686131386,548,20.0,-15.0,0.11075949367088607,0.25,0.7958860759493671,0.870253164556962,632
ex1|mqspot|g25_flipneg_near,20.0,-10.0,0.1259124087591241,0.22627737226277372,0.7062043795620438,0.9215328467153284,548,15.0,-15.0,0.1360759493670886,0.25949367088607594,0.879746835443038,0.939873417721519,632
all|mqspot|g25_flipneg_near,20.0,-10.0,0.10401459854014598,0.20437956204379562,0.6459854014598541,0.8704379562043796,548,20.0,-15.0,0.11234177215189874,0.25158227848101267,0.8022151898734177,0.8860759493670886,632
all|mqspot|g25_upflip_near,20.0,-10.0,0.10401459854014598,0.20437956204379562,0.6459854014598541,0.8631386861313869,548,20.0,-15.0,0.11234177215189874,0.25158227848101267,0.8006329113924051,0.8734177215189873,632
