level,method,band,spot,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,maxtot,none,spotprev,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
gw0,maxtot,b05,spotprev,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
gw0,maxtot,none,spoteod,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
gw0,maxtot,b02,spotprev,495,0.12323232323232323,0.3393939393939394,50.0,632,0.1360759493670886,0.3401898734177215,50.0
gw0,maxtot,b05,spoteod,495,0.12323232323232323,0.3373737373737374,50.0,632,0.1360759493670886,0.34177215189873417,50.0
gw0,maxnet_ge,b02,spotprev,495,0.12121212121212122,0.46464646464646464,30.0,632,0.1550632911392405,0.5427215189873418,25.0
gw0,maxnet,b02,spoteod,495,0.12121212121212122,0.42424242424242425,35.0,632,0.15822784810126583,0.5015822784810127,25.0
gw0,maxtot,b02,spoteod,495,0.11717171717171718,0.3373737373737374,50.0,632,0.13449367088607594,0.3449367088607595,50.0
hvl0,flip,b02,spoteod,422,0.07819905213270142,0.5521327014218009,25.0,592,0.08952702702702703,0.6233108108108109,20.0
hvl0,flip,b02,spotprev,453,0.0772626931567329,0.5761589403973509,25.0,610,0.08852459016393442,0.7,15.0
hvl0,flip,b05,spoteod,488,0.07377049180327869,0.5327868852459017,25.0,629,0.08744038155802862,0.615262321144674,20.0
hvl0,flip,b05,spotprev,492,0.07317073170731707,0.5508130081300813,25.0,631,0.08557844690966719,0.6862123613312203,15.0
hvl0,flip,none,spotprev,493,0.07302231237322515,0.5496957403651116,25.0,632,0.08544303797468354,0.685126582278481,15.0
hvl0,flip,none,spoteod,493,0.07302231237322515,0.5314401622718052,25.0,632,0.08702531645569621,0.615506329113924,20.0
hvl0,maxtot,b02,spoteod,493,0.04259634888438134,0.41379310344827586,35.0,632,0.03955696202531646,0.43354430379746833,35.0
hvl0,maxtot,none,spotprev,493,0.04056795131845842,0.3975659229208925,35.0,632,0.04113924050632911,0.43037974683544306,35.0
hvl0,maxtot,b02,spotprev,493,0.04056795131845842,0.3995943204868154,35.0,632,0.04113924050632911,0.4287974683544304,35.0
hvl0,maxtot,b05,spotprev,493,0.04056795131845842,0.3975659229208925,35.0,632,0.04113924050632911,0.43037974683544306,35.0
hvl0,maxtot,none,spoteod,493,0.04056795131845842,0.3975659229208925,35.0,632,0.04113924050632911,0.43037974683544306,35.0
hvl0,maxtot,b05,spoteod,493,0.04056795131845842,0.40162271805273836,35.0,632,0.04113924050632911,0.4319620253164557,35.0
hvl0,minabsnet,b02,spotprev,493,0.030425963488843813,0.3002028397565923,50.0,632,0.014240506329113924,0.2088607594936709,90.0
hvl0,minabsnet,b02,spoteod,493,0.02028397565922921,0.1643002028397566,95.0,632,0.004746835443037975,0.12658227848101267,130.0
hvl0,minabsnet,b05,spotprev,493,0.002028397565922921,0.032454361054766734,190.0,632,0.0031645569620253164,0.01740506329113924,262.5
hvl0,minabsnet,b05,spoteod,493,0.002028397565922921,0.038539553752535496,210.0,632,0.0015822784810126582,0.014240506329113924,280.0
hvl0,minabsnet,none,spotprev,493,0.0,0.002028397565922921,3000.0,632,0.0,0.0,3742.5
hvl0,minabsnet,none,spoteod,493,0.0,0.002028397565922921,3000.0,632,0.0,0.0,3742.5
ps0,maxpg_le,none,spoteod,495,0.16565656565656567,0.4666666666666667,30.0,632,0.1661392405063291,0.4920886075949367,30.0
ps0,maxpg_le,b05,spoteod,495,0.16565656565656567,0.4686868686868687,30.0,632,0.1661392405063291,0.4920886075949367,30.0
ps0,maxpg_le,b02,spoteod,495,0.1595959595959596,0.4707070707070707,30.0,632,0.1661392405063291,0.49683544303797467,30.0
ps0,maxpg_le,b02,spotprev,495,0.15151515151515152,0.4101010101010101,50.0,632,0.16772151898734178,0.4762658227848101,30.0
ps0,maxpg_le,none,spotprev,495,0.1494949494949495,0.41414141414141414,50.0,632,0.1661392405063291,0.47310126582278483,30.0
ps0,maxpg_le,b05,spotprev,495,0.1494949494949495,0.41414141414141414,50.0,632,0.16772151898734178,0.47468354430379744,30.0
ps0,minnet_le,none,spoteod,495,0.14343434343434344,0.4161616161616162,40.0,632,0.13132911392405064,0.47310126582278483,30.0
ps0,minnet_le,b05,spoteod,495,0.1414141414141414,0.4161616161616162,40.0,632,0.13291139240506328,0.47468354430379744,30.0
ps0,minnet_le,b02,spoteod,495,0.13737373737373737,0.43232323232323233,35.0,632,0.13132911392405064,0.5079113924050633,25.0
ps0,minnet_le,b05,spotprev,495,0.12525252525252525,0.39595959595959596,40.0,632,0.11550632911392406,0.4287974683544304,40.0
ps0,minnet_le,none,spotprev,495,0.12323232323232323,0.3939393939393939,40.0,632,0.11392405063291139,0.4272151898734177,40.0
ps0,minnet_le,b02,spotprev,495,0.11515151515151516,0.39191919191919194,40.0,632,0.11550632911392406,0.4430379746835443,35.0
ps0,minnet,b05,spotprev,495,0.1111111111111111,0.37575757575757573,45.0,632,0.10126582278481013,0.4177215189873418,40.0
ps0,minnet,b02,spoteod,495,0.1111111111111111,0.39595959595959596,40.0,632,0.10284810126582279,0.44936708860759494,35.0
ps0,minnet,none,spotprev,495,0.10909090909090909,0.37373737373737376,50.0,632,0.0981012658227848,0.41455696202531644,40.0
ps0,minnet,none,spoteod,495,0.10909090909090909,0.37373737373737376,50.0,632,0.0981012658227848,0.41455696202531644,40.0
ps0,minnet,b05,spoteod,495,0.10909090909090909,0.37373737373737376,45.0,632,0.09968354430379747,0.4161392405063291,40.0
ps0,minnet,b02,spotprev,495,0.09898989898989899,0.36363636363636365,45.0,632,0.10284810126582279,0.43354430379746833,35.0
ps0,maxpg,b02,spoteod,495,0.08888888888888889,0.3575757575757576,50.0,632,0.11708860759493671,0.3860759493670886,40.0
ps0,maxpg,none,spotprev,495,0.08686868686868687,0.3474747474747475,50.0,632,0.11392405063291139,0.37816455696202533,45.0
ps0,maxpg,b05,spotprev,495,0.08686868686868687,0.3474747474747475,50.0,632,0.11550632911392406,0.379746835443038,45.0
ps0,maxpg,none,spoteod,495,0.08686868686868687,0.3474747474747475,50.0,632,0.11392405063291139,0.37816455696202533,45.0
ps0,maxpg,b05,spoteod,495,0.08686868686868687,0.3474747474747475,50.0,632,0.11392405063291139,0.37816455696202533,45.0
ps0,maxpg,b02,spotprev,495,0.08484848484848485,0.3393939393939394,50.0,632,0.11550632911392406,0.3829113924050633,45.0
