level,slice,meas,side,target,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,E0,co,ge,max,495,0.14545454545454545,0.2585858585858586,70.0,632,0.12341772151898735,0.2626582278481013,70.0
gw0,E01,co,ge,max,550,0.16363636363636364,0.24909090909090909,70.0,632,0.12025316455696203,0.22468354430379747,90.0
gw0,E0,co,none,max,495,0.12727272727272726,0.22828282828282828,75.0,632,0.10126582278481013,0.22151898734177214,75.0
gw0,E01,cg,none,max,550,0.09636363636363636,0.31272727272727274,50.0,632,0.0981012658227848,0.34968354430379744,45.0
gw0,E01,totg,none,max,550,0.08181818181818182,0.28909090909090907,50.0,632,0.09651898734177215,0.3291139240506329,50.0
gw0,E01,pg,none,max,550,0.08181818181818182,0.27636363636363637,50.0,632,0.09177215189873418,0.28639240506329117,50.0
gw0,E01,co,none,max,550,0.14545454545454545,0.22727272727272727,80.0,632,0.08544303797468354,0.16455696202531644,100.0
gw0,E01,neto,ge,max,550,0.10545454545454545,0.18363636363636363,100.0,632,0.08386075949367089,0.18829113924050633,100.0
gw0,E0,neto,ge,max,495,0.11515151515151516,0.2101010101010101,95.0,632,0.08227848101265822,0.1930379746835443,90.0
gw0,E01,neto,none,max,550,0.10181818181818182,0.1709090909090909,100.0,632,0.07911392405063292,0.18670886075949367,100.0
gw0,E0,pg,none,max,495,0.08484848484848485,0.2505050505050505,55.0,632,0.07753164556962025,0.21677215189873417,60.0
gw0,E0,neto,none,max,495,0.10909090909090909,0.20202020202020202,90.0,632,0.07753164556962025,0.189873417721519,90.0
gw0,E01,neto,le,max,550,0.05454545454545454,0.1618181818181818,100.0,632,0.05221518987341772,0.21360759493670886,62.5
gw0,E01,netg,le,max,550,0.038181818181818185,0.19090909090909092,75.0,632,0.0379746835443038,0.2231012658227848,60.0
gw0,E01,cg,le,max,550,0.034545454545454546,0.16727272727272727,75.0,632,0.03639240506329114,0.18670886075949367,60.0
gw0,E0,totg,le,max,495,0.04040404040404041,0.17575757575757575,75.0,632,0.03481012658227848,0.15664556962025317,70.0
gw0,E01,co,le,max,550,0.04181818181818182,0.09636363636363636,150.0,632,0.03481012658227848,0.0981012658227848,140.0
gw0,E0,cg,le,max,495,0.046464646464646465,0.20404040404040405,60.0,632,0.03322784810126582,0.18037974683544303,50.0
gw0,E01,netg,ge,min,550,0.04,0.34363636363636363,50.0,632,0.03322784810126582,0.36550632911392406,40.0
gw0,E01,totg,le,max,550,0.025454545454545455,0.15636363636363637,75.0,632,0.03164556962025317,0.1787974683544304,60.0
gw0,E0,co,le,max,495,0.044444444444444446,0.13131313131313133,95.0,632,0.028481012658227847,0.13132911392405064,90.0
gw0,E01,neto,ge,min,550,0.038181818181818185,0.22363636363636363,100.0,632,0.028481012658227847,0.2389240506329114,80.0
gw0,E0,neto,le,max,495,0.030303030303030304,0.16363636363636364,100.0,632,0.02531645569620253,0.18829113924050633,75.0
gw0,E0,pg,le,max,495,0.028282828282828285,0.13535353535353536,80.0,632,0.023734177215189875,0.10126582278481013,80.0
gw0,E01,pg,le,max,550,0.025454545454545455,0.14545454545454545,82.5,632,0.023734177215189875,0.13924050632911392,75.0
gw0,E0,netg,le,max,495,0.026262626262626262,0.1797979797979798,75.0,632,0.022151898734177215,0.2120253164556962,60.0
gw0,E0,netg,ge,min,495,0.03232323232323232,0.24242424242424243,75.0,632,0.020569620253164556,0.21044303797468356,85.0
gw0,E0,neto,ge,min,495,0.03636363636363636,0.21414141414141413,100.0,632,0.0189873417721519,0.189873417721519,100.0
gw0,E01,netg,none,min,550,0.01818181818181818,0.13818181818181818,100.0,632,0.0189873417721519,0.12974683544303797,80.0
gw0,E0,netg,none,min,495,0.01818181818181818,0.12727272727272726,95.0,632,0.011075949367088608,0.08227848101265822,95.0
gw0,E01,netg,le,min,550,0.0036363636363636364,0.07454545454545454,100.0,632,0.004746835443037975,0.04746835443037975,100.0
gw0,E0,netg,le,min,495,0.006060606060606061,0.06666666666666667,100.0,632,0.0015822784810126582,0.03955696202531646,100.0
gw0,E0,po,none,max,495,0.006060606060606061,0.014141414141414142,730.0,632,0.0,0.0015822784810126582,1050.0
gw0,E0,po,le,max,495,0.0,0.00202020202020202,730.0,632,0.0,0.0015822784810126582,1050.0
gw0,E0,neto,none,min,495,0.0,0.00404040404040404,745.0,632,0.0,0.0015822784810126582,1055.0
gw0,E0,neto,le,min,495,0.0,0.00202020202020202,745.0,632,0.0,0.0015822784810126582,1057.5
gw0,E01,po,none,max,550,0.00909090909090909,0.014545454545454545,700.0,632,0.0,0.0031645569620253164,1122.5
