level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,1,120,m50,b20,none,549,0.5628415300546448,0.5774134790528234,0.0,632,0.7231012658227848,0.7341772151898734,0.0
cr,1,120,m100,none,ge,549,0.5628415300546448,0.5683060109289617,0.0,632,0.7262658227848101,0.7341772151898734,0.0
cr,1,120,m100,b30,ge,549,0.5628415300546448,0.5683060109289617,0.0,632,0.7262658227848101,0.7341772151898734,0.0
cr,1,120,m100,b20,ge,549,0.5610200364298725,0.5664845173041895,0.0,632,0.7262658227848101,0.7341772151898734,0.0
cr,2,90,m25,none,ge,549,0.5591985428051002,0.5792349726775956,0.0,632,0.7626582278481012,0.7753164556962026,0.0
cr,2,90,m25,b30,ge,549,0.5591985428051002,0.5792349726775956,0.0,632,0.7626582278481012,0.7753164556962026,0.0
cr,2,90,m50,none,ge,549,0.5591985428051002,0.5792349726775956,0.0,632,0.7626582278481012,0.7737341772151899,0.0
cr,2,90,m50,b30,ge,549,0.5591985428051002,0.5792349726775956,0.0,632,0.7626582278481012,0.7737341772151899,0.0
cr,1,120,m25,none,ge,549,0.5573770491803278,0.5828779599271403,0.0,632,0.7310126582278481,0.7610759493670886,0.0
cr,1,120,m25,b30,ge,549,0.5573770491803278,0.5828779599271403,0.0,632,0.7310126582278481,0.7610759493670886,0.0
cr,2,90,m25,b20,ge,549,0.5573770491803278,0.5774134790528234,0.0,632,0.7626582278481012,0.7753164556962026,0.0
cr,2,90,m50,b20,ge,549,0.5573770491803278,0.5774134790528234,0.0,632,0.7626582278481012,0.7737341772151899,0.0
cr,1,120,m25,b20,ge,549,0.5555555555555556,0.581056466302368,0.0,632,0.7310126582278481,0.7610759493670886,0.0
