level,slice,method,band,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,d1,maxcg,b02,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
gw0,d1,maxcg,b05,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
gw0,d01,maxcg,none,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
gw0,d01,maxcg,b02,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
gw0,d01,maxcg,b05,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
gw0,d1,maxnet,none,497,0.08450704225352113,0.44668008048289737,35.0,632,0.0981012658227848,0.5490506329113924,25.0
gw0,d1,maxnet,b05,497,0.08450704225352113,0.448692152917505,30.0,632,0.09968354430379747,0.555379746835443,25.0
gw0,d01,maxnet,none,497,0.08450704225352113,0.44668008048289737,35.0,632,0.0981012658227848,0.5490506329113924,25.0
gw0,d01,maxnet,b05,497,0.08450704225352113,0.448692152917505,30.0,632,0.09968354430379747,0.555379746835443,25.0
gw0,d1,maxtot,none,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
gw0,d1,maxtot,b02,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
gw0,d1,maxnet,b02,497,0.08249496981891348,0.448692152917505,30.0,632,0.09968354430379747,0.5506329113924051,25.0
