eod_date,r2,spot,b0_0,b1_2,b3_5,b6_10,b11_21,b22_45,b46_90,b91_400
2024-07-23,0.9996468161572678,5558.47,0.0,77428.76834245777,663679.0671346247,666659.146380682,274510.4838503974,931583.8611217401,433438.03471895366,195.48797341959903
2024-07-24,0.9901983635446074,5439.73,0.0,623319.2781203958,-789476.8762002708,-275972.2192548722,3411088.86224381,1400715.7484842767,8688.435911977265,1527661.5637984867
2024-07-25,0.9937957513731996,5427.17,0.0,206131.2748957557,1779057.5298284874,152342.50977444212,895646.3612631464,497289.06458555657,408120.34058493417,1402095.4672764062
2024-07-26,0.9999865476473967,5458.68,0.0,4345.353754386306,537148.362881986,537877.7568274521,509732.77540436306,523903.9429247322,583507.608311173,497725.88997644
2024-07-29,0.9985093641064566,5476.95,0.0,229474.1154601404,598826.4095708426,870288.5194643849,512851.2953199204,719120.2667836659,519168.15934080613,496945.12459580303
2024-07-30,0.9896971688181746,5436.56,0.0,57736.27092309261,319185.8871971282,1230662.9659428135,594464.0085983861,331320.49703636504,557500.3997101351,653496.384741364
2024-07-31,0.9971741125985112,5534.48,0.0,78202.33624960709,565034.5483032452,802571.7758913764,439159.0441108324,575389.574647603,525427.4222825682,639736.8615442114
2024-08-01,0.9947057968262829,5429.86,0.0,144772.68823611166,841944.6745429783,472378.06501593575,694692.1890144763,220098.8730851782,647695.1675946529,463013.96194936713
2024-08-02,0.9974822448413191,5332.63,0.0,-41781.1514606314,698234.9421311993,611897.9484226103,584641.3292562417,269061.9601255281,592353.7251507313,409522.5791983184
2024-08-05,0.9986988671596357,5170.78,0.0,58744.92645354965,114209.07325856015,-3750865.172810726,496375.3418114176,528120.3355346661,1233320.3629569039,522063.3621498634
2024-08-06,0.9912690585247901,5273.74,0.0,-33167.32365368027,286867.78946458217,2093630.5655880799,561295.1091950499,728740.8268133033,494801.0377393936,548278.4016871213
2024-08-07,0.9960276398182097,5224.68,0.0,23182.93893446098,541390.9297900994,611889.5215153404,486860.61434295273,515533.7827585264,422196.27990651934,619032.4220199002
2024-08-08,0.9986655637446264,5316.29,0.0,241814.93807695946,554250.4698330192,733737.6497761568,213965.66840961276,850410.7672980082,184903.22790971445,655496.1398645259
2024-08-09,0.9966432127682813,5341.96,0.0,-54269.05644651223,471807.3514266197,531850.9287590317,458746.2135573509,472145.516072773,592704.3060524613,610528.8435184953
2024-08-12,0.9995941275246537,5334.33,0.0,-168151.60759800742,418819.4029729354,871361.4251362344,526254.5215533613,534179.2986551211,418249.8167569126,673334.3544767875
2024-08-13,0.9973276434033991,5426.37,0.0,17371.152810165542,596829.1690149747,909604.4197684791,490317.90165562957,509083.2485432612,412475.62801092543,506751.48485385434
2024-08-14,0.9991222297722939,5449.27,0.0,30536.597442629107,590711.8867721485,678320.712070664,560788.2787059296,453954.67815731466,460227.1978606388,482350.2002674709
2024-08-15,0.9850522496375859,5547.01,0.0,262637.0471499991,-138946.77841355593,1187036.8522054672,-78203.05430873355,153510.2061297836,-85866.73694706753,1974911.791475974
2024-08-16,0.9989300773241727,5552.24,0.0,2490.56966615445,452075.8054591673,587493.7820949033,593937.7627712317,634417.1732066124,645401.3169791893,240551.16405434292
2024-08-19,0.995678264323576,5592.83,0.0,-8407.057957407786,548636.1102291677,879377.5450686243,429988.6431237795,665864.5966816214,1090712.9509442877,33987.34704510609
2024-08-20,0.9993297340369746,5597.03,0.0,98988.41891216626,624450.8049293638,648622.9050618291,456664.3573901691,564951.8948572509,658447.4507934463,490926.6090064192
2024-08-21,0.9978529434982473,5610.04,0.0,39895.22191508347,564281.4878221491,678267.3734105977,840063.3557473151,592912.2858414493,712213.520241726,176023.7797165732
2024-08-22,0.9970284331579556,5567.84,0.0,76605.88802055398,-250201.25167701385,717977.7445272082,1093838.063933003,526923.9717555407,659273.0049607481,180937.23613058246
2024-08-23,0.9968943084481415,5617.51,0.0,-36372.241488347994,759401.4705860543,672728.704028382,304843.39221159247,640863.5861149249,553390.8787955805,631113.4375809265
2024-08-26,0.9995808789425971,5615.87,0.0,3185.8800988897274,554445.3720092658,643166.380747808,870068.2855938681,563109.9279339947,603316.9309322865,470394.3582185045
2024-08-27,0.9988880027536451,5624.95,0.0,-5719.402479699929,632182.6151377296,678569.3961191686,548671.9437834794,550168.7315636268,814672.0098294967,248931.1047275672
2024-08-28,0.9995572408592052,5597.25,0.0,35799.95946033881,461555.35916572093,796571.7116499993,499693.5175527005,525988.4628856821,620035.5668409212,286560.248075238
2024-08-29,0.9958315902291249,5597.39,0.0,673567.7477188959,1.7462298274040222e-10,429317.97655421164,576882.0529305332,476271.5301822076,812237.3785049154,1033489.6054441367
2024-08-30,0.9983149140271229,5625.21,0.0,-90219.4984087462,-368812.1657196005,1374937.5719162137,187686.22229526483,678671.0664675689,393669.0112043563,746613.3297779309
2024-09-03,0.9995008784183663,5516.83,0.0,-22326.485631339892,592048.4782560967,1621590.664951928,599745.8200554741,848677.9090389841,22167.557089547874,87598.73804965042
2024-09-04,0.9999500764680364,5519.22,0.0,284703.09183449025,544061.7419892511,617881.1166429269,451238.643551064,568136.8895871119,608910.4503183095,609504.7708784492
2024-09-05,0.9964156351686667,5498.93,0.0,51364.032548897434,816189.2259465276,505875.79756397987,408018.877245747,483841.83213273325,1918232.1459225668,916242.3612220244
2024-09-06,0.9982267049666073,5414.89,0.0,13325.405614953954,297422.30432153505,846958.5226192579,531720.5351854558,501638.6272369827,-58529.32692564688,680555.5877953393
2024-09-09,0.9998081367122217,5460.67,0.0,-15500.027451026952,635739.7167070939,492905.7003667735,539490.2438931327,581674.714504584,496395.9500204941,670386.7976008977
2024-09-10,0.9982540533600154,5491.08,0.0,15873.882210120326,618439.205585299,501772.2144241488,625112.8675251966,587357.6408942997,290960.7384410263,648401.3790016277
2024-09-11,0.9982284023169065,5533.97,0.0,41698.09787795,886972.6500283713,531738.3238581847,713598.258476878,1015972.6724816338,-594188.0007654574,102387.89143473668
2024-09-12,0.9978705686715889,5599.01,0.0,112390.53572269564,-455036.99865929125,930904.8606065374,522750.3408784687,507486.38529614295,232158.40922816325,26177.617476122337
2024-09-13,0.9997593197348505,5624.28,0.0,-22440.111094913795,604978.0356582794,558598.4564826163,605581.1470432205,580012.9313221683,486235.9986069394,148060.95937432017
2024-09-16,0.9988213114518856,5632.73,0.0,45486.68696069985,550030.4658852123,822614.9553496185,525897.0884906371,812173.4918337079,262816.26347771764,568470.8490968725
2024-09-17,0.9991399435176701,5625.38,0.0,289905.35613323154,497336.3259483563,746542.3111423316,663799.1528883302,466465.4214651099,477991.7347064218,1010759.2592087288
2024-09-18,0.9964300380236215,5624.17,0.0,-34321.38727413595,382530.9238689412,611128.820037238,323147.8564640724,570954.6417101976,1841218.8083422529,1944731.3756897128
2024-09-19,0.9990740097084917,5717.54,0.0,359420.14883910364,150690.12980580202,1299896.1722146582,708306.1218942686,-101096.9595577298,1840188.982170005,873173.038942939
2024-09-20,0.9999314189858086,5694.13,0.0,43971.546054875245,409720.2144601422,516942.03440360376,553461.126295339,546662.5478644716,711883.6251668,498326.73237227194
2024-09-23,0.9987269997582203,5713.09,0.0,32953.151781355846,677607.6588989261,548822.953745233,908056.8057126882,400761.6141697673,1195446.7849044183,164648.9101808604
2024-09-24,0.9999073835089012,5728.41,0.0,50447.715512128314,626265.7768597654,597660.3572074589,790054.9523877762,609916.1538499547,213419.70205300004,1149802.0412875954
2024-09-25,0.9936362821348297,5715.67,0.0,-190798.9862572539,653483.6065782036,537224.77086826,1064297.1062843793,837015.1378147316,984155.8284536947,-2005951.9020303946
2024-09-26,0.9982762949100434,5742.84,0.0,101792.21541490499,557538.0309092158,701169.2078709893,649182.5491386979,653715.6276035518,247495.35578491696,907368.2599023539
2024-09-27,0.9999253276781417,5738.74,0.0,199122.7429180178,586701.0188079083,551318.6049916646,514402.2793031823,560043.4447836664,498528.56327206624,763982.6987678484
2024-09-30,0.9984101154476063,5745.9,0.0,70615.14586607716,785425.8435738287,645773.3169492731,710762.4716353867,551150.4464891052,426657.71235865017,532507.3220320365
2024-10-01,0.997597900828184,5716.28,0.0,-26726.42457809788,713727.4231668689,1129802.2794930332,444189.7327506131,373679.7444443472,764907.4650820207,492447.2756831907
2024-10-02,0.9974746196054308,5715.28,0.0,27185.735592931946,730000.1870469126,555776.852429929,464712.65578674054,652791.2254660017,628230.1243428795,533516.6735958529
