dte,grid,side,band,meas,n_fit,exact_fit,w25_fit,medae_fit,bias_fit,n_hold,exact_hold,w25_hold,medae_hold,bias_hold,level
le90,m100,ge,bNone,net,549,0.5373406193078324,0.5537340619307832,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
le90,m100,gt,bNone,net,549,0.5373406193078324,0.5537340619307832,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
le90,m100,ge,b20,net,549,0.5355191256830601,0.5519125683060109,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
le90,m100,gt,b20,net,549,0.5355191256830601,0.5519125683060109,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
le90,m100,ge,b15,net,549,0.5336976320582878,0.5500910746812386,0.0,0.0,632,0.6977848101265823,0.7025316455696202,0.0,0.0,cr
le90,m100,gt,b15,net,549,0.5336976320582878,0.5500910746812386,0.0,0.0,632,0.6977848101265823,0.7025316455696202,0.0,0.0,cr
le90,m100,none,b10,net,549,0.5318761384335154,0.546448087431694,0.0,0.0,632,0.6867088607594937,0.6914556962025317,0.0,0.0,cr
monthly,any,ge,b20,net,549,0.5282331511839709,0.5373406193078324,0.0,0.0,632,0.5933544303797469,0.5981012658227848,0.0,0.0,cr
monthly,any,gt,b20,net,549,0.5282331511839709,0.5373406193078324,0.0,0.0,632,0.5933544303797469,0.5981012658227848,0.0,0.0,cr
monthly,m25,ge,b20,net,549,0.5282331511839709,0.5373406193078324,0.0,0.0,632,0.5933544303797469,0.5981012658227848,0.0,0.0,cr
monthly,m25,gt,b20,net,549,0.5282331511839709,0.5373406193078324,0.0,0.0,632,0.5933544303797469,0.5981012658227848,0.0,0.0,cr
monthly,m50,ge,b20,net,549,0.5282331511839709,0.5300546448087432,0.0,0.0,632,0.5949367088607594,0.5965189873417721,0.0,0.0,cr
monthly,m50,gt,b20,net,549,0.5282331511839709,0.5300546448087432,0.0,0.0,632,0.5949367088607594,0.5965189873417721,0.0,0.0,cr
le90,m50,none,bNone,net,549,0.5264116575591985,0.5446265938069217,0.0,0.0,632,0.6661392405063291,0.6772151898734177,0.0,0.0,cr
le90,m50,ge,bNone,net,549,0.5264116575591985,0.5482695810564663,0.0,0.0,632,0.7056962025316456,0.7167721518987342,0.0,0.0,cr
le90,m50,gt,bNone,net,549,0.5264116575591985,0.5482695810564663,0.0,0.0,632,0.7056962025316456,0.7167721518987342,0.0,0.0,cr
le90,m50,none,b20,net,549,0.5245901639344263,0.5428051001821493,0.0,0.0,632,0.6661392405063291,0.6772151898734177,0.0,0.0,cr
le90,m50,ge,b20,net,549,0.5245901639344263,0.546448087431694,0.0,0.0,632,0.7056962025316456,0.7167721518987342,0.0,0.0,cr
le90,m50,gt,b20,net,549,0.5245901639344263,0.546448087431694,0.0,0.0,632,0.7056962025316456,0.7167721518987342,0.0,0.0,cr
le90,m100,ge,b10,net,549,0.5245901639344263,0.5409836065573771,0.0,0.0,632,0.6930379746835443,0.6977848101265823,0.0,0.0,cr
le90,m100,gt,b10,net,549,0.5245901639344263,0.5409836065573771,0.0,0.0,632,0.6930379746835443,0.6977848101265823,0.0,0.0,cr
le60,m100,none,bNone,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6392405063291139,0.0,0.0,cr
le60,m100,none,b15,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6360759493670886,0.0,0.0,cr
le60,m100,none,b20,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6392405063291139,0.0,0.0,cr
le90,m50,none,b15,net,549,0.5227686703096539,0.5409836065573771,0.0,0.0,632,0.6645569620253164,0.6724683544303798,0.0,0.0,cr
le90,m50,ge,b15,net,549,0.5227686703096539,0.5446265938069217,0.0,0.0,632,0.7041139240506329,0.7120253164556962,0.0,0.0,cr
le90,m50,gt,b15,net,549,0.5227686703096539,0.5446265938069217,0.0,0.0,632,0.7041139240506329,0.7120253164556962,0.0,0.0,cr
d1_60,m100,none,bNone,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6392405063291139,0.0,0.0,cr
d1_60,m100,none,b15,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6360759493670886,0.0,0.0,cr
d1_60,m100,none,b20,net,549,0.5227686703096539,0.5373406193078324,0.0,0.0,632,0.6313291139240507,0.6392405063291139,0.0,0.0,cr
le90,any,none,bNone,net,549,0.5209471766848816,0.546448087431694,0.0,0.0,632,0.5727848101265823,0.6060126582278481,0.0,0.0,cr
le90,any,none,b20,net,549,0.5209471766848816,0.546448087431694,0.0,0.0,632,0.5727848101265823,0.6060126582278481,0.0,0.0,cr
le90,any,none,b15,net,549,0.5191256830601093,0.5446265938069217,0.0,0.0,632,0.569620253164557,0.6028481012658228,0.0,0.0,cr
le90,any,ge,bNone,net,549,0.5191256830601093,0.546448087431694,0.0,0.0,632,0.6060126582278481,0.6408227848101266,0.0,0.0,cr
le90,any,ge,b20,net,549,0.5191256830601093,0.546448087431694,0.0,0.0,632,0.6060126582278481,0.6408227848101266,0.0,0.0,cr
le90,any,gt,bNone,net,549,0.5191256830601093,0.546448087431694,0.0,0.0,632,0.6060126582278481,0.6424050632911392,0.0,0.0,cr
le90,any,gt,b20,net,549,0.5191256830601093,0.546448087431694,0.0,0.0,632,0.6060126582278481,0.6424050632911392,0.0,0.0,cr
le90,m25,ge,bNone,net,549,0.5191256830601093,0.5500910746812386,0.0,0.0,632,0.6787974683544303,0.7088607594936709,0.0,0.0,cr
le90,m25,gt,bNone,net,549,0.5191256830601093,0.5500910746812386,0.0,0.0,632,0.6787974683544303,0.7088607594936709,0.0,0.0,cr
le90,any,none,b10,net,549,0.517304189435337,0.5409836065573771,0.0,0.0,632,0.5664556962025317,0.5996835443037974,0.0,0.0,cr
le90,any,ge,b15,net,549,0.517304189435337,0.5446265938069217,0.0,0.0,632,0.6028481012658228,0.6376582278481012,0.0,0.0,cr
le90,any,gt,b15,net,549,0.517304189435337,0.5446265938069217,0.0,0.0,632,0.6028481012658228,0.6392405063291139,0.0,0.0,cr
le90,m25,ge,b20,net,549,0.517304189435337,0.5482695810564663,0.0,0.0,632,0.6787974683544303,0.7088607594936709,0.0,0.0,cr
le90,m25,gt,b20,net,549,0.517304189435337,0.5482695810564663,0.0,0.0,632,0.6787974683544303,0.7088607594936709,0.0,0.0,cr
le90,any,ge,b10,net,549,0.5154826958105647,0.5409836065573771,0.0,0.0,632,0.5996835443037974,0.634493670886076,0.0,0.0,cr
le90,any,gt,b10,net,549,0.5154826958105647,0.5409836065573771,0.0,0.0,632,0.5996835443037974,0.6360759493670886,0.0,0.0,cr
le90,m25,ge,b15,net,549,0.5154826958105647,0.546448087431694,0.0,0.0,632,0.6772151898734177,0.7041139240506329,0.0,0.0,cr
le90,m25,gt,b15,net,549,0.5154826958105647,0.546448087431694,0.0,0.0,632,0.6772151898734177,0.7041139240506329,0.0,0.0,cr
all,any,none,b05,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.5933544303797469,0.6265822784810127,0.0,0.0,cr
le60,m100,none,b10,net,549,0.5136612021857924,0.5282331511839709,0.0,0.0,632,0.6281645569620253,0.6329113924050633,0.0,0.0,cr
le60,m100,ge,bNone,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
le60,m100,ge,b15,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6424050632911392,0.0,0.0,cr
