spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d30|cumlo_highest,548,368,115.0,65.0,0.002717391304347826,0.008152173913043478,0.41847826086956524,632,471,95.0,75.0,0.0,0.0,0.46496815286624205
isqrt|cumhi_highest,548,295,120.0,-115.0,0.0,0.003389830508474576,0.6372881355932203,632,258,105.0,-90.0,0.007751937984496124,0.031007751937984496,0.6782945736434108
isqrt|cumhi_lowest,548,295,120.0,-120.0,0.0,0.003389830508474576,0.6203389830508474,632,258,100.0,-95.0,0.007751937984496124,0.031007751937984496,0.6395348837209303
isqrt|cumhi_maxswing,548,295,120.0,-115.0,0.0,0.003389830508474576,0.6305084745762712,632,258,100.0,-95.0,0.007751937984496124,0.031007751937984496,0.6434108527131783
d60|trough_net,548,548,120.0,-110.0,0.010948905109489052,0.016423357664233577,0.593065693430657,632,632,115.0,-110.0,0.02531645569620253,0.04746835443037975,0.7151898734177216
isqrt|cumhi_nearspot,548,295,120.0,-120.0,0.0,0.003389830508474576,0.6305084745762712,632,258,100.0,-95.0,0.007751937984496124,0.031007751937984496,0.6434108527131783
ex1|peak_net,548,548,125.0,115.0,0.0,0.03102189781021898,0.5237226277372263,632,632,155.0,155.0,0.0,0.0,0.3670886075949367
d7|cumhi_highest,548,312,125.0,-15.0,0.016025641025641024,0.041666666666666664,0.7019230769230769,632,278,60.0,-30.0,0.02158273381294964,0.05755395683453238,0.7086330935251799
d7|negnearzero_w5,548,548,130.0,-110.0,0.010948905109489052,0.03467153284671533,0.7025547445255474,632,632,245.0,-222.5,0.0031645569620253164,0.014240506329113924,0.6613924050632911
d90|trough_net,548,548,135.0,-135.0,0.005474452554744526,0.010948905109489052,0.5894160583941606,632,632,130.0,-125.0,0.02531645569620253,0.04588607594936709,0.7199367088607594
d45|cumlo_maxswing,548,372,140.0,65.0,0.0,0.005376344086021506,0.3548387096774194,632,469,105.0,85.0,0.0,0.0,0.3816631130063966
d45|cumlo_nearspot,548,372,140.0,67.5,0.0,0.005376344086021506,0.3521505376344086,632,469,105.0,85.0,0.0,0.0,0.3816631130063966
d45|cumlo_highest,548,372,142.5,67.5,0.0,0.005376344086021506,0.3521505376344086,632,469,105.0,85.0,0.0,0.0,0.3816631130063966
isqrt|cumlo_highest,548,411,160.0,45.0,0.0072992700729927005,0.009732360097323601,0.40389294403892945,632,427,85.0,70.0,0.00702576112412178,0.0117096018735363,0.5971896955503513
isqrt|cumlo_maxswing,548,411,160.0,45.0,0.0072992700729927005,0.009732360097323601,0.40632603406326034,632,427,85.0,70.0,0.00702576112412178,0.0117096018735363,0.5971896955503513
isqrt|cumlo_nearspot,548,411,160.0,45.0,0.0072992700729927005,0.009732360097323601,0.40389294403892945,632,427,85.0,70.0,0.00702576112412178,0.0117096018735363,0.5971896955503513
d60|cumlo_highest,548,375,160.0,75.0,0.0,0.0026666666666666666,0.304,632,464,115.0,90.0,0.0,0.0,0.3599137931034483
d60|cumlo_nearspot,548,375,160.0,75.0,0.0,0.0026666666666666666,0.30666666666666664,632,464,115.0,90.0,0.0,0.0,0.3599137931034483
d60|cumlo_maxswing,548,375,160.0,75.0,0.0,0.0026666666666666666,0.30666666666666664,632,464,115.0,90.0,0.0,0.0,0.3599137931034483
all|trough_net,548,548,170.0,-170.0,0.005474452554744526,0.009124087591240875,0.5857664233576643,632,632,165.0,-165.0,0.01740506329113924,0.03639240506329114,0.7167721518987342
