entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2023-12-07 15:00:00,2023-12-08 08:30:00,5231.25,5232.5,1.0,1,0.0,0.0
2023-12-13 12:00:00,2023-12-13 13:00:00,5288.75,5322.0,33.0,2,0.0,160.0
2023-12-14 12:00:00,2023-12-14 13:30:00,5353.75,5360.5,6.5,3,-6.75,27.5
2023-12-15 12:30:00,2023-12-15 14:00:00,5351.0,5358.75,7.5,3,-1.75,32.5
2023-12-18 14:30:00,2023-12-19 08:30:00,5384.0,5398.25,14.0,2,-3.5,65.0
2023-12-20 13:00:00,2023-12-21 08:30:00,5408.5,5373.0,-35.75,5,-70.75,-183.75
2023-12-22 13:00:00,2023-12-22 13:30:00,5380.0,5398.25,18.0,1,0.0,85.0
2024-01-11 09:30:00,2024-01-11 11:30:00,5381.75,5381.25,-0.75,4,-14.25,-8.75
2024-01-12 10:30:00,2024-01-12 11:30:00,5398.0,5402.75,4.5,2,0.0,17.5
2024-01-22 12:00:00,2024-01-22 12:30:00,5465.75,5475.5,9.5,1,0.0,42.5
2024-01-23 10:00:00,2024-01-23 11:30:00,5467.25,5475.5,8.0,3,0.0,35.0
2024-01-24 13:00:00,2024-01-25 08:30:00,5498.5,5507.75,9.0,5,-14.0,40.0
2024-01-25 12:00:00,2024-01-25 13:30:00,5497.0,5501.0,3.75,3,-3.0,13.75
2024-01-26 11:30:00,2024-01-26 13:30:00,5503.5,5513.5,9.75,4,-0.25,43.75
2024-01-31 08:30:00,2024-01-31 11:00:00,5508.25,5504.25,-4.25,5,-10.25,-26.25
2024-02-05 09:00:00,2024-02-05 10:30:00,5540.75,5548.0,7.0,3,-5.75,30.0
2024-02-06 10:30:00,2024-02-06 11:00:00,5549.5,5555.0,5.25,1,0.0,21.25
2024-02-08 10:00:00,2024-02-08 11:00:00,5597.5,5603.75,6.0,2,0.0,25.0
2024-02-12 13:30:00,2024-02-13 10:30:00,5628.25,5571.75,-56.75,8,-69.0,-288.75
2024-02-16 08:30:00,2024-02-16 10:00:00,5613.5,5635.75,22.0,3,0.0,105.0
2024-02-16 14:30:00,2024-02-19 08:30:00,5611.75,5618.75,6.75,2,-5.0,28.75
2024-02-23 14:30:00,2024-02-26 08:30:00,5691.0,5694.0,2.75,2,-2.25,8.75
2024-02-26 09:30:00,2024-02-26 11:00:00,5686.75,5689.75,2.75,3,-1.0,8.75
2024-02-26 12:00:00,2024-02-26 13:00:00,5677.75,5683.25,5.25,2,0.0,21.25
2024-02-26 14:30:00,2024-02-27 09:30:00,5671.25,5672.25,0.75,4,-1.25,-1.25
2024-02-27 10:00:00,2024-02-27 12:30:00,5667.5,5668.75,1.0,5,-6.25,0.0
2024-02-28 15:00:00,2024-02-29 08:30:00,5662.75,5693.25,30.25,1,0.0,146.25
2024-03-04 14:30:00,2024-03-05 11:00:00,5729.0,5689.75,-39.5,7,-47.0,-202.5
2024-03-08 10:30:00,2024-03-08 13:00:00,5741.75,5736.25,-5.75,5,-23.25,-33.75
2024-03-14 08:30:00,2024-03-14 10:30:00,5736.5,5747.0,10.25,4,0.0,46.25
2024-03-14 11:30:00,2024-03-14 12:30:00,5735.75,5742.25,6.25,2,-7.5,26.25
2024-03-20 12:00:00,2024-03-20 13:00:00,5763.5,5786.25,22.5,2,0.0,107.5
2024-03-21 12:30:00,2024-03-22 10:30:00,5836.25,5823.5,-13.0,10,-19.0,-70.0
2024-03-22 15:00:00,2024-03-25 10:00:00,5816.75,5811.75,-5.25,4,-8.25,-31.25
2024-03-25 14:30:00,2024-03-26 08:30:00,5804.0,5817.25,13.0,2,0.0,60.0
2024-03-28 14:30:00,2024-04-01 08:30:00,5832.25,5841.5,9.0,2,0.0,40.0
2024-04-01 09:00:00,2024-04-01 11:30:00,5830.0,5818.75,-11.5,5,-19.5,-62.5
2024-04-04 12:30:00,2024-04-05 08:30:00,5814.5,5753.25,-61.5,6,-90.0,-312.5
2024-04-24 09:30:00,2024-04-24 12:00:00,5630.25,5629.75,-0.75,5,-15.25,-8.75
2024-04-24 15:00:00,2024-04-25 10:30:00,5613.25,5577.0,-36.5,5,-56.75,-187.5
2024-04-26 14:30:00,2024-04-29 08:30:00,5656.5,5669.5,12.75,2,0.0,58.75
2024-04-30 10:00:00,2024-04-30 12:30:00,5641.0,5632.75,-8.5,5,-16.75,-47.5
2024-04-30 13:00:00,2024-05-01 11:00:00,5623.5,5581.25,-42.5,10,-50.25,-217.5
2024-05-07 12:30:00,2024-05-07 14:30:00,5738.0,5739.25,1.0,4,-1.75,0.0
2024-05-16 14:30:00,2024-05-17 09:00:00,5847.0,5851.25,4.0,3,-2.25,15.0
2024-05-20 12:30:00,2024-05-20 14:00:00,5861.75,5861.75,-0.25,3,-3.75,-6.25
2024-06-06 11:30:00,2024-06-06 12:00:00,5880.25,5887.25,6.75,1,0.0,28.75
2024-06-07 14:30:00,2024-06-10 09:30:00,5883.0,5879.75,-3.5,4,-9.5,-22.5
