date,r1h,tempo1h,nclimax1h,rest_range,adr,prev_close,op,last_t,gap_adr,r1h_adr,rest_adr,year
2025-10-02,23.25,45.599445599445595,1.0,30.0,50.40625,6926.0,6949.75,15:14:57.765781,0.47117172969621823,0.4612523248605084,0.5951642901425914,2025
2025-10-03,16.75,33.014553014553016,0.0,46.0,48.875,6937.75,6942.75,15:14:59.319929,0.10230179028132992,0.34271099744245526,0.9411764705882353,2025
2025-10-06,22.25,41.58004158004158,1.0,24.25,47.78125,6932.5,6959.25,15:14:58.060987,0.5598430346631785,0.4656638325703074,0.5075212557226946,2025
2025-10-07,18.0,24.587664587664587,0.0,41.5,45.375,6959.75,6968.0,15:14:59.713155,0.18181818181818182,0.39669421487603307,0.9146005509641874,2025
2025-10-08,27.25,34.89258489258489,0.0,19.0,45.84375,6937.0,6944.0,15:14:59.699145,0.152692569870484,0.5944103612815269,0.41445126107702795,2025
2025-10-09,31.0,41.702649394957085,2.0,27.25,44.90625,6974.0,6976.25,15:14:59.943103,0.05010438413361169,0.6903270702853166,0.6068197633959638,2025
2025-10-10,22.25,52.746592746592746,1.0,208.0,46.625,6949.5,6958.75,15:14:59.542639,0.19839142091152814,0.4772117962466488,4.461126005361931,2025
2025-10-13,35.25,79.14555862501068,4.0,49.75,67.4375,6775.75,6841.0,15:14:59.000066,0.9675625579240037,0.5227062094531975,0.7377201112140871,2025
2025-10-14,68.5,81.79573804573805,8.0,69.5,65.625,6863.0,6804.75,15:14:59.089609,0.8876190476190476,1.0438095238095237,1.059047619047619,2025
2025-10-15,42.5,62.43317493317493,3.0,111.75,76.9375,6851.0,6902.75,15:14:59.031120,0.6726238830219334,0.5523964256701869,1.4524776604386678,2025
2025-10-16,27.0,63.58161875403254,1.0,118.5,85.59375,6885.75,6902.25,15:14:59.987025,0.1927710843373494,0.3154435925520263,1.3844468784227821,2025
2025-10-17,56.0,80.22943456276789,7.0,77.5,96.5,6823.25,6825.25,15:14:59.062387,0.02072538860103627,0.5803108808290155,0.8031088082901554,2025
2025-10-20,31.5,36.907484407484404,1.0,24.5,99.375,6881.25,6904.25,15:14:59.740055,0.23144654088050315,0.3169811320754717,0.24654088050314465,2025
