date,side,grp,label,conf,eff_fall,retrace_adr,ext_adr
2021-09-21,-1,climax,continuation,False,False,0.132,0.444
2021-09-21,-1,climax,reversal,False,True,0.203,0.222
2021-09-21,1,climax,reversal,False,False,0.024,0.085
2021-09-21,-1,control,continuation,False,False,0.09,0.378
2021-09-21,-1,control,unresolved,False,False,0.038,0.047
2021-09-22,1,climax,continuation,True,True,0.069,0.477
2021-09-22,1,climax,continuation,True,True,0.11,0.399
2021-09-22,1,control,continuation,True,False,0.064,0.321
2021-09-22,1,climax,reversal,False,True,0.486,0.083
2021-09-22,-1,control,continuation,True,False,0.124,0.225
2021-09-22,1,climax,continuation,False,False,0.028,0.156
2021-09-22,-1,climax,continuation,True,False,0.174,0.225
2021-09-22,-1,climax,reversal,False,False,0.041,0.073
2021-09-22,1,climax,continuation,False,False,0.055,0.161
2021-09-22,-1,control,unresolved,True,False,0.046,0.005
2021-09-23,1,control,continuation,False,True,0.118,0.255
2021-09-23,1,control,continuation,False,False,0.019,0.217
2021-09-23,1,control,continuation,False,False,0.052,0.156
2021-09-23,1,control,reversal,False,False,0.028,0.009
2021-09-23,-1,control,continuation,False,False,0.042,0.132
2021-09-23,-1,control,unresolved,False,True,0.038,0.038
2021-09-24,-1,control,reversal,False,False,0.196,0.014
2021-09-24,1,control,continuation,False,False,0.084,0.247
2021-09-24,1,control,continuation,False,False,0.117,0.135
2021-09-27,1,control,reversal,False,True,0.063,0.083
2021-09-27,-1,climax,continuation,False,False,0.073,0.155
2021-09-27,-1,control,reversal,False,False,0.049,0.015
2021-09-27,1,control,unresolved,False,False,0.024,0.058
2021-09-27,-1,control,unresolved,False,True,0.024,0.083
2021-09-28,-1,climax,continuation,False,False,0.042,0.798
2021-09-28,-1,climax,reversal,False,False,0.371,0.407
2021-09-28,1,climax,reversal,False,False,0.089,0.016
2021-09-28,-1,climax,reversal,False,False,0.125,0.204
2021-09-28,1,climax,reversal,False,True,0.141,0.063
2021-09-28,-1,climax,continuation,False,False,0.016,0.287
2021-09-29,1,climax,continuation,False,True,0.087,0.131
2021-09-29,-1,climax,reversal,False,False,0.024,0.365
2021-09-29,-1,climax,continuation,False,False,0.039,0.238
2021-09-29,-1,control,continuation,False,False,0.087,0.156
2021-09-29,-1,climax,reversal,False,False,0.058,0.063
2021-09-29,1,control,reversal,False,False,0.083,0.029
2021-09-29,-1,control,continuation,False,False,0.019,0.355
2021-09-29,-1,control,reversal,False,True,0.258,0.0
2021-09-30,-1,control,continuation,False,True,0.0,1.276
2021-09-30,-1,control,continuation,True,False,0.142,1.149
2021-09-30,-1,climax,reversal,True,False,0.041,0.947
