date,level,side,grp,label,szpct,session_min
2021-10-27,PDL,-1,PLAIN,break,78.79417879417879,336.1090714145167
2021-10-27,PDL,1,PLAIN,reject,37.00623700623701,365.8514639556167
2021-10-28,PDH,1,PLAIN,reject,42.41164241164241,16.342969147283334
2021-10-28,PDH,1,PLAIN,break,75.88357588357589,66.47692312955
2021-10-28,PDH,-1,DRIVE,break,84.82328482328482,137.55952341508333
2021-10-28,PDH,1,PLAIN,break,13.513513513513514,201.4430516353833
2021-10-28,PDH,-1,PLAIN,reject,39.29313929313929,325.43946215908335
2021-10-29,PDH,1,PLAIN,break,92.3076923076923,117.09069002551668
2021-10-29,PDH,-1,PLAIN,break,48.648648648648646,241.61607935938335
2021-10-29,PDH,1,PLAIN,reject,53.222453222453225,337.20132960815005
2021-11-01,PDH,-1,DRIVE,break,58.83575883575884,19.71200173475
2021-11-01,PDH,1,PLAIN,reject,13.721413721413722,38.24555938625
2021-11-01,PDH,1,PLAIN,break,34.71933471933472,122.65885830551666
2021-11-01,PDH,-1,PLAIN,break,22.66112266112266,247.49763400048332
2021-11-01,PDH,1,PLAIN,break,43.65904365904366,326.8125615992167
2021-11-02,PDH,1,PLAIN,break,73.5966735966736,17.41852804405
2021-11-02,PDH,-1,PLAIN,reject,43.24324324324324,40.367221752683335
2021-11-03,PDH,1,DRIVE,break,1.0,270.37786731911666
2021-11-03,PDH,-1,PLAIN,break,5.197505197505198,279.82257339918334
2021-11-03,PDH,1,DRIVE,break,8.523908523908524,305.0437309185834
2021-11-04,PDH,-1,DRIVE,reject,57.7962577962578,113.74142733081666
2021-11-04,PDH,-1,PLAIN,reject,73.5966735966736,213.05389743885002
2021-11-05,PDH,-1,DRIVE,reject,83.57588357588358,237.07732674905
2021-11-09,PDL,-1,PLAIN,break,25.155925155925157,18.720651977116667
2021-11-09,PDL,1,PLAIN,reject,46.985446985446984,63.27096101468333
2021-11-10,PDL,1,PLAIN,break,38.04573804573805,12.41846907605
2021-11-10,PDL,-1,PLAIN,reject,22.245322245322246,20.233744935416667
2021-11-10,PDL,-1,PLAIN,break,51.143451143451145,171.79589277708334
2021-11-12,PDH,1,PLAIN,break,66.32016632016632,78.71840188021666
2021-11-15,PDH,-1,PLAIN,break,53.84615384615385,18.785223442183334
2021-11-15,PDH,1,PLAIN,reject,69.02286902286902,46.25753244818333
2021-11-15,PDH,1,PLAIN,unresolved,97.71309771309771,390.4280378722167
2021-11-16,PDH,1,PLAIN,break,47.60914760914761,16.215372534816666
2021-11-16,PDH,1,PLAIN,break,57.38045738045738,86.81865126608334
2021-11-16,PDH,-1,PLAIN,unresolved,96.04989604989605,388.10530933475
2021-11-18,PDH,1,PLAIN,reject,15.384615384615385,20.388432350683335
2021-11-18,PDL,-1,DRIVE,break,52.39085239085239,40.018607778483336
2021-11-18,PDL,1,PLAIN,break,3.1185031185031185,59.50633578445
2021-11-18,PDL,-1,PLAIN,reject,60.70686070686071,95.61654215785
2021-11-18,PDH,1,DRIVE,break,77.75467775467776,123.14591329765
2021-11-18,PDH,-1,DRIVE,break,22.245322245322246,199.62874445478334
2021-11-18,PDH,1,PLAIN,break,1.0,251.71244167888332
2021-11-18,PDH,-1,PLAIN,reject,79.83367983367984,321.7575676240833
2021-11-19,PDH,1,PLAIN,reject,3.1185031185031185,15.15070634175
2021-11-19,PDH,1,PLAIN,reject,8.523908523908524,71.55846517178334
2021-11-19,PDH,-1,PLAIN,reject,82.53638253638253,161.55450278145
2021-11-19,PDH,1,PLAIN,break,34.303534303534306,167.01685387598334
2021-11-19,PDH,1,PLAIN,reject,69.85446985446985,276.69818988865
2021-11-22,PDH,-1,DRIVE,break,87.52598752598753,139.03742342781666
2021-11-22,PDH,1,DRIVE,reject,35.75883575883576,164.8388844357167
2021-11-22,PDH,-1,PLAIN,break,70.27027027027027,239.77736211051666
2021-11-22,PDH,1,PLAIN,break,35.13513513513514,252.26472688811666
2021-11-22,PDH,-1,PLAIN,break,65.07276507276508,357.85573786238336
2021-11-22,PDL,-1,PLAIN,break,93.76299376299376,382.2715887943833
2021-11-23,PDL,-1,PLAIN,reject,5.197505197505198,9.811736431316666
2021-11-23,PDL,-1,DRIVE,break,17.463617463617464,37.69937445275
2021-11-23,PDL,1,PLAIN,reject,4.573804573804574,49.07599029875
2021-11-23,PDL,1,DRIVE,reject,47.4012474012474,115.29974834435001
2021-11-23,PDL,-1,DRIVE,break,11.642411642411643,136.21272893638334
2021-11-23,PDL,1,DRIVE,reject,13.92931392931393,175.72691323614998
2021-11-23,PDL,1,DRIVE,break,31.39293139293139,314.92579019958333
2021-11-23,PDL,-1,DRIVE,reject,4.365904365904366,349.27938469885
2021-11-24,PDH,1,PLAIN,reject,64.65696465696466,207.57158320201668
2021-11-24,PDH,1,PLAIN,break,43.24324324324324,312.8051521164167
2021-11-24,PDH,-1,PLAIN,unresolved,60.91476091476091,379.0052518540833
2021-11-24,PDH,1,PLAIN,break,97.29729729729729,388.0585587139833
2021-11-30,PDL,1,DRIVE,break,12.474012474012474,6.241253495983333
2021-11-30,PDL,-1,PLAIN,break,27.65072765072765,7.596625450216666
2021-11-30,PDL,1,PLAIN,break,14.76091476091476,29.500618430383334
2021-11-30,PDL,-1,DRIVE,reject,19.75051975051975,52.202894336583334
2021-11-30,PDL,-1,DRIVE,break,33.88773388773389,74.70723462155
2021-12-01,PDH,1,PLAIN,break,85.03118503118503,84.24821275925
2021-12-01,PDH,-1,PLAIN,break,90.64449064449065,126.09683028215
2021-12-01,PDH,1,PLAIN,reject,39.08523908523909,163.37491230688332
2021-12-01,PDL,-1,DRIVE,break,71.51767151767152,338.88955987161665
2021-12-01,PDL,1,DRIVE,reject,56.13305613305613,368.79898563755
2021-12-03,PDH,1,PLAIN,reject,21.205821205821206,7.431140411583333
2021-12-03,PDH,-1,PLAIN,break,17.87941787941788,8.542674912216667
2021-12-03,PDL,-1,DRIVE,reject,62.16216216216216,98.55371600965
2021-12-03,PDL,-1,DRIVE,reject,26.81912681912682,139.77217792458333
2021-12-03,PDL,-1,DRIVE,reject,64.65696465696466,182.81588546315
2021-12-03,PDL,-1,DRIVE,break,61.95426195426195,243.22147018718334
2021-12-03,PDL,-1,PLAIN,break,50.311850311850314,282.7441790220166
2021-12-03,PDL,1,DRIVE,break,59.25155925155925,299.18358279151664
2021-12-03,PDL,-1,DRIVE,break,20.997920997920996,313.7385966595833
2021-12-03,PDL,1,DRIVE,break,71.3097713097713,333.8889288154167
2021-12-03,PDL,-1,DRIVE,reject,71.72557172557173,368.22951661765
2021-12-06,PDH,1,PLAIN,unresolved,95.01039501039502,205.97905043688334
2021-12-06,PDH,-1,PLAIN,break,78.37837837837837,269.24503515908333
2021-12-06,PDH,1,PLAIN,unresolved,27.65072765072765,278.2157446351833
2021-12-06,PDH,1,PLAIN,unresolved,81.91268191268192,343.87516465921664
2021-12-08,PDH,1,PLAIN,break,53.014553014553016,11.143697923483334
2021-12-08,PDH,-1,PLAIN,break,4.573804573804574,33.11421780528333
2021-12-08,PDH,1,PLAIN,break,26.195426195426194,37.68971775911667
2021-12-08,PDH,1,PLAIN,break,67.77546777546777,135.13800729158334
2021-12-08,PDH,1,PLAIN,break,49.48024948024948,253.98471119001667
2021-12-08,PDH,1,PLAIN,break,85.23908523908524,366.12793808588333
2021-12-08,PDH,-1,PLAIN,unresolved,77.96257796257797,379.39202233411663
2021-12-09,PDL,-1,PLAIN,break,9.147609147609147,325.28886156075
2021-12-10,PDH,-1,PLAIN,break,25.571725571725572,11.384235037816667
2021-12-10,PDH,1,DRIVE,reject,18.71101871101871,30.548244563883333
2021-12-10,PDL,-1,PLAIN,reject,39.70893970893971,97.18390989065
2021-12-10,PDH,1,PLAIN,break,16.216216216216218,129.66555661568333
2021-12-10,PDH,1,PLAIN,break,40.33264033264033,218.07796233858335
2021-12-10,PDH,-1,PLAIN,unresolved,62.37006237006237,270.32394924331663
2021-12-10,PDH,1,PLAIN,break,45.945945945945944,369.04758347628336
2021-12-13,PDL,-1,PLAIN,reject,48.648648648648646,61.067122349150004
2021-12-13,PDL,-1,PLAIN,reject,43.03534303534303,100.94631778121668
2021-12-13,PDL,-1,PLAIN,reject,69.64656964656965,144.26755460358333
2021-12-13,PDL,-1,PLAIN,reject,42.61954261954262,230.32133596181666
2021-12-13,PDL,-1,DRIVE,unresolved,59.87525987525988,379.97216792288333
2021-12-14,PDL,1,PLAIN,reject,65.48856548856548,14.018008416250002
