rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
skip_event_if_credit_below_3,ic,day,22,29,6022,-4437,0.0528,0.918,0.19518070252812267,1.0,,-4437,-5183,0,0.0
skip_event_if_credit_below_3,fly,day,22,29,11036,-2708,0.0144,0.979,0.07417805679310926,1.0,,-2708,-4144,0,0.0
skip_event_if_credit_below_3,combined,day,22,29,20373,-9232,0.0012,0.9972,0.009247918300922706,1.0,,-9232,-11638,0,0.0
skip_event_if_credit_above_4,ic,day,46,15,548,3093,0.5722,0.1286,0.2655911677113968,1.0,0.637,1033,1124,2,0.065
skip_event_if_credit_above_4,fly,day,46,15,18047,3304,0.0154,0.4088,0.038200692892624497,1.0,0.48,3221,1718,2,0.065
skip_event_if_credit_above_4,combined,day,46,15,15920,5340,0.1638,0.2622,0.1781393528923375,1.0,0.503,3197,2653,2,0.065
skip_event_if_credit_below_4,ic,day,35,35,11974,-1924,0.0028,0.7102,0.01435808829923633,1.0,,-1924,-4619,0,0.0
skip_event_if_credit_below_4,fly,day,35,35,10374,2203,0.1708,0.815,0.4136845631992835,1.0,0.686,2203,692,0,0.0
skip_event_if_credit_below_4,combined,day,35,35,27288,-177,0.0008,0.8396,0.005578791733208286,1.0,,-177,-6381,0,0.0
skip_event_if_credit_above_5,ic,day,39,13,-537,1307,0.6614,0.282,0.4997187868495945,1.0,1.507,-753,-662,2,0.068
skip_event_if_credit_above_5,fly,day,39,13,16068,4051,0.0194,0.2674,0.03248186454325047,1.0,0.392,3968,2465,2,0.068
skip_event_if_credit_above_5,combined,day,39,13,13510,4398,0.1816,0.2804,0.20253618040517743,1.0,0.611,2255,1711,2,0.068
skip_event_if_credit_below_5,ic,day,42,37,13059,-138,0.004,0.5274,0.015107387604603005,1.0,,-138,-2833,0,0.0
skip_event_if_credit_below_5,fly,day,42,37,12353,1456,0.1472,0.8668,0.39029539173715333,1.0,1.038,1456,-55,0,0.0
skip_event_if_credit_below_5,combined,day,42,37,29698,765,0.0012,0.7948,0.007587254736292273,1.0,8.11,765,-5439,0,0.0
skip_event_if_credit_above_6,ic,day,32,10,2722,2255,0.295,0.1422,0.17498189240382606,1.0,0.873,195,286,2,0.073
skip_event_if_credit_above_6,fly,day,32,10,12540,2699,0.0394,0.3516,0.07313366939726426,1.0,0.588,2616,1113,2,0.073
skip_event_if_credit_above_6,combined,day,32,10,13587,4369,0.1108,0.2224,0.11589849564015249,1.0,0.615,2226,1682,2,0.073
skip_event_if_credit_below_6,ic,day,49,39,9800,36,0.0392,0.5162,0.09915856627936044,1.0,74.861,36,-2659,0,0.0
skip_event_if_credit_below_6,fly,day,49,39,15881,1622,0.0726,0.8624,0.23609234815497665,1.0,0.932,1622,111,0,0.0
skip_event_if_credit_below_6,combined,day,49,39,29621,842,0.0052,0.8076,0.02718259025611842,1.0,7.368,842,-5362,0,0.0
loss<-1000_stand1d,ic,day,66,34,-3689,1564,0.8776,0.3342,0.6530423860259474,1.0,2.078,-1322,-1686,2,0.153
loss<-1000_stand2d,ic,day,120,60,-5383,2085,0.9306,0.3546,0.6958484219201199,1.0,1.451,1491,-940,4,0.175
loss<-1000_until_vixdown,ic,day,59,28,-248,5920,0.6648,0.0564,0.16061070117574008,1.0,0.549,749,2670,4,0.088
loss<-1500_stand1d,ic,day,33,24,-929,-1508,0.704,0.675,0.8287580715956951,1.0,,-2428,-4533,1,0.074
loss<-1500_stand2d,ic,day,62,44,701,-180,0.6028,0.508,0.6686193528181803,1.0,,227,-3205,2,0.083
loss<-1500_until_vixdown,ic,day,30,22,2127,2467,0.3548,0.227,0.2834193589979053,1.0,1.226,1547,-558,1,0.018
loss<-2000_stand1d,ic,day,7,11,-769,1466,0.6914,0.2382,0.4617424348592968,1.0,2.063,546,-1559,1,0.047
loss<-2000_stand2d,ic,day,12,20,3280,1111,0.1016,0.3478,0.15346065833983413,1.0,2.723,1518,-1914,2,0.059
loss<-2000_until_vixdown,ic,day,6,8,1062,2034,0.2688,0.1426,0.16334702370588222,1.0,1.487,1114,-991,1,0.024
cluster_2x_loss<-500,ic,day,19,6,-4985,1888,0.9838,0.1308,0.3925310243177805,1.0,1.602,1332,-1137,2,0.081
loss<-1000_stand1d,fly,day,63,51,13913,10724,0.3528,0.3788,0.40260590866809304,1.0,0.218,7945,8388,2,0.076
loss<-1000_stand2d,fly,day,116,92,24417,22418,0.3644,0.186,0.25020475788593777,1.0,0.104,17128,20082,3,0.086
loss<-1000_until_vixdown,fly,day,50,48,10567,15538,0.4118,0.0818,0.14790163235010384,1.0,0.15,10473,13202,3,0.079
loss<-1500_stand1d,fly,day,16,14,3379,5396,0.4506,0.1566,0.2576456531602049,1.0,0.433,2617,3060,2,0.067
loss<-1500_stand2d,fly,day,30,24,9867,8929,0.1192,0.1038,0.06671799250510181,1.0,0.262,4307,6593,2,0.074
loss<-1500_until_vixdown,fly,day,10,10,1436,7547,0.5848,0.007,0.02660156573673789,1.0,0.31,2482,5211,3,0.1
loss<-2000_stand1d,fly,day,5,3,3421,4205,0.0582,0.0042,0.002277335203315056,0.8995474053094471,0.556,1426,1869,2,0.088
loss<-2000_stand2d,fly,day,10,4,6703,5791,0.013,0.001,0.0001592572956065356,0.06290663176458157,0.403,1169,3455,2,0.086
loss<-2000_until_vixdown,fly,day,3,4,2207,6491,0.0782,0.0006,0.0005145747617836782,0.20325703090455288,0.36,1426,4155,3,0.118
cluster_2x_loss<-500,fly,day,47,29,1888,9679,0.9452,0.133,0.386407901645481,1.0,0.236,7393,7393,1,0.068
loss<-1000_stand1d,combined,day,88,52,1738,22194,0.9714,0.059,0.22118277948989826,1.0,0.26,14055,16431,3,0.089
loss<-1000_stand2d,combined,day,152,90,17544,32710,0.8968,0.0474,0.17675195196538138,1.0,0.165,23069,27321,4,0.107
loss<-1000_until_vixdown,combined,day,90,49,8156,26691,0.8742,0.0144,0.0676627422379028,1.0,0.216,14761,20928,3,0.051
loss<-1500_stand1d,combined,day,55,27,-1894,13488,0.9718,0.0782,0.2718401635652761,1.0,0.384,6167,8310,3,0.151
loss<-1500_stand2d,combined,day,100,46,6997,27969,0.9248,0.0056,0.032436187528302414,1.0,0.206,18328,22206,4,0.159
loss<-1500_until_vixdown,combined,day,55,24,2516,26905,0.8942,0.0002,0.0017220537591400723,0.6802112348603285,0.214,14975,21142,3,0.074
