date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-06-09,openic_c,straddle,6004.63,29.2,6035.0,6060.0,0.95,settle,0.0,91.74,
2025-06-10,eodic_p,vix252,6005.88,64.9,5940.0,5915.0,0.3,settle,0.0,26.74,
2025-06-10,eodic_p,vix365,6005.88,53.9,5950.0,5925.0,0.5,settle,0.0,46.74,
2025-06-10,eodic_p,straddle,6005.88,27.1,5980.0,5955.0,2.0,settle,0.0,196.74,
2025-06-10,eodic_c,vix252,6005.88,64.9,6070.0,6095.0,0.25,settle,0.0,21.74,
2025-06-10,eodic_c,vix365,6005.88,53.9,6060.0,6085.0,0.7,settle,0.0,66.74,
2025-06-10,eodic_c,straddle,6005.88,27.1,6035.0,6060.0,3.95,stop,7.45,-356.52,
2025-06-10,openic_p,vix252,6009.91,64.9,5945.0,5920.0,0.2,settle,0.0,16.74,
2025-06-10,openic_p,vix365,6009.91,53.9,5955.0,5930.0,0.35,settle,0.0,31.74,
2025-06-10,openic_p,straddle,6009.91,27.1,5985.0,5960.0,1.7,settle,0.0,166.74,
2025-06-10,openic_c,vix252,6009.91,64.9,6075.0,6100.0,0.15,settle,0.0,11.74,
2025-06-10,openic_c,vix365,6009.91,53.9,6065.0,6090.0,0.3,settle,0.0,26.74,
2025-06-10,openic_c,straddle,6009.91,27.1,6035.0,6060.0,2.85,stop,7.45,-466.52,
2025-06-11,eodic_p,vix252,6038.81,64.5,5975.0,5950.0,0.55,settle,0.0,51.74,
2025-06-11,eodic_p,vix365,6038.81,53.6,5985.0,5960.0,0.8,settle,0.0,76.74,
2025-06-11,eodic_p,straddle,6038.81,27.8,6010.0,5985.0,2.25,settle,0.0,221.74,
2025-06-11,eodic_c,vix252,6038.81,64.5,6105.0,6130.0,0.35,settle,0.0,31.74,
2025-06-11,eodic_c,vix365,6038.81,53.6,6090.0,6115.0,1.1,settle,0.0,106.74,
2025-06-11,eodic_c,straddle,6038.81,27.8,6065.0,6090.0,4.55,settle,0.0,451.74,
2025-06-11,openic_p,vix252,6049.38,64.5,5985.0,5960.0,0.5,settle,0.0,46.74,
2025-06-11,openic_p,vix365,6049.38,53.6,5995.0,5970.0,0.85,settle,0.0,81.74,
2025-06-11,openic_p,straddle,6049.38,27.8,6020.0,5995.0,2.8,stop,10.4,-766.52,
2025-06-11,openic_c,vix252,6049.38,64.5,6115.0,6140.0,0.1,settle,0.0,6.74,
2025-06-11,openic_c,vix365,6049.38,53.6,6105.0,6130.0,0.15,settle,0.0,11.74,
2025-06-11,openic_c,straddle,6049.38,27.8,6075.0,6100.0,1.7,settle,0.0,166.74,
2025-06-12,eodic_p,vix252,6022.24,65.5,5955.0,5930.0,1.2,settle,0.0,116.74,
2025-06-12,eodic_p,vix365,6022.24,54.4,5970.0,5945.0,2.05,settle,0.0,201.74,
2025-06-12,eodic_p,straddle,6022.24,29.6,5995.0,5970.0,4.5,settle,0.0,446.74,
2025-06-12,eodic_c,vix252,6022.24,65.5,6090.0,6115.0,0.05,settle,0.0,1.74,
2025-06-12,eodic_c,vix365,6022.24,54.4,6075.0,6100.0,0.2,settle,0.0,16.74,
2025-06-12,eodic_c,straddle,6022.24,29.6,6050.0,6075.0,1.65,settle,0.0,161.74,
2025-06-12,openic_p,vix252,6009.9,65.5,5945.0,5920.0,0.4,settle,0.0,36.74,
2025-06-12,openic_p,vix365,6009.9,54.4,5955.0,5930.0,0.6,settle,0.0,56.74,
2025-06-12,openic_p,straddle,6009.9,29.6,5980.0,5955.0,1.75,settle,0.0,171.74,
2025-06-12,openic_c,vix252,6009.9,65.5,6075.0,6100.0,0.15,settle,0.0,11.74,
2025-06-12,openic_c,vix365,6009.9,54.4,6065.0,6090.0,0.35,settle,0.0,31.74,
2025-06-12,openic_c,straddle,6009.9,29.6,6040.0,6065.0,2.8,stop,8.9,-616.52,
2025-06-13,eodic_p,vix252,6045.26,68.6,5975.0,5950.0,4.5,stop,9.3,-486.52,
2025-06-13,eodic_p,vix365,6045.26,57.0,5990.0,5965.0,6.4,stop,11.1,-476.52,
2025-06-13,eodic_p,straddle,6045.26,36.5,6010.0,5985.0,10.0,stop,9.8,13.48,
2025-06-13,eodic_c,vix252,6045.26,68.6,6115.0,6140.0,0.0,settle,0.0,-3.26,
2025-06-13,eodic_c,vix365,6045.26,57.0,6100.0,6125.0,0.05,settle,0.0,1.74,
2025-06-13,eodic_c,straddle,6045.26,36.5,6080.0,6105.0,0.2,settle,0.0,16.74,
2025-06-13,openic_p,vix252,6000.56,68.6,5930.0,5905.0,1.25,settle,0.0,121.74,
2025-06-13,openic_p,vix365,6000.56,57.0,5945.0,5920.0,2.1,settle,0.0,206.74,
2025-06-13,openic_p,straddle,6000.56,36.5,5965.0,5940.0,3.9,settle,0.0,386.74,
2025-06-13,openic_c,vix252,6000.56,68.6,6070.0,6095.0,0.25,settle,0.0,21.74,
2025-06-13,openic_c,vix365,6000.56,57.0,6060.0,6085.0,0.35,settle,0.0,31.74,
2025-06-13,openic_c,straddle,6000.56,36.5,6035.0,6060.0,1.55,settle,0.0,151.74,
2025-06-16,eodic_p,vix252,5976.97,78.4,5900.0,5875.0,0.15,settle,0.0,11.74,
2025-06-16,eodic_p,vix365,5976.97,65.1,5910.0,5885.0,0.15,settle,0.0,11.74,
2025-06-16,eodic_p,straddle,5976.97,29.9,5945.0,5920.0,0.6,settle,0.0,56.74,
2025-06-16,eodic_c,vix252,5976.97,78.4,6055.0,6080.0,0.95,settle,0.0,91.74,
2025-06-16,eodic_c,vix365,5976.97,65.1,6040.0,6065.0,2.95,stop,12.3,-941.52,
