strat,short_k,long_k,entry_et,credit,exit_kind,exit_val,pnl,note,date,policy,wait_day
openfly_c,7680.0,7705.0,09:33:00,-5.5,SKIP,,,gate: broken (credit -5.50 <= 0),2026-08-25,nowait,True
eodic_p,7600.0,7575.0,09:31:00,0.3,settle,0.0,26.74,,2026-08-26,eod,
eodic_c,7755.0,7780.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-26,eod,
eodfly_p,7675.0,7650.0,09:31:00,10.2,stop,7.2,293.48,,2026-08-26,eod,
eodfly_c,7675.0,7700.0,09:31:00,5.25,stop,12.1,-691.52,,2026-08-26,eod,
openic_p,7610.0,7585.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-26,deskwait,True
openic_c,7760.0,7785.0,10:08:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-26,deskwait,True
openfly_p,7685.0,7660.0,10:08:00,6.8,stop,8.9,-216.52,,2026-08-26,deskwait,True
openfly_c,7685.0,7710.0,10:08:00,7.15,stop,5.1,198.48,,2026-08-26,deskwait,True
openic_p,7595.0,7570.0,09:33:00,0.15,settle,0.0,11.74,,2026-08-26,nowait,True
openic_c,7745.0,7770.0,09:33:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-26,nowait,True
openfly_p,7670.0,7645.0,09:33:00,7.1,stop,7.2,-16.52,,2026-08-26,nowait,True
openfly_c,7670.0,7695.0,09:33:00,8.2,stop,12.1,-396.52,,2026-08-26,nowait,True
eodic_p,7605.0,7580.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-27,eod,
eodic_c,7750.0,7775.0,09:31:00,1.05,settle,0.0,101.74,,2026-08-27,eod,
eodfly_p,7675.0,7650.0,09:31:00,3.25,settle,0.0,321.74,,2026-08-27,eod,
eodfly_c,7675.0,7700.0,09:31:00,16.8,stop,16.8,-6.52,,2026-08-27,eod,
openic_p,7630.0,7605.0,10:08:00,0.35,settle,0.0,31.74,,2026-08-27,deskwait,True
openic_c,7775.0,7800.0,10:08:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-27,deskwait,True
openfly_p,7705.0,7680.0,10:08:00,8.2,settle,0.0,816.74,,2026-08-27,deskwait,True
openfly_c,7705.0,7730.0,10:08:00,9.0,stop,11.7,-276.52,,2026-08-27,deskwait,True
openic_p,7625.0,7600.0,09:33:00,0.55,settle,0.0,51.74,,2026-08-27,nowait,True
openic_c,7765.0,7790.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-27,nowait,True
openfly_p,7695.0,7670.0,09:33:00,8.8,settle,0.0,876.74,,2026-08-27,nowait,True
openfly_c,7695.0,7720.0,09:33:00,9.7,stop,10.8,-116.52,,2026-08-27,nowait,True
eodic_p,7660.0,7635.0,09:31:00,1.0,settle,0.0,96.74,,2026-08-28,eod,
eodic_c,7800.0,7825.0,09:31:00,0.7,settle,0.0,66.74,,2026-08-28,eod,
eodfly_p,7730.0,7705.0,09:31:00,7.5,stop,11.4,-396.52,,2026-08-28,eod,
eodfly_c,7730.0,7755.0,09:31:00,12.1,stop,14.3,-226.52,,2026-08-28,eod,
openic_p,7655.0,7630.0,10:08:00,0.85,settle,0.0,81.74,,2026-08-28,deskwait,True
openic_c,7800.0,7825.0,10:08:00,0.15,settle,0.0,11.74,,2026-08-28,deskwait,True
openfly_p,7725.0,7700.0,10:08:00,7.8,stop,10.9,-316.52,,2026-08-28,deskwait,True
openfly_c,7725.0,7750.0,10:08:00,10.9,stop,15.8,-496.52,,2026-08-28,deskwait,True
openic_p,7665.0,7640.0,09:33:00,1.05,settle,0.0,101.74,,2026-08-28,nowait,True
openic_c,7805.0,7830.0,09:33:00,0.35,settle,0.0,31.74,,2026-08-28,nowait,True
openfly_p,7735.0,7710.0,09:33:00,8.2,stop,11.5,-336.52,,2026-08-28,nowait,True
openfly_c,7735.0,7760.0,09:33:00,10.8,stop,13.3,-256.52,,2026-08-28,nowait,True
eodic_p,7640.0,7615.0,09:31:00,0.95,settle,0.0,91.74,,2026-08-31,eod,
eodic_c,7785.0,7810.0,09:31:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-31,eod,
eodfly_p,7710.0,7685.0,09:31:00,13.4,stop,18.0,-466.52,,2026-08-31,eod,
eodfly_c,7710.0,7735.0,09:31:00,3.75,settle,0.0,371.74,,2026-08-31,eod,
openic_p,7610.0,7585.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-31,deskwait,False
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-31,deskwait,False
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.0,-136.52,,2026-08-31,deskwait,False
openfly_c,7685.0,7710.0,09:33:00,8.8,stop,1.35,738.48,,2026-08-31,deskwait,False
openic_p,7610.0,7585.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-31,nowait,False
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-31,nowait,False
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.0,-136.52,,2026-08-31,nowait,False
openfly_c,7685.0,7710.0,09:33:00,8.8,stop,1.35,738.48,,2026-08-31,nowait,False
