date,strat,center,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-11-21,eodfly_p,6538.76,6540.0,6515.0,6.3,settle,0.0,626.74,
2025-11-21,eodfly_c,6538.76,6540.0,6565.0,15.4,stop,15.5,-16.52,
2025-11-21,openfly_p,6555.77,6555.0,6530.0,10.1,stop,14.0,-396.52,
2025-11-21,openfly_c,6555.77,6555.0,6580.0,11.2,stop,14.0,-286.52,
2025-11-24,eodfly_p,6602.99,6605.0,6580.0,4.1,settle,0.0,406.74,
2025-11-24,eodfly_c,6602.99,6605.0,6630.0,17.6,stop,19.3,-176.52,
2025-11-24,openfly_p,6636.54,6635.0,6610.0,4.0,settle,0.0,396.74,
2025-11-24,openfly_c,6636.54,6635.0,6660.0,17.3,stop,18.4,-116.52,
2025-11-25,eodfly_p,6705.12,6705.0,6680.0,9.4,stop,15.9,-656.52,
2025-11-25,eodfly_c,6705.12,6705.0,6730.0,9.4,stop,16.4,-706.52,
2025-11-25,openfly_p,6697.03,6695.0,6670.0,11.4,settle,0.0,1136.74,
2025-11-25,openfly_c,6697.03,6695.0,6720.0,7.7,stop,14.5,-686.52,
2025-11-26,eodfly_p,6765.88,6765.0,6740.0,2.35,settle,0.0,231.74,
2025-11-26,eodfly_c,6765.88,6765.0,6790.0,18.5,stop,20.0,-156.52,
2025-11-26,openfly_p,6793.55,6795.0,6770.0,8.3,settle,0.0,826.74,
2025-11-26,openfly_c,6793.55,6795.0,6820.0,9.0,stop,12.8,-386.52,
2025-11-28,eodfly_p,6812.61,6815.0,6790.0,0.0,settle,0.0,-3.26,
2025-11-28,eodfly_c,6812.61,6815.0,6840.0,16.6,stop,14.2,233.48,
2025-11-28,openfly_p,6822.52,6825.0,6800.0,7.1,settle,0.0,706.74,
2025-11-28,openfly_c,6822.52,6825.0,6850.0,9.1,stop,10.8,-176.52,
2025-12-01,eodfly_p,6849.09,6850.0,6825.0,18.6,stop,19.1,-56.52,
2025-12-01,eodfly_c,6849.09,6850.0,6875.0,2.15,settle,0.0,211.74,
2025-12-01,openfly_p,6812.3,6810.0,6785.0,4.7,settle,0.0,466.74,
2025-12-01,openfly_c,6812.3,6810.0,6835.0,14.1,stop,13.8,23.48,
2025-12-02,eodfly_p,6812.63,6815.0,6790.0,4.7,stop,8.4,-376.52,
2025-12-02,eodfly_c,6812.63,6815.0,6840.0,14.5,stop,17.3,-286.52,
2025-12-02,openfly_p,6830.96,6830.0,6805.0,4.25,stop,12.3,-811.52,
2025-12-02,openfly_c,6830.96,6830.0,6855.0,14.2,stop,14.5,-36.52,
2025-12-03,eodfly_p,6829.37,6830.0,6805.0,10.5,stop,9.7,73.48,
2025-12-03,eodfly_c,6829.37,6830.0,6855.0,8.0,stop,13.1,-516.52,
2025-12-03,openfly_p,6815.29,6815.0,6790.0,4.0,settle,0.0,396.74,
2025-12-03,openfly_c,6815.29,6815.0,6840.0,15.8,stop,13.5,223.48,
2025-12-04,eodfly_p,6849.72,6850.0,6825.0,4.6,stop,9.1,-456.52,
2025-12-04,eodfly_c,6849.72,6850.0,6875.0,14.1,stop,14.1,-6.52,
2025-12-04,openfly_p,6866.47,6865.0,6840.0,13.1,stop,13.9,-86.52,
2025-12-04,openfly_c,6866.47,6865.0,6890.0,4.8,settle,0.0,476.74,
2025-12-05,eodfly_p,6857.12,6855.0,6830.0,4.3,settle,0.0,426.74,
2025-12-05,eodfly_c,6857.12,6855.0,6880.0,15.8,stop,15.6,13.48,
2025-12-05,openfly_p,6866.32,6865.0,6840.0,2.85,stop,7.7,-491.52,
2025-12-05,openfly_c,6866.32,6865.0,6890.0,17.5,stop,19.8,-236.52,
2025-12-08,eodfly_p,6870.4,6870.0,6845.0,5.8,stop,9.1,-336.52,
2025-12-08,eodfly_c,6870.4,6870.0,6895.0,11.3,settle,0.0,1126.74,
2025-12-08,openfly_p,6875.2,6875.0,6850.0,9.3,stop,12.4,-316.52,
2025-12-08,openfly_c,6875.2,6875.0,6900.0,6.05,settle,0.0,601.74,
2025-12-09,eodfly_p,6846.51,6845.0,6820.0,7.7,settle,4.489999999999782,317.74,
2025-12-09,eodfly_c,6846.51,6845.0,6870.0,9.8,stop,11.0,-126.52,
2025-12-09,openfly_p,6840.61,6840.0,6815.0,3.0,settle,0.0,296.74,
2025-12-09,openfly_c,6840.61,6840.0,6865.0,15.6,stop,14.3,123.48,
2025-12-10,eodfly_p,6840.51,6840.0,6815.0,9.9,stop,10.2,-36.52,
2025-12-10,eodfly_c,6840.51,6840.0,6865.0,10.6,stop,12.3,-176.52,
2025-12-10,openfly_p,6833.49,6835.0,6810.0,8.2,settle,0.0,816.74,
2025-12-10,openfly_c,6833.49,6835.0,6860.0,12.0,stop,12.6,-66.52,
2025-12-11,eodfly_p,6886.68,6885.0,6860.0,15.0,stop,13.9,103.48,
2025-12-11,eodfly_c,6886.68,6885.0,6910.0,3.9,stop,9.55,-571.52,
2025-12-11,openfly_p,6861.3,6860.0,6835.0,12.6,settle,0.0,1256.74,
2025-12-11,openfly_c,6861.3,6860.0,6885.0,5.45,stop,15.5,-1011.52,
