date,strat,k_live,cr_live,pnl_live,exit_live,k_bt,cr_bt,exit_bt,pnl_bt,d_cr,d_pnl
2026-08-25,eodfly_p,7655.0,1.95,192.4,exp,7655.0,-17.4,SKIP,,19.35,
2026-08-25,eodic_c,7730.0,0.25,22.4,exp,7730.0,-8.2,SKIP,,8.45,
2026-08-25,eodic_p,,,,,7575.0,-8.4,SKIP,,,
2026-08-25,openfly_c,7670.0,8.3,58.70000000000006,stop,7670.0,7.85,stop,58.48,0.45,0.2
2026-08-25,openfly_p,7670.0,6.05,-206.29999999999998,stop,7670.0,6.8,stop,-226.52,-0.75,20.2
2026-08-25,openic_c,7750.0,0.0,-2.6,exp,7745.0,-0.05,SKIP,,0.05,
2026-08-25,openic_p,,,,,7595.0,0.1,settle,6.74,,
2026-08-26,eodfly_c,7675.0,6.45,-616.3,stop,7675.0,5.25,stop,-691.52,1.2,75.2
2026-08-26,eodfly_p,7675.0,8.4,-81.29999999999988,stop,7675.0,10.2,stop,293.48,-1.8,-374.8
2026-08-26,eodic_c,,,,,7755.0,0.0,SKIP,,,
2026-08-26,eodic_p,7600.0,0.35,32.4,exp,7600.0,0.3,settle,26.74,0.05,5.7
2026-08-26,openfly_c,7685.0,7.6,238.69999999999993,stop,7685.0,7.15,stop,198.48,0.45,40.2
2026-08-26,openfly_p,7685.0,6.5,-261.29999999999995,stop,7685.0,6.8,stop,-216.52,-0.3,-44.8
2026-08-26,openic_c,,,,,7760.0,0.0,SKIP,,,
2026-08-26,openic_p,,,,,7610.0,0.1,settle,6.74,,
2026-08-27,eodfly_c,7675.0,14.600000000000001,-281.2999999999997,stop,7675.0,16.8,stop,-6.52,-2.2,-274.8
2026-08-27,eodfly_p,7675.0,3.15,312.4,exp,7675.0,3.25,settle,321.74,-0.1,-9.3
2026-08-27,eodic_c,7750.0,0.95,92.4,exp,7750.0,1.05,settle,101.74,-0.1,-9.3
2026-08-27,eodic_p,,,,,7605.0,0.1,settle,6.74,,
2026-08-27,openfly_c,7705.0,9.700000000000001,-191.29999999999987,stop,7705.0,9.0,stop,-276.52,0.7,85.2
2026-08-27,openfly_p,7705.0,7.1,707.4,exp,7705.0,8.2,settle,816.74,-1.1,-109.3
2026-08-27,openic_c,,,,,7775.0,0.05,SKIP,,,
2026-08-27,openic_p,7635.0,0.3,27.4,exp,7630.0,0.35,settle,31.74,-0.05,-4.3
2026-08-28,eodfly_c,7730.0,11.9,-231.2999999999999,stop,7730.0,12.1,stop,-226.52,-0.2,-4.8
2026-08-28,eodfly_p,7730.0,7.6,-481.30000000000007,stop,7730.0,7.5,stop,-396.52,0.1,-84.8
2026-08-28,eodic_c,7800.0,0.55,52.400000000000006,exp,7800.0,0.7,settle,66.74,-0.15,-14.3
2026-08-28,eodic_p,7660.0,0.95,92.4,exp,7660.0,1.0,settle,96.74,-0.05,-4.3
2026-08-28,openfly_c,7735.0,8.600000000000001,-551.2999999999997,stop,7725.0,10.9,stop,-496.52,-2.3,-54.8
2026-08-28,openfly_p,7735.0,10.6,218.69999999999993,stop,7725.0,7.8,stop,-316.52,2.8,535.2
2026-08-28,openic_c,7805.0,0.2,17.4,exp,7800.0,0.15,settle,11.74,0.05,5.7
2026-08-28,openic_p,7665.0,1.0,97.4,exp,7655.0,0.85,settle,81.74,0.15,15.7
2026-08-31,eodfly_c,7710.0,2.7,267.4,exp,7710.0,3.75,settle,371.74,-1.05,-104.3
2026-08-31,eodfly_p,7710.0,13.7,-501.3,stop,7710.0,13.4,stop,-466.52,0.3,-34.8
2026-08-31,eodic_c,,,,,7785.0,0.05,SKIP,,,
2026-08-31,eodic_p,7640.0,0.9999999999999999,97.39999999999999,exp,7640.0,0.95,settle,91.74,0.05,5.7
2026-08-31,openfly_c,7690.0,5.7,567.4,exp,7685.0,8.8,stop,738.48,-3.1,-171.1
2026-08-31,openfly_p,7690.0,10.4,-81.29999999999988,stop,7685.0,7.7,stop,-136.52,2.7,55.2
2026-08-31,openic_c,7765.0,0.1,7.4,exp,7760.0,0.1,settle,6.74,0.0,0.7
2026-08-31,openic_p,7615.0,0.45,42.4,exp,7610.0,0.3,settle,26.74,0.15,15.7
