day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej
2026-07-14,2026-07-14 09:30:00,7578.25,7591.0,7603.75,7575.0,1918,28000,7590.25,0.0,0.0,7852,HIGH,0,0,1,1,1,1.0
2026-07-14,2026-07-14 09:35:00,7591.0,7589.75,7591.75,7585.75,412,14000,7589.75,0.017857142857142856,0.0,8264,control,0,1,1,0,0,
2026-07-14,2026-07-14 09:40:00,7589.75,7584.0,7593.75,7580.0,-396,14000,7583.25,0.0,0.0,7868,control,1,0,1,0,0,
2026-07-14,2026-07-14 09:45:00,7584.0,7578.0,7585.0,7578.0,-64,10000,7580.0,0.14285714285714285,0.0,7804,control,0,0,1,0,0,
2026-07-14,2026-07-14 09:50:00,7578.0,7586.75,7587.25,7575.25,256,10000,7583.0,0.0,0.0,8060,control,1,0,1,0,0,
2026-07-14,2026-07-14 09:55:00,7586.5,7587.5,7590.75,7585.75,-284,10000,7588.0,0.0,0.0,7776,control,1,1,1,0,0,
2026-07-14,2026-07-14 10:00:00,7587.5,7593.0,7600.75,7583.25,1884,20000,7596.0,0.0,0.18421052631578946,9660,control,1,0,0,0,1,
2026-07-14,2026-07-14 10:05:00,7593.0,7598.75,7601.5,7592.0,848,16000,7596.5,0.125,0.0,10508,HIGH,0,0,1,0,0,1.0
2026-07-14,2026-07-14 10:10:00,7598.75,7595.25,7601.0,7594.25,-166,12000,7596.0,0.0,0.0,10342,control,1,0,1,0,0,
2026-07-14,2026-07-14 10:15:00,7595.25,7589.5,7596.0,7587.0,-375,9999,7588.5,0.4117647058823529,0.2608695652173913,9967,control,0,0,1,0,0,
2026-07-14,2026-07-14 10:20:00,7589.5,7594.5,7596.5,7589.25,237,10001,7592.5,0.0,0.1388888888888889,10204,control,1,0,1,0,0,
2026-07-14,2026-07-14 10:25:00,7594.5,7598.75,7599.0,7594.0,22,6000,7597.25,0.16,0.2857142857142857,10226,control,0,0,1,0,0,
2026-07-14,2026-07-14 10:30:00,7598.75,7586.75,7600.5,7585.5,-1323,13999,7591.25,0.0,0.0,8903,control,1,0,0,0,0,
2026-07-14,2026-07-14 10:35:00,7586.75,7586.0,7590.75,7585.5,-249,9999,7588.5,0.0,0.0,8654,control,0,0,1,0,0,
2026-07-14,2026-07-14 10:40:00,7586.0,7586.75,7587.75,7577.75,-216,14002,7581.0,0.06382978723404255,0.0,8438,control,0,1,1,0,1,
2026-07-14,2026-07-14 10:45:00,7586.75,7584.0,7590.0,7583.75,8,8000,7586.25,0.0,0.3076923076923077,8446,control,1,1,1,0,0,
2026-07-14,2026-07-14 10:50:00,7584.0,7580.75,7584.75,7578.75,-398,8000,7581.0,0.0,0.3142857142857143,8048,control,1,0,1,0,0,
2026-07-14,2026-07-14 10:55:00,7580.75,7577.5,7582.0,7576.25,-292,8000,7578.75,0.32653061224489793,0.0,7756,control,0,0,1,0,0,
2026-07-14,2026-07-14 11:00:00,7577.5,7573.25,7577.75,7570.0,-612,10000,7572.25,0.37888198757763975,0.0,7144,LOW,0,0,1,1,0,1.0
2026-07-14,2026-07-14 11:05:00,7573.25,7574.5,7577.0,7570.0,-566,10000,7573.75,0.0,0.0,6578,control,0,1,1,0,1,
2026-07-14,2026-07-14 11:10:00,7574.5,7573.0,7576.75,7570.0,590,8000,7575.5,0.0,0.0,7168,control,1,1,1,1,0,
2026-07-14,2026-07-14 11:15:00,7573.0,7574.75,7574.75,7570.0,14,6000,7572.5,0.0,0.0,7182,control,0,0,1,1,0,
2026-07-14,2026-07-14 11:20:00,7574.75,7574.0,7575.75,7570.0,226,6000,7572.25,0.2833333333333333,0.26744186046511625,7408,control,0,1,1,1,0,
2026-07-14,2026-07-14 11:25:00,7574.0,7577.25,7579.25,7572.5,1642,8000,7574.25,0.1791044776119403,0.25,9050,control,0,0,0,0,0,
2026-07-14,2026-07-14 11:30:00,7577.25,7582.0,7583.0,7576.5,234,6000,7579.25,0.0,0.3170731707317073,9284,control,0,0,1,0,0,
2026-07-14,2026-07-14 11:35:00,7582.0,7581.75,7583.75,7579.75,-138,6000,7582.0,0.0,0.0,9146,control,1,0,1,0,0,
2026-07-14,2026-07-14 11:40:00,7582.0,7583.25,7588.25,7581.5,437,7999,7587.0,0.0,0.1111111111111111,9583,control,1,0,1,0,0,
2026-07-14,2026-07-14 11:45:00,7583.25,7585.25,7585.25,7580.0,-367,6001,7582.0,0.13333333333333333,0.01098901098901099,9216,control,1,1,1,0,0,
2026-07-14,2026-07-14 11:50:00,7585.5,7586.75,7587.25,7584.25,152,4000,7586.25,0.0,0.0,9368,control,1,0,1,0,0,
2026-07-14,2026-07-14 11:55:00,7586.75,7589.25,7589.5,7584.25,196,4000,7588.25,0.0,0.0,9564,control,0,0,1,0,0,
2026-07-14,2026-07-14 12:00:00,7589.25,7587.5,7591.0,7586.75,-142,6000,7590.25,0.024390243902439025,0.0,9422,control,1,0,1,0,0,
2026-07-14,2026-07-14 12:05:00,7587.5,7592.5,7592.75,7586.0,120,6000,7592.0,0.0,0.21875,9542,control,1,0,1,0,0,
2026-07-14,2026-07-14 12:10:00,7592.5,7589.0,7592.75,7588.25,-465,3999,7592.0,0.0,0.0,9077,control,1,0,0,0,0,
2026-07-14,2026-07-14 12:15:00,7589.0,7592.75,7592.75,7585.25,524,8000,7588.5,0.2542372881355932,0.3125,9601,control,1,0,1,0,1,
2026-07-14,2026-07-14 12:20:00,7592.75,7595.25,7596.75,7592.5,465,5975,7595.25,0.0,0.2,10066,HIGH,0,0,1,0,0,1.0
2026-07-14,2026-07-14 12:25:00,7595.25,7594.5,7596.25,7592.75,-352,6026,7594.75,0.32558139534883723,0.0,9714,control,1,0,1,0,0,
2026-07-14,2026-07-14 12:30:00,7594.5,7589.25,7595.75,7588.75,-759,5995,7592.0,0.0,0.36683417085427134,8955,control,0,0,0,0,0,
2026-07-14,2026-07-14 12:35:00,7589.25,7592.0,7592.0,7588.75,-168,4002,7590.75,0.0,0.27419354838709675,8787,control,0,1,1,0,0,
2026-07-14,2026-07-14 12:40:00,7592.0,7588.25,7592.0,7588.25,-477,4003,7590.5,0.33695652173913043,0.0,8310,control,0,0,0,0,0,
2026-07-14,2026-07-14 12:45:00,7588.5,7591.75,7592.75,7587.75,456,4000,7592.0,0.0,0.0,8766,LOW,1,0,0,1,0,1.0
2026-07-14,2026-07-14 12:50:00,7591.75,7592.5,7593.5,7591.5,-64,4000,7592.5,0.3026315789473684,0.0,8702,control,1,1,1,0,0,
2026-07-14,2026-07-14 12:55:00,7592.5,7591.0,7593.75,7590.5,-336,4000,7593.0,0.0,0.37719298245614036,8366,control,0,0,0,0,0,
2026-07-14,2026-07-14 13:00:00,7591.0,7594.5,7595.5,7589.75,200,6000,7595.0,0.0,0.0,8566,control,1,0,1,0,0,
2026-07-14,2026-07-14 13:05:00,7594.5,7594.25,7595.5,7593.0,82,4000,7595.0,0.3684210526315789,0.0,8648,control,0,1,1,0,0,
2026-07-14,2026-07-14 13:10:00,7594.25,7598.0,7598.0,7593.75,534,3984,7595.0,0.0,0.0,9182,control,0,0,0,0,0,
2026-07-14,2026-07-14 13:15:00,7598.0,7597.5,7598.25,7595.0,-428,6016,7596.75,0.41304347826086957,0.0,8754,HIGH,1,0,1,1,0,0.0
2026-07-14,2026-07-14 13:20:00,7597.5,7594.25,7597.75,7593.75,-584,2000,7594.75,0.0,0.0,8170,control,0,0,0,0,0,
2026-07-14,2026-07-14 13:25:00,7594.25,7595.0,7596.75,7593.5,-336,3968,7595.5,0.0,0.36666666666666664,7834,control,0,1,0,0,0,
2026-07-14,2026-07-14 13:30:00,7595.0,7595.25,7596.25,7593.5,-800,6032,7594.5,0.0,0.0784313725490196,7034,control,0,1,0,0,0,
2026-07-14,2026-07-14 13:35:00,7595.25,7593.0,7595.25,7590.5,-429,7999,7592.5,0.14285714285714285,0.0,6605,control,0,0,1,0,0,
2026-07-14,2026-07-14 13:40:00,7593.0,7591.5,7593.0,7587.0,159,12001,7589.75,0.5,0.0,6764,LOW,1,1,1,1,1,1.0
2026-07-14,2026-07-14 13:45:00,7591.25,7590.5,7592.0,7588.75,-238,4000,7591.25,0.0,0.0,6526,control,1,0,1,0,0,
2026-07-14,2026-07-14 13:50:00,7590.5,7591.75,7593.5,7590.0,610,4000,7592.0,0.0,0.08333333333333333,7136,control,1,0,0,0,0,
2026-07-14,2026-07-14 13:55:00,7591.75,7591.0,7592.75,7590.75,-136,4000,7592.0,0.12030075187969924,0.0,7000,control,1,0,1,0,0,
2026-07-14,2026-07-14 14:00:00,7591.0,7590.5,7591.25,7588.75,50,4000,7589.75,0.3235294117647059,0.14942528735632185,7050,control,1,1,1,0,0,
2026-07-14,2026-07-14 14:05:00,7590.5,7587.5,7591.0,7587.5,-336,4000,7590.0,0.0,0.0,6714,LOW,1,0,0,1,0,1.0
2026-07-14,2026-07-14 14:10:00,7587.5,7591.75,7591.75,7587.5,806,3990,7590.5,0.0,0.1,7520,control,1,0,0,0,0,
2026-07-14,2026-07-14 14:15:00,7591.75,7591.5,7592.5,7588.25,260,6010,7590.75,0.0,0.0,7780,control,0,1,1,0,0,
2026-07-14,2026-07-14 14:20:00,7591.5,7593.75,7594.75,7591.25,538,4000,7593.5,0.0,0.0,8318,HIGH,0,0,0,1,0,1.0
2026-07-14,2026-07-14 14:25:00,7593.75,7591.5,7594.5,7591.0,-682,4000,7594.0,0.015151515151515152,0.0,7636,control,1,0,0,0,0,
2026-07-14,2026-07-14 14:30:00,7591.5,7589.75,7591.75,7587.0,102,11998,7588.5,0.08333333333333333,0.0,7738,LOW,1,1,1,1,0,1.0
2026-07-14,2026-07-14 14:35:00,7590.0,7589.75,7593.0,7589.25,74,5994,7589.75,0.0,0.046875,7812,control,0,1,1,0,0,
2026-07-14,2026-07-14 14:40:00,7589.75,7593.75,7594.75,7589.75,528,6008,7593.0,0.0,0.41739130434782606,8340,control,0,0,0,0,0,
2026-07-14,2026-07-14 14:45:00,7593.75,7594.0,7596.0,7592.75,110,6000,7594.0,0.0,0.0,8450,control,0,0,1,1,0,
2026-07-14,2026-07-14 14:50:00,7593.75,7590.75,7595.25,7590.5,-450,14000,7593.75,0.0,0.0,8000,control,1,0,1,0,0,
2026-07-14,2026-07-14 14:55:00,7590.75,7590.0,7596.0,7589.25,3267,53997,7590.5,0.0,0.03728813559322034,11267,control,1,1,1,1,1,
2026-07-15,2026-07-15 08:30:00,7612.5,7620.0,7622.75,7611.75,2462,36000,7617.0,0.0,0.0,2462,control,0,0,1,0,1,
2026-07-15,2026-07-15 08:35:00,7620.0,7615.75,7626.25,7615.25,-366,26000,7618.5,0.0,0.0,2096,control,1,0,1,1,0,
2026-07-15,2026-07-15 08:40:00,7615.75,7612.0,7618.25,7610.5,-115,15997,7616.0,0.0,0.0,1981,control,0,0,1,0,0,
2026-07-15,2026-07-15 08:45:00,7611.75,7602.0,7611.75,7601.75,-193,26003,7607.25,0.3939393939393939,0.22321428571428573,1788,control,0,0,1,0,0,
2026-07-15,2026-07-15 08:50:00,7602.0,7610.25,7612.5,7601.25,2052,22000,7602.25,0.0,0.0,3840,LOW,1,0,0,1,0,1.0
2026-07-15,2026-07-15 08:55:00,7610.25,7618.0,7618.0,7608.5,30,24000,7613.25,0.1,0.0,3870,control,0,0,1,0,0,
2026-07-15,2026-07-15 09:00:00,7618.0,7618.75,7621.75,7615.75,-586,22000,7620.0,0.27058823529411763,0.0,3284,control,1,1,1,0,0,
