t,o,h,l,c,v
2026-07-09 20:27:00-05:00,7577.75,7578.75,7577.5,7578.5,121.0
2026-07-09 20:28:00-05:00,7578.5,7579.0,7578.25,7579.0,59.0
2026-07-09 20:29:00-05:00,7578.75,7579.25,7578.5,7579.25,64.0
2026-07-09 20:30:00-05:00,7579.5,7579.5,7577.5,7579.0,256.0
2026-07-09 20:31:00-05:00,7578.75,7579.75,7578.75,7579.5,133.0
2026-07-09 20:32:00-05:00,7579.5,7579.75,7579.25,7579.25,159.0
2026-07-09 20:33:00-05:00,7579.25,7579.75,7579.25,7579.75,116.0
2026-07-09 20:34:00-05:00,7580.0,7580.5,7579.5,7580.0,119.0
2026-07-09 20:35:00-05:00,7579.75,7580.25,7579.0,7579.25,135.0
2026-07-09 20:36:00-05:00,7579.25,7579.75,7579.0,7579.5,74.0
2026-07-09 20:37:00-05:00,7579.25,7580.25,7579.25,7579.75,131.0
2026-07-09 20:38:00-05:00,7579.75,7580.25,7579.5,7580.0,141.0
2026-07-09 20:39:00-05:00,7580.25,7581.75,7580.0,7580.75,239.0
2026-07-09 20:40:00-05:00,7581.0,7581.0,7580.0,7580.25,126.0
2026-07-09 20:41:00-05:00,7580.25,7580.5,7579.75,7580.0,116.0
2026-07-09 20:42:00-05:00,7580.0,7580.75,7579.75,7579.75,103.0
2026-07-09 20:43:00-05:00,7580.0,7580.25,7579.5,7580.0,105.0
2026-07-09 20:44:00-05:00,7579.75,7580.25,7579.5,7579.5,73.0
2026-07-09 20:45:00-05:00,7579.5,7580.0,7579.0,7579.5,126.0
2026-07-09 20:46:00-05:00,7579.25,7580.25,7579.25,7580.25,84.0
2026-07-09 20:47:00-05:00,7580.25,7582.5,7580.25,7582.25,756.0
2026-07-09 20:48:00-05:00,7582.25,7583.5,7582.0,7583.25,367.0
2026-07-09 20:49:00-05:00,7583.5,7583.5,7583.0,7583.0,88.0
2026-07-09 20:50:00-05:00,7583.25,7583.75,7582.0,7582.5,210.0
2026-07-09 20:51:00-05:00,7582.75,7583.25,7582.25,7583.0,107.0
2026-07-09 20:52:00-05:00,7582.75,7583.0,7581.5,7581.75,111.0
