date,close,dmin,dmax,sc,sp,credit,pnl,win,in_band,pos_gamma
2022-12-27,3829.25,3775.22,3913.68,3915.0,3775.0,1.7,170.0,True,True,True
2022-12-28,3783.219971,3779.42,3879.34,3880.0,3775.0,3.0,300.0,True,True,False
2022-12-30,3839.5,3800.12,3897.26,3900.0,3800.0,4.3,430.0,True,True,True
2023-01-03,3824.139893,3768.95,3910.75,3915.0,3765.0,2.0,200.0,True,True,False
2023-01-05,3808.100098,3804.16,3901.7,3905.0,3800.0,3.25,325.0,True,True,False
2023-01-06,3895.080078,3758.73,3857.73,3860.0,3755.0,12.45,-2263.01,False,False,False
2023-01-09,3892.090088,3847.23,3941.17,3945.0,3845.0,4.3,430.0,True,True,True
2023-01-10,3919.25,3843.18,3941.12,3945.0,3840.0,4.85,485.0,True,True,True
2023-01-11,3969.610107,3872.27,3966.55,3970.0,3870.0,2.35,235.0,True,False,True
2023-01-12,3983.169922,3921.94,4016.32,4020.0,3920.0,24.0,2400.0,True,True,True
2023-01-13,3999.090088,3940.98,4025.18,4030.0,3940.0,5.05,505.0,True,True,True
2023-01-17,3990.969971,3941.17,4056.09,4060.0,3940.0,1.7,170.0,True,True,True
2023-01-19,3898.850098,3950.17,4031.23,4035.0,3950.0,10.2,-3980.0,False,False,True
2023-01-20,3972.610107,3852.52,3943.8,3945.0,3850.0,0.95,-2666.01,False,False,
2023-02-03,4136.47998,3973.31,4265.07,4270.0,3970.0,1.15,115.0,True,True,True
2023-02-06,4111.080078,4096.98,4176.06,4180.0,4095.0,6.6,660.0,True,True,True
2023-02-07,4164.0,4068.33,4154.07,4155.0,4065.0,9.6,60.0,True,False,True
2023-02-08,4117.859863,4125.1,4203.04,4205.0,4125.0,6.15,-99.01,False,False,True
2023-02-09,4081.5,4083.3,4152.41,4155.0,4080.0,8.1,810.0,True,False,True
2023-02-10,4090.459961,4033.55,4129.99,4130.0,4030.0,5.45,545.0,True,True,False
2023-02-13,4137.290039,4043.29,4137.69,4140.0,4040.0,5.35,535.0,True,True,True
2023-02-14,4136.129883,4089.42,4184.5,4185.0,4085.0,19.6,1960.0,True,True,True
2023-02-15,4147.600098,4093.28,4178.78,4180.0,4090.0,5.3,530.0,True,True,True
2023-02-16,4090.409912,4105.44,4189.52,4190.0,4105.0,4.95,-964.01,False,False,True
2023-02-17,4079.090088,4046.75,4133.79,4135.0,4045.0,1.8,180.0,True,True,False
2023-02-21,3997.340088,4017.09,4140.61,4145.0,4015.0,2.5,-1515.99,False,False,False
2023-02-23,4012.320068,3943.86,4039.18,4040.0,3940.0,4.55,455.0,True,True,False
2023-02-24,3970.040039,3968.61,4055.67,4060.0,3965.0,6.4,640.0,True,True,False
2023-02-27,3982.23999,3924.74,4015.62,4020.0,3920.0,5.1,510.0,True,True,False
2023-02-28,3970.149902,3936.51,4027.95,4030.0,3935.0,3.7,370.0,True,True,False
2023-03-01,3951.389893,3926.27,4012.29,4015.0,3925.0,4.05,405.0,True,True,False
2023-03-02,3981.350098,3909.49,3993.29,3995.0,3905.0,4.75,475.0,True,True,False
2023-03-03,4045.639893,3937.63,4024.95,4025.0,3935.0,5.0,-1563.99,False,False,False
2023-03-06,4048.419922,4003.12,4087.52,4090.0,4000.0,3.9,390.0,True,True,True
2023-03-07,3986.370117,4005.43,4091.49,4095.0,4005.0,8.15,-1047.99,False,False,True
2023-03-08,3992.01001,3942.4,4031.02,4035.0,3940.0,3.55,355.0,True,True,False
2023-03-09,3918.320068,3949.77,4034.05,4035.0,3945.0,3.45,-2322.99,False,False,False
2023-03-10,3861.590088,3871.57,3964.93,3965.0,3870.0,13.3,489.01,True,False,False
2023-03-13,3855.76001,3808.28,3915.08,3920.0,3805.0,8.45,845.0,True,True,False
2023-03-14,3919.290039,3800.64,3910.44,3915.0,3800.0,19.5,1521.0,True,False,False
2023-03-15,3891.929932,3872.25,3967.15,3970.0,3870.0,7.6,760.0,True,True,False
2023-03-16,3960.280029,3842.02,3944.1,3945.0,3840.0,9.85,-543.0,False,False,False
2023-03-17,3916.639893,3911.87,4007.55,4010.0,3910.0,1.6,160.0,True,True,True
2023-03-20,3951.570068,3863.9,3969.04,3970.0,3860.0,11.1,1110.0,True,True,False
2023-03-21,4002.870117,3899.23,4002.43,4005.0,3895.0,3.85,385.0,True,False,False
2023-03-22,3936.969971,3964.77,4040.97,4045.0,3960.0,17.7,-533.0,False,False,True
2023-03-23,3948.719971,3890.12,3983.82,3985.0,3890.0,10.55,1055.0,True,True,False
2023-03-24,3970.98999,3900.18,3997.26,4000.0,3900.0,9.15,915.0,True,True,False
2023-03-27,3977.530029,3915.86,4026.12,4030.0,3915.0,5.35,535.0,True,True,False
2023-03-28,3971.27002,3921.66,4033.4,4035.0,3920.0,2.6,260.0,True,True,False
2023-03-29,4027.810059,3918.47,4024.07,4025.0,3915.0,1.7,-111.01,False,False,False
2023-03-31,4109.310059,4020.97,4080.69,4085.0,4020.0,5.2,-1911.01,False,False,True
2023-04-05,4090.379883,4077.83,4123.37,4125.0,4075.0,7.25,725.0,True,True,True
2023-04-06,4105.02002,4065.06,4115.7,4120.0,4065.0,5.75,575.0,True,True,True
2023-04-10,4109.109863,4073.1,4136.94,4140.0,4070.0,10.5,1050.0,True,True,True
2023-04-11,4108.939941,4087.88,4130.34,4135.0,4085.0,6.65,665.0,True,True,True
2023-04-12,4091.949951,4067.44,4150.82,4155.0,4065.0,8.05,805.0,True,True,True
2023-04-13,4146.220215,4051.64,4133.02,4135.0,4050.0,3.05,-817.02,False,False,True
2023-04-14,4137.640137,4107.39,4184.43,4185.0,4105.0,3.65,365.0,True,True,True
2023-04-17,4151.319824,4098.83,4176.11,4180.0,4095.0,2.1,210.0,True,True,True
2023-04-18,4154.870117,4114.41,4188.39,4190.0,4110.0,1.4,140.0,True,True,True
2023-04-19,4154.52002,4121.23,4188.32,4190.0,4120.0,2.45,245.0,True,True,True
2023-04-20,4129.790039,4122.33,4187.04,4190.0,4120.0,2.7,270.0,True,True,True
2023-04-21,4133.52002,4094.44,4165.98,4170.0,4090.0,0.2,20.0,True,True,False
2023-04-24,4137.040039,4099.42,4167.7,4170.0,4095.0,2.8,280.0,True,True,True
2023-04-25,4071.629883,4101.79,4172.83,4175.0,4100.0,1.4,-2697.01,False,False,True
2023-04-26,4055.98999,4028.97,4114.99,4115.0,4025.0,4.55,455.0,True,True,False
2023-04-27,4135.350098,4015.25,4097.29,4100.0,4015.0,3.4,-3195.01,False,False,False
2023-04-28,4169.47998,4108.31,4162.39,4165.0,4105.0,7.05,257.0,True,False,True
2023-05-01,4167.870117,4137.02,4202.52,4205.0,4135.0,3.8,380.0,True,True,True
2023-05-02,4119.580078,4134.54,4200.12,4205.0,4130.0,1.4,-901.99,False,False,True
2023-05-03,4090.75,4082.19,4155.91,4160.0,4080.0,9.95,995.0,True,True,True
2023-05-04,4061.219971,4050.82,4131.66,4135.0,4050.0,6.5,650.0,True,True,False
2023-05-05,4136.25,4019.16,4102.36,4105.0,4015.0,8.65,-2260.0,False,False,False
2023-05-08,4138.120117,4099.95,4171.59,4175.0,4095.0,3.2,320.0,True,True,True
2023-05-09,4119.169922,4101.84,4173.96,4175.0,4100.0,2.1,210.0,True,True,True
2023-05-10,4137.640137,4080.69,4157.81,4160.0,4080.0,7.75,775.0,True,True,True
2023-05-11,4130.620117,4100.86,4173.34,4175.0,4100.0,3.15,315.0,True,True,True
2023-05-12,4124.080078,4094.86,4165.16,4170.0,4090.0,2.7,270.0,True,True,True
2023-05-15,4136.279785,4089.99,4157.71,4160.0,4085.0,3.5,350.0,True,True,True
2023-05-16,4109.899902,4103.12,4169.9,4170.0,4100.0,2.4,240.0,True,True,True
2023-05-17,4158.77002,4081.1,4138.7,4140.0,4080.0,5.1,-1367.0,False,False,False
2023-05-18,4198.049805,4125.99,4191.51,4195.0,4125.0,2.8,-24.98,False,False,True
2023-05-19,4191.97998,4165.25,4230.43,4235.0,4165.0,0.7,70.0,True,True,True
2023-05-22,4192.629883,4159.53,4224.41,4225.0,4155.0,5.1,510.0,True,True,True
2023-05-23,4145.580078,4158.25,4227.15,4230.0,4155.0,3.0,-641.99,False,False,True
2023-05-24,4115.240234,4109.39,4182.55,4185.0,4105.0,3.25,325.0,True,True,False
2023-05-25,4151.279785,4072.34,4157.92,4160.0,4070.0,4.05,405.0,True,True,False
2023-05-26,4205.450195,4114.4,4188.14,4190.0,4110.0,5.55,-990.02,False,False,True
2023-05-30,4205.52002,4154.44,4255.58,4260.0,4150.0,4.6,460.0,True,True,True
2023-05-31,4179.830078,4170.53,4240.41,4245.0,4170.0,4.25,425.0,True,True,True
2023-06-01,4221.02002,4146.3,4217.22,4220.0,4145.0,3.9,288.0,True,False,True
2023-06-02,4282.370117,4188.11,4253.45,4255.0,4185.0,4.6,-2277.01,False,False,True
2023-06-06,4283.850098,4242.5,4305.58,4310.0,4240.0,2.1,210.0,True,True,True
2023-06-07,4267.52002,4251.14,4316.56,4320.0,4250.0,1.8,180.0,True,True,True
