Time,price,bid,ask,recorder,isasktrade,at_bid,at_ask,inside
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:01.581,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:02.075,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:02.088,7676.5,7676.25,7676.75,B,A,False,False,True
2026-09-16 08:30:02.088,7676.5,7676.25,7676.75,B,A,False,False,True
2026-09-16 08:30:02.088,7676.5,7676.25,7676.75,B,A,False,False,True
2026-09-16 08:30:02.088,7676.5,7676.25,7676.75,B,A,False,False,True
2026-09-16 08:30:02.128,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.174,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.174,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.174,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.174,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.174,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.185,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.185,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.185,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:02.185,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:02.523,7676.0,7675.75,7676.25,B,A,False,False,True
2026-09-16 08:30:02.578,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:02.578,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:02.638,7676.5,7676.5,7676.5,B,A,True,True,False
2026-09-16 08:30:02.729,7676.5,7676.5,7676.75,A,B,True,False,False
2026-09-16 08:30:02.979,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:03.000,7676.75,7676.5,7676.75,B,A,False,True,False
2026-09-16 08:30:03.116,7677.0,7677.0,7677.25,A,B,True,False,False
2026-09-16 08:30:03.116,7677.0,7677.0,7677.25,A,B,True,False,False
2026-09-16 08:30:03.116,7677.0,7677.0,7677.25,A,B,True,False,False
2026-09-16 08:30:03.180,7677.0,7677.0,7677.25,A,B,True,False,False
2026-09-16 08:30:03.233,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:03.398,7676.25,7676.0,7676.5,B,A,False,False,True
2026-09-16 08:30:03.663,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:03.663,7676.5,7676.5,7676.5,B,A,True,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.096,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:04.097,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:04.126,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:04.158,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.158,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.159,7678.0,7678.0,7678.25,A,B,True,False,False
2026-09-16 08:30:04.161,7678.0,7677.75,7678.25,B,A,False,False,True
2026-09-16 08:30:04.161,7678.0,7677.75,7678.25,A,B,False,False,True
2026-09-16 08:30:04.161,7678.0,7678.0,7678.0,B,A,True,True,False
2026-09-16 08:30:04.161,7678.0,7678.0,7678.25,A,B,True,False,False
2026-09-16 08:30:04.266,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.266,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.266,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.266,7678.0,7677.75,7678.0,B,A,False,True,False
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.464,7678.25,7678.0,7678.5,B,A,False,False,True
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.638,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.670,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.679,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.679,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.679,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:04.679,7678.75,7678.5,7678.75,B,A,False,True,False
2026-09-16 08:30:05.010,7677.25,7677.25,7677.5,A,B,True,False,False
2026-09-16 08:30:05.014,7677.25,7677.25,7677.25,B,A,True,True,False
2026-09-16 08:30:05.014,7677.25,7677.25,7677.25,B,A,True,True,False
2026-09-16 08:30:05.024,7677.25,7677.25,7677.5,A,B,True,False,False
2026-09-16 08:30:06.075,7677.25,7677.25,7677.5,A,B,True,False,False
2026-09-16 08:30:06.075,7677.25,7677.25,7677.5,A,B,True,False,False
2026-09-16 08:30:06.558,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:06.558,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:06.558,7677.75,7677.5,7677.75,B,A,False,True,False
2026-09-16 08:30:06.558,7677.75,7677.75,7677.75,B,A,True,True,False
2026-09-16 08:30:06.633,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:06.633,7677.75,7677.75,7678.0,A,B,True,False,False
2026-09-16 08:30:07.089,7677.5,7677.25,7677.5,B,A,False,True,False
2026-09-16 08:30:07.089,7677.5,7677.5,7677.75,A,B,True,False,False
