BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
237,2026-07-20 12:50:00,7501.25,7506.25,7507.25,7500.75,-84,389,286,299.1,0.96,0,7500.75
238,2026-07-20 12:55:00,7506,7510,7512.5,7505.75,-38,360,231,299.4,0.77,0,7505.75
239,2026-07-20 13:00:00,7510,7509,7510.5,7505.5,-296,38,-43,299.9,-0.14,7510.5,0
240,2026-07-20 13:05:00,7509.25,7512,7515.5,7509.25,-580,574,-567,299.5,-1.89,0,7509.25
241,2026-07-20 13:10:00,7512,7512.25,7513,7508.5,-665,0,-520,299.7,-1.73,0,0
242,2026-07-20 13:15:00,7512.5,7514,7516,7510.5,-184,345,96,299.4,0.32,0,0
243,2026-07-20 13:20:00,7514,7516,7517.75,7512.5,-28,643,524,299.6,1.75,0,0
244,2026-07-20 13:25:00,7516.25,7506.25,7516.75,7506,-839,54,-839,299.6,-2.80,7516.75,7506
245,2026-07-20 13:30:00,7506.5,7508.25,7511.75,7504.75,-138,435,349,299.9,1.16,7511.75,0
246,2026-07-20 13:35:00,7508.5,7500,7508.5,7498.25,-531,10,-403,299.9,-1.34,7508.5,7498.25
247,2026-07-20 13:40:00,7500,7499.25,7506.75,7498.25,-26,691,479,299.9,1.60,0,7498.25
248,2026-07-20 13:45:00,7499.25,7488.75,7499.75,7488.5,-954,135,-916,299.4,-3.06,0,0
249,2026-07-20 13:50:00,7489,7490.25,7494.25,7487.75,-133,737,153,299.8,0.51,0,7487.75
250,2026-07-20 13:55:00,7490.25,7494,7495.75,7489,-117,221,110,299.4,0.37,0,7489
251,2026-07-20 14:00:00,7494.25,7490.5,7494.75,7488.25,-595,111,-430,300.0,-1.43,7494.75,7488.25
252,2026-07-20 14:05:00,7490.25,7489.25,7495.25,7487.5,-418,352,-112,299.9,-0.37,7495.25,7487.5
253,2026-07-20 14:10:00,7489.25,7490.25,7491.5,7486,-187,215,154,299.9,0.51,7491.5,7486
254,2026-07-20 14:15:00,7490.25,7480.25,7494.25,7480.25,-1373,301,-1309,299.8,-4.37,7494.25,7480.25
255,2026-07-20 14:20:00,7480.25,7482.5,7485.25,7478,-348,312,-44,299.9,-0.15,7485.25,0
256,2026-07-20 14:25:00,7482.25,7486.5,7487.75,7480.75,-95,314,224,300.0,0.75,0,0
257,2026-07-20 14:30:00,7486.5,7490.5,7492.75,7481.75,-327,792,769,299.7,2.57,0,0
258,2026-07-20 14:35:00,7490.75,7493,7495.5,7486.75,-165,823,732,299.9,2.44,7495.5,0
