BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
715,2026-07-30 14:35:46,7471.25,7472.5,7472.5,7468,-890,0,-224,166.0,-1.35,0,0
716,2026-07-30 14:38:32,7472.5,7472,7472.75,7469.25,-197,137,108,197.1,0.55,7472.75,0
717,2026-07-30 14:41:49,7472,7471.75,7472.75,7468.5,-212,466,286,196.8,1.45,7472.75,0
718,2026-07-30 14:45:06,7471.75,7469.75,7472.5,7468.75,-58,534,528,176.4,2.99,7472.5,7468.75
719,2026-07-30 14:48:02,7469.75,7467.5,7471.25,7467,-133,281,64,118.8,0.54,0,0
720,2026-07-30 14:50:01,7467.5,7467.5,7469.75,7465.5,-207,311,-62,89.8,-0.69,7469.75,0
721,2026-07-30 14:51:31,7467.5,7469,7470,7467,-244,142,64,108.4,0.59,7470,7467
722,2026-07-30 14:53:20,7469,7469.75,7469.75,7465.75,-410,67,67,80.1,0.84,0,0
723,2026-07-30 14:54:40,7469.75,7467.25,7470,7464.25,-933,4,-723,48.7,-14.86,0,0
724,2026-07-30 14:55:28,7467.25,7468.75,7471.5,7465.75,-4,1179,1136,72.8,15.61,0,0
725,2026-07-30 14:56:41,7468.75,7470,7470.5,7467.75,-56,654,616,71.8,8.58,0,0
726,2026-07-30 14:57:53,7470,7471,7472.5,7468.5,-22,1644,1618,41.0,39.51,0,0
727,2026-07-30 14:58:34,7471,7471.5,7471.5,7469.5,-42,1516,1500,27.8,54.00,7471.5,7469.5
728,2026-07-30 14:59:02,7471.5,7475.25,7475.5,7471.5,-7,1585,1570,9.1,172.87,0,7471.5
729,2026-07-30 14:59:11,7475.25,7475.25,7476,7474.25,-163,801,796,10.4,76.60,0,0
730,2026-07-30 14:59:21,7475.25,7476,7476,7472.75,-169,1084,1084,10.5,103.44,0,0
731,2026-07-30 14:59:32,7476,7475.75,7476.25,7474.75,-68,354,286,8.9,32.15,0,0
732,2026-07-30 14:59:40,7475.75,7475.75,7476.5,7474.5,0,1190,1190,6.1,194.99,0,0
733,2026-07-30 14:59:47,7475.75,7473.25,7476,7472.25,-189,769,769,6.0,128.15,0,7472.25
734,2026-07-30 14:59:53,7473.25,7469.25,7473.5,7468.75,-59,844,166,4.0,41.58,0,0
735,2026-07-30 14:59:57,7469.25,7469.5,7469.75,7467.75,-46,692,588,2.0,291.96,7469.75,0
736,2026-07-30 14:59:59,7469.5,7470.75,7471.25,7468.5,-631,310,-10,0.6,-16.05,0,7468.5
737,2026-07-30 14:59:59,7470.75,7468.25,7474.75,7468,-192,939,-189,2.0,-93.52,0,0
738,2026-07-30 15:00:01,7468.25,7471.75,7474.25,7468,0,427,190,39.2,4.85,0,7468
739,2026-07-30 15:00:40,7471.75,7490.25,7490.75,7470.75,-25,1309,1294,66.4,19.50,0,0
740,2026-07-30 15:01:47,7490.5,7489,7492,7484,-402,124,-232,101.3,-2.29,0,0
741,2026-07-30 15:03:28,7489.25,7489,7492,7484.75,-261,169,-258,131.6,-1.96,7492,0
742,2026-07-30 15:05:40,7489,7484.25,7490.75,7483.5,-135,358,-54,236.9,-0.23,0,0
743,2026-07-30 15:09:37,7484,7485.75,7487,7480,-324,267,193,239.4,0.81,0,0
744,2026-07-30 15:13:36,7485.75,7488,7491,7485.25,-4,559,482,290.7,1.66,0,7485.25
745,2026-07-30 15:18:27,7488,7493,7493,7487.75,-18,386,386,692.6,0.56,0,0
746,2026-07-30 15:30:00,7493,7487,7498,7479.25,-233,355,-88,191.1,-0.46,7498,0
747,2026-07-30 15:33:11,7487,7480,7487.75,7476.25,-1270,32,-1261,555.2,-2.27,0,7476.25
748,2026-07-30 15:42:26,7479.75,7473.75,7482,7472.5,-1218,0,-1164,634.1,-1.84,0,0
749,2026-07-30 15:53:00,7473.75,7477.75,7479.5,7468.25,-444,34,-372,4379.2,-0.08,0,0
750,2026-07-30 17:05:59,7478,7480.75,7481.25,7472.5,-70,217,202,2241.6,0.09,0,0
751,2026-07-30 17:43:21,7480.75,7486.25,7489.25,7480.25,-570,185,-534,3712.0,-0.14,7489.25,0
752,2026-07-30 18:45:13,7486.25,7495.25,7495.25,7484.75,-136,212,212,1734.6,0.12,0,7484.75
753,2026-07-30 19:14:08,7495.25,7492.5,7498,7492.5,-337,7,-128,2046.4,-0.06,0,7492.5
754,2026-07-30 19:48:15,7492.75,7501.25,7502,7491.25,-7,542,382,1674.8,0.23,7502,7491.25
755,2026-07-30 20:16:10,7501,7495,7504.5,7494.25,-25,260,92,1927.9,0.05,0,0
756,2026-07-30 20:48:18,7495,7492.75,7500.5,7491.25,-270,144,-129,2417.1,-0.05,7500.5,0
757,2026-07-30 21:28:35,7492.75,7496.5,7496.75,7488.25,-240,17,-68,3128.5,-0.02,0,0
758,2026-07-30 22:20:44,7496.5,7501,7501.75,7492.5,-300,135,105,3628.8,0.03,0,7492.5
759,2026-07-30 23:21:17,7501,7509.25,7509.75,7500,-64,558,558,3569.2,0.16,0,0
760,2026-07-31 00:20:46,7509.25,7507.5,7510.75,7505.5,-44,379,324,2638.1,0.12,0,0
761,2026-07-31 01:04:44,7507.5,7496.75,7511.25,7496.25,-170,166,-168,1877.0,-0.09,0,0
762,2026-07-31 01:36:02,7496.75,7496,7499.25,7491.75,0,345,288,1233.5,0.23,7499.25,0
763,2026-07-31 01:56:37,7496,7502.25,7503.25,7493.25,-101,413,364,957.4,0.38,0,7493.25
764,2026-07-31 02:12:35,7502.25,7506.75,7509.25,7500.75,-361,154,-310,976.5,-0.32,0,0
765,2026-07-31 02:28:51,7506.75,7503.5,7508.25,7502.75,-63,267,219,1334.2,0.16,0,7502.75
766,2026-07-31 02:51:05,7503.5,7505,7509,7502.75,-20,677,671,1185.9,0.57,7509,0
767,2026-07-31 03:10:51,7505,7510.5,7513,7505,-6,419,270,1446.5,0.19,0,0
768,2026-07-31 03:34:58,7510.5,7513.75,7514.5,7507.25,-134,221,-4,1737.7,0.00,7514.5,7507.25
769,2026-07-31 04:03:55,7513.75,7512,7517.75,7511.25,-336,99,-328,1558.3,-0.21,0,7511.25
770,2026-07-31 04:29:54,7511.75,7507.5,7512.5,7504,-316,3,-90,1560.5,-0.06,0,7504
771,2026-07-31 04:55:54,7507.5,7508.75,7512,7502,-269,188,86,2045.4,0.04,7512,0
772,2026-07-31 05:30:00,7508.75,7506,7510.5,7504.25,-51,531,295,1761.2,0.17,7510.5,0
773,2026-07-31 05:59:24,7506,7502.5,7511.5,7500.25,-550,36,-550,1372.0,-0.40,0,7500.25
774,2026-07-31 06:22:16,7502.5,7496.25,7504,7494.75,-543,21,-447,1193.9,-0.37,7504,7494.75
775,2026-07-31 06:42:10,7496.25,7493.5,7500.5,7493.5,-106,133,-106,1292.3,-0.08,7500.5,0
776,2026-07-31 07:03:42,7493.5,7490,7494.25,7488.25,-652,61,-570,837.5,-0.68,7494.25,0
777,2026-07-31 07:17:40,7490,7488.25,7492.75,7485.25,-430,19,-408,748.9,-0.54,0,0
778,2026-07-31 07:30:09,7488.25,7483.25,7492,7482.75,-48,282,238,597.0,0.40,0,0
779,2026-07-31 07:40:06,7483.25,7480.5,7485.5,7479.5,-68,343,240,624.4,0.38,7485.5,0
780,2026-07-31 07:50:30,7480.5,7482.25,7487,7480.25,-2,443,390,641.3,0.61,0,7480.25
781,2026-07-31 08:01:11,7482.25,7489,7491,7482.25,0,1182,984,635.7,1.55,7491,7482.25
782,2026-07-31 08:11:47,7489,7491.75,7493,7488,-76,695,664,500.1,1.33,0,0
783,2026-07-31 08:20:07,7491.75,7496,7496,7491.25,-79,298,173,364.4,0.47,0,7491.25
784,2026-07-31 08:26:11,7496,7496.75,7497.75,7493,-153,144,-69,221.0,-0.31,7497.75,7493
785,2026-07-31 08:29:53,7497,7503.25,7504.5,7497,0,1121,1110,18.2,61.04,0,7497
786,2026-07-31 08:30:11,7503.25,7503.75,7505.5,7500.5,-387,16,-334,35.1,-9.52,0,0
787,2026-07-31 08:30:46,7503.75,7506.75,7506.75,7500,-468,56,-321,50.1,-6.41,0,0
