date,symbol,cr0,ps0,hvl0,gw0,d1_min,d1_max
2025-12-16,NQ,25900.0,25150.0,25475.0,,25043.64,25599.36
2025-12-17,NQ,24400.0,24500.0,25450.0,,24661.85,25241.65
2025-12-18,NQ,25500.0,25000.0,25300.0,,24929.78,25508.22
2025-12-19,NQ,25750.0,25600.0,25260.0,,25330.95,25864.05
2025-12-22,NQ,25800.0,25680.0,25690.0,,25444.67,25955.83
2025-12-23,NQ,25800.0,25750.0,25750.0,,25557.85,26065.15
2025-12-24,NQ,25850.0,25700.0,25730.0,,25612.36,26123.64
2025-12-26,NQ,25850.0,25500.0,25575.0,,25604.69,26107.31
2025-12-29,NQ,25750.0,25650.0,25690.0,,25487.32,26001.68
2025-12-30,NQ,25790.0,25500.0,25725.0,,25410.99,25941.01
2025-12-31,NQ,25550.0,25600.0,25625.0,,25149.15,25720.35
2026-01-02,NQ,25700.0,25300.0,25550.0,,25106.77,25682.23
2026-01-05,NQ,25700.0,25500.0,25640.0,,25287.11,25869.39
2026-01-06,NQ,25900.0,25725.0,25725.0,,25542.03,26120.47
2026-01-07,NQ,25950.0,25960.0,25775.0,,25541.93,26129.57
2026-01-08,NQ,25900.0,25600.0,25690.0,,25421.57,26002.43
2026-01-09,NQ,26050.0,25500.0,25625.0,,25646.57,26216.93
2026-01-12,NQ,26000.0,25850.0,25850.0,,25653.35,26231.15
2026-01-13,NQ,26000.0,25870.0,25890.0,,25607.54,26188.96
2026-01-14,NQ,25750.0,25380.0,25580.0,,25324.8,25899.2
2026-01-15,NQ,25800.0,25750.0,25775.0,,25431.46,25982.54
2026-01-16,NQ,25950.0,25500.0,25770.0,,25385.76,25976.74
2026-01-20,NQ,25300.0,25100.0,25275.0,,24817.12,25468.38
2026-01-21,NQ,25800.0,25480.0,25390.0,,25206.82,25812.18
2026-01-22,NQ,25600.0,25500.0,25590.0,,25336.72,25923.28
2026-01-23,NQ,26100.0,25320.0,25660.0,,25383.28,25977.72
2026-01-26,NQ,25900.0,25825.0,25850.0,,25570.26,26152.24
2026-01-27,NQ,26100.0,26000.0,25780.0,,25814.09,26405.91
2026-01-28,NQ,26350.0,26220.0,25990.0,,25972.95,26563.55
2026-01-29,NQ,26200.0,25900.0,25790.0,,25678.24,26286.76
2026-01-30,NQ,25830.0,25300.0,25770.0,,25330.11,25948.39
2026-03-02,NQ,25200.0,24750.0,24960.0,,24644.6,25346.9
2026-03-03,NQ,24900.0,24450.0,24800.0,,24323.15,25096.35
2026-03-04,NQ,25400.0,25000.0,25110.0,,24799.98,25476.02
2026-03-05,NQ,25200.0,24500.0,24975.0,,24647.46,25373.54
2026-03-06,NQ,24800.0,24000.0,25100.0,,24217.3,25105.2
2026-03-09,NQ,25100.0,24940.0,24810.0,,24554.44,25361.56
2026-03-10,NQ,25250.0,24990.0,25100.0,,24611.26,25409.74
2026-03-11,NQ,25000.0,24600.0,24950.0,,24550.82,25340.18
2026-03-12,NQ,24600.0,24400.0,24550.0,,24134.14,25002.86
2026-03-13,NQ,25100.0,24250.0,24550.0,,24146.06,24941.94
2026-03-16,NQ,25100.0,24250.0,24725.0,,24520.53,25223.97
2026-03-17,NQ,25100.0,24250.0,24700.0,,24700.24,25354.76
2026-03-18,NQ,25100.0,24250.0,24720.0,,24231.47,24981.03
2026-03-19,NQ,24550.0,24420.0,24520.0,,24266.45,24967.55
2026-03-20,NQ,24530.0,24000.0,24700.0,,23850.53,24583.97
2026-03-23,NQ,24700.0,24200.0,24460.0,,24034.28,24765.72
2026-03-24,NQ,24300.0,24100.0,24250.0,,24046.82,24760.68
2026-03-25,NQ,24250.0,24370.0,24450.0,,24004.45,24731.05
2026-03-26,NQ,24300.0,23500.0,24050.0,,23427.84,24216.16
2026-03-27,NQ,23940.0,23500.0,24500.0,,22822.26,23686.24
2026-03-30,NQ,23600.0,23050.0,23325.0,,22679.14,23533.36
2026-03-31,NQ,24000.0,23800.0,23520.0,,23540.93,24270.07
2026-04-01,NQ,24400.0,24150.0,24060.0,,23827.58,24546.92
