ts,trade_id,unreal_pnl,mid,vix
2026-08-25 08:47:26,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:47:26,xsp_auto_20260825_084313,-30.0,-1.45,15.13
2026-08-25 08:47:26,xsp_auto_20260825_084252,1.5,-0.265,15.13
2026-08-25 08:47:55,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:47:55,xsp_auto_20260825_084313,-23.0,-1.38,15.13
2026-08-25 08:47:55,xsp_auto_20260825_084252,2.5,-0.255,15.13
2026-08-25 08:48:24,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:48:24,xsp_auto_20260825_084313,-27.5,-1.425,15.13
2026-08-25 08:48:24,xsp_auto_20260825_084252,3.0,-0.25,15.13
2026-08-25 08:48:53,xsp_auto_20260825_084230,-2.0,-0.04,15.13
2026-08-25 08:48:53,xsp_auto_20260825_084313,-32.5,-1.475,15.13
2026-08-25 08:48:53,xsp_auto_20260825_084252,5.5,-0.225,15.13
2026-08-25 08:49:22,xsp_auto_20260825_084230,-2.0,-0.04,15.13
2026-08-25 08:49:22,xsp_auto_20260825_084313,-36.5,-1.515,15.13
2026-08-25 08:49:22,xsp_auto_20260825_084252,6.5,-0.215,15.13
2026-08-25 08:49:51,xsp_auto_20260825_084230,-0.5,-0.025,15.13
2026-08-25 08:49:51,xsp_auto_20260825_084313,-30.0,-1.45,15.13
2026-08-25 08:49:51,xsp_auto_20260825_084252,4.5,-0.235,15.13
2026-08-25 08:50:20,xsp_auto_20260825_084230,-0.5,-0.025,15.13
2026-08-25 08:50:20,xsp_auto_20260825_084313,-27.0,-1.42,15.13
2026-08-25 08:50:20,xsp_auto_20260825_084252,3.5,-0.245,15.13
2026-08-25 08:50:49,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:50:49,xsp_auto_20260825_084313,-26.5,-1.415,15.13
2026-08-25 08:50:49,xsp_auto_20260825_084252,1.0,-0.27,15.13
2026-08-25 08:51:18,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:51:18,xsp_auto_20260825_084313,-21.5,-1.365,15.13
2026-08-25 08:51:18,xsp_auto_20260825_084252,2.5,-0.255,15.13
2026-08-25 08:51:47,xsp_auto_20260825_084230,-0.5,-0.025,15.13
2026-08-25 08:51:47,xsp_auto_20260825_084313,-26.5,-1.415,15.13
2026-08-25 08:51:47,xsp_auto_20260825_084252,1.5,-0.265,15.13
2026-08-25 08:52:16,xsp_auto_20260825_084230,-0.5,-0.025,15.13
2026-08-25 08:52:16,xsp_auto_20260825_084313,-24.5,-1.395,15.13
2026-08-25 08:52:16,xsp_auto_20260825_084252,0.5,-0.275,15.13
2026-08-25 08:52:45,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:52:45,xsp_auto_20260825_084313,-22.0,-1.37,15.13
2026-08-25 08:52:45,xsp_auto_20260825_084252,-0.5,-0.285,15.13
2026-08-25 08:53:15,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:53:15,xsp_auto_20260825_084313,-23.5,-1.385,15.13
2026-08-25 08:53:15,xsp_auto_20260825_084252,1.0,-0.27,15.13
2026-08-25 08:53:58,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:53:58,xsp_auto_20260825_084252,3.5,-0.245,15.13
2026-08-25 08:54:24,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:54:24,xsp_auto_20260825_084252,2.5,-0.255,15.13
2026-08-25 08:54:50,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:54:50,xsp_auto_20260825_084252,0.5,-0.275,15.13
2026-08-25 08:55:16,xsp_auto_20260825_084230,0.5,-0.015,15.13
2026-08-25 08:55:16,xsp_auto_20260825_084252,-2.5,-0.305,15.13
2026-08-25 08:55:42,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:55:42,xsp_auto_20260825_084252,-5.5,-0.335,15.13
